metal_state,class,Z,pc1,pc2
Am(III),actinide,95,-0.0855107,-0.420431
Am(VI),actinide,95,0.760671,0.194739
Ba(II),other,,-2.35338,3.65914
Bi(III),other,,-4.79746,1.13755
Ca(II),other,,-1.38043,1.57545
Cd(II),other,,-0.937199,4.51478
Ce(III),lanthanide,58,-1.68105,-1.22809
Cf(III),actinide,98,0.293424,-0.72341
Cm(III),actinide,96,-0.0570423,-0.604278
Dy(III),lanthanide,66,-0.28724,-2.22952
Er(III),lanthanide,68,-0.235283,-2.47449
Eu(III),lanthanide,63,-0.946733,-1.79446
Gd(III),lanthanide,64,-0.907128,-2.15505
Hf(IV),other,,4.70256,-0.838118
Ho(III),lanthanide,67,-0.204609,-2.45986
In(III),other,,-2.98957,3.31867
La(III),lanthanide,57,-1.89776,-1.08753
Lu(III),lanthanide,71,-0.1181,-2.86558
Nd(III),lanthanide,60,-1.44211,-1.56379
Np(IV),actinide,93,0.747283,0.354516
Np(V),actinide,93,0.0645506,1.47639
Np(VI),actinide,93,1.15212,0.83222
Pa(V),actinide,91,1.46232,1.19305
Pb(II),other,,-6.02338,2.82108
Pd(II),other,,5.87114,1.86955
Pd(IV),other,,4.89717,3.09148
Pm(III),lanthanide,61,-1.00595,-1.81014
Pr(III),lanthanide,59,-1.70968,-1.346
Pu(III),actinide,94,-0.118926,-0.11881
Pu(IV),actinide,94,0.832216,0.327624
Pu(VI),actinide,94,1.18438,0.848333
Sm(III),lanthanide,62,-1.09339,-1.861
Sr(II),other,,-1.80302,2.22558
Sr(III),other,,2.30796,3.44339
Tb(III),lanthanide,65,-0.507003,-2.14551
Tc(VII),other,,5.12704,0.0291223
Th(IV),actinide,90,-1.00299,-0.146635
Tm(III),lanthanide,69,-0.166401,-2.65253
U(IV),actinide,92,-0.295991,0.583528
U(VI),actinide,92,1.49564,0.874803
Y(III),other,,0.308856,0.406408
Yb(III),lanthanide,70,-0.100672,-2.6558
Zr(IV),other,,2.94069,-1.59639
Am(III),replicate,95,-0.607984,-1.51502
Am(VI),replicate,95,0.925738,-0.547998
Ba(II),replicate,,-1.94281,3.41801
Bi(III),replicate,,-0.676634,0.0142228
Ca(II),replicate,,-0.619351,0.369358
Cd(II),replicate,,-1.40679,4.72919
