feature_set,endpoint,kind,units,gain,units_improved
MC_lig2d_ext_massaction,all,BASE-eligible only,72.0,0.03324786788850238,0.49444444444444446
MC_lig2d_ext_massaction,all,added chemistry only,57.0,0.33739343262813143,0.7052631578947368
MC_lig2d_ext_massaction,all,mixed,2.0,-0.10301791892378176,0.3
MC_lig2d_ext_massaction,nn<0.4,BASE-eligible only,9.2,0.14203084389753198,0.5652173913043478
MC_lig2d_ext_massaction,nn<0.4,added chemistry only,26.8,0.5050110473309791,0.8134328358208955
