feature_set,split_seed,arm,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units
MC_lig2d_ext_massaction,104729,BASE,1.22593409407938,1.0954905050252834,0.520965675416745,0.18887480836057535,1.2382117767787566,1.2394578276426536,0.13335779968622952,0.538039767022073,1.0746623134808204,2.3725994871221645,0.35131848035125135,0.6427084281959409,0.2501905487804878,0.47789634146341464,0.5554109440938108,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,104729,EXPANDED,1.0884582468909267,0.9999577708885541,0.5049811988987872,0.1558925623933486,1.134904738920263,1.300595074469656,0.05094251039550646,0.561002809525821,1.0016672190210265,2.236266418383275,0.42391810971133675,0.6082030379063129,0.2461890243902439,0.45483993902439024,0.48917998329015056,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,1.076453728805515,0.9783907705103692,0.5080847638792698,0.15026756435739141,1.123028086729989,1.2961251538622305,0.058827794327579674,0.554374907138531,0.9731247144587214,2.190337898127945,0.4317897235935467,0.6026311354517658,0.24523628048780488,0.4535060975609756,0.4786067981501986,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,1.234381160663727,1.1201136318625033,0.5216741629944066,0.1510721477843101,1.255491168880556,1.3131769570416136,0.03772763219126496,0.564559016539712,1.0842184364025256,2.3813595222020685,0.3844976628321248,0.6274513806238479,0.24294969512195122,0.4487423780487805,0.4574513688554909,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,130363,BASE,1.1658365523726029,0.9662583287173977,0.5316187275676758,0.17279123272180152,1.1582146760943437,1.0674039029624076,0.34464678111512914,0.37698826581124556,1.0229251693254748,2.201366211659584,0.35412816679116055,0.6456466829751845,0.29115853658536583,0.5480182926829268,0.6186021444771352,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,130363,EXPANDED,1.0272919758969734,0.8465955981317597,0.5079389841793805,0.15767278070338697,1.033340577572162,1.0557325152913573,0.3509597291721135,0.3594312831888757,0.8648143234333805,2.0066774306147632,0.4146070648855139,0.6306031744037918,0.30316310975609756,0.547827743902439,0.5621357087019443,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,130363,EXPANDED_ROWMATCHED,1.0363509675069718,0.8549165773700518,0.5096901327229738,0.1920072493557674,1.0437201854232196,1.0492197911946504,0.3647382826896355,0.3722144506754085,0.8716936225420335,2.034468160072168,0.3805025606735905,0.6386255415673553,0.3016387195121951,0.5504954268292683,0.5660334596842835,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,130363,EXPANDED_SHUFFLED,1.166909459447694,0.9726542569009672,0.523873259944668,0.1829661740301548,1.1496829809419093,1.0948335018214008,0.31879711654821585,0.40800219809359023,0.9925491770906616,2.174531505793689,0.38084212638219483,0.6391468279514178,0.28220274390243905,0.5356326219512195,0.4878139290066915,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,155921,BASE,1.181481931624909,1.0191484570129894,0.5132797006480685,0.1743361241412198,1.1715120814049151,1.193614539381164,0.19388077538139603,0.49445416107186285,0.9969804692549133,2.276312638367068,0.34157912531580187,0.6389578878061903,0.2648628048780488,0.4992378048780488,0.5443210474010604,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,155921,EXPANDED,1.0132398717104885,0.8615555250739566,0.49815434085722304,0.19631532316259626,1.0266904399359944,1.126870862732762,0.2700808171905775,0.4565401739968597,0.8661414581860585,2.0300365343579974,0.45017784091823176,0.6313207282517331,0.2917301829268293,0.5276295731707317,0.4941108409496892,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,155921,EXPANDED_ROWMATCHED,1.0085277946867413,0.8513719785403854,0.5012096922596863,0.18361064031526775,1.0203895801069194,1.123789657477632,0.26781050361248304,0.44966089144794635,0.8662507561622246,2.0274768276437087,0.4535277119995584,0.6280857170671046,0.2938262195121951,0.5268673780487805,0.49249858980469724,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,155921,EXPANDED_SHUFFLED,1.2370784720664108,1.0832819052747547,0.541284635907054,0.19367275301635523,1.228462376152314,1.1807763585701343,0.20234564444817882,0.5010544780098565,1.0299012738987545,2.3770635835093397,0.3418450522695561,0.6396602636369251,0.2686737804878049,0.5093368902439024,0.45405538889941705,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,196613,BASE,1.2380440061279792,1.0861247168562715,0.5339941453244128,0.14396056912067123,1.2424519551384061,1.299462450951771,0.059927378335554615,0.5505422227822897,1.0568764460271465,2.39729820184391,0.28819177780852484,0.6267893050456963,0.23532774390243902,0.4504573170731707,0.579070130186036,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,196613,EXPANDED,1.0641534620017197,0.9233577983191958,0.5103510807089408,0.1581775716639534,1.0863890234706766,1.1877278651891772,0.2016977263789811,0.47951327080589584,0.9802136050515864,2.075094985680248,0.3877582992163089,0.6228513946504294,0.26714939024390244,0.4891387195121951,0.5210446484274177,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,196613,EXPANDED_ROWMATCHED,1.065024942839316,0.9250875065304571,0.5130990527607983,0.1702518244518061,1.087091834701966,1.1696965572873392,0.21812674532261978,0.476198806971885,0.9643036461732859,2.0831916649405646,0.39741234653913193,0.6277324356321226,0.2738185975609756,0.5034298780487805,0.507376091439426,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,196613,EXPANDED_SHUFFLED,1.2582172358989834,1.1227114661401096,0.5409305474541322,0.15664900144213545,1.2715199796195258,1.3378164296590884,0.02484237940213707,0.5731354599167898,1.1225783584116935,2.3734283126077083,0.23459644106579633,0.6195028100267028,0.22580030487804878,0.4266387195121951,0.4660581898251334,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,262147,BASE,1.2255161017853833,1.1028252205856586,0.5109351615942734,0.18482922709623206,1.234069596910906,1.20633140411102,0.18866829582500677,0.5040856359852812,1.0744394428557986,2.30351441434066,0.30685207085394733,0.6380472067737921,0.2553353658536585,0.4878048780487805,0.5653007644898533,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,262147,EXPANDED,1.0261410260577757,0.9079627054190326,0.4948784458370961,0.18582165152191843,1.0557534883730786,1.1452204860016557,0.24897994081239394,0.4649128189507099,0.9049937184552808,2.0849575297728093,0.3952800836550285,0.6284091658475771,0.2888719512195122,0.5167682926829268,0.5093143082148471,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,262147,EXPANDED_ROWMATCHED,1.0436849377275135,0.9295313158221042,0.4991452337225334,0.19126847019522564,1.0751037920040447,1.1541929969951805,0.23585148294649982,0.47762409659804383,0.9196270012158838,2.118743075301055,0.42700341327126184,0.6313746363818119,0.2919207317073171,0.5100990853658537,0.4912462493233991,5248,152,131,79,6.256051615740402,131
MC_lig2d_ext_massaction,262147,EXPANDED_SHUFFLED,1.2839454145440499,1.1450002807148578,0.5220687300781982,0.20489972669704448,1.2869086629792235,1.2191872634952383,0.17824806363099366,0.5224292700000693,1.104417051524856,2.3820660694427134,0.34063381132501847,0.6394540519548763,0.2536204268292683,0.47770579268292684,0.49598434671930447,5248,152,131,79,6.256051615740402,131
