feature_set,split_seed,arm,bin,n_rows,n_ligands,pooled_mae,macro_mae_ligand,offset_mae,shape_mae,shape_r2,mean_prediction_sd
MC_lig2d_ext_massaction,104729,BASE,"[0.0, 0.4)",494,33,1.4761395287486723,1.588170186202791,1.481534322173347,0.4414015939036191,-0.00830352945666002,
MC_lig2d_ext_massaction,104729,BASE,"[0.4, 0.6)",1448,61,1.243609181068423,1.2962032817214573,1.1333880788989237,0.6112575308568984,0.24779048956620142,
MC_lig2d_ext_massaction,104729,BASE,"[0.6, 0.8)",3306,58,1.2022733388020947,0.9781064438046548,0.8359870917118666,0.4712727703837072,0.18431215419032243,
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.0, 0.4)",494,33,1.2573667685844605,1.1876741162348352,1.1243571438836668,0.3703978351785354,0.033823922687358565,
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.4, 0.6)",1448,61,1.3271053941197817,1.251537694077105,1.0922399449011493,0.6012830403477765,0.1828451290459241,
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.6, 0.8)",3306,58,1.2954431810195364,0.9822150886452927,0.8321234273780881,0.4802715208708555,0.15663635838218237,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.0, 0.4)",494,33,1.2209913109243868,1.1667109872028956,1.0912626696567267,0.37169194740141037,0.036225469477439654,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.4, 0.6)",1448,61,1.303290074703388,1.2298889458039826,1.0637187010264464,0.5975049342269227,0.1850503841682023,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.6, 0.8)",3306,58,1.3042138752879109,0.9857858777796529,0.8244291078670849,0.49164222168207233,0.14736339716139568,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.0, 0.4)",494,33,1.657390614492709,1.6025402879033304,1.5431788011345433,0.4087646492402867,-0.002854811789528622,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.4, 0.6)",1448,61,1.3481147106028033,1.3063414250461198,1.1589064915757905,0.5975123572460839,0.19231864101733032,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.6, 0.8)",3306,58,1.2464402922087512,1.0045517455382973,0.8386047520609887,0.5061549234174005,0.14928911617769725,
