adapter,policy,k,mae,n_ligands
PHYS_residual_gbm,RANDOM,5,0.4896934230332301,99
PHYS_residual_hypernet,RANDOM,5,0.49007133049332213,99
PHYS_residual,RANDOM,5,0.49133833097927226,99
PHYS_residual_gbm,RANDOM,3,0.5044979240676162,140
PHYS_residual_hypernet,RANDOM,3,0.5056442837002771,140
PHYS_residual,RANDOM,3,0.5075690101020186,140
OFFSET_K3,RANDOM,5,0.5135614760035455,99
PHYS_residual_metalcat,RANDOM,5,0.5186405985308816,99
PHYS_residual_metalcat,RANDOM,3,0.5240739739516167,140
PHYS_residual_gbm,CENTRAL,3,0.5292989201006273,140
PHYS_residual_hypernet,CENTRAL,3,0.5309474140311955,140
PHYS_residual_gbm,CENTRAL,5,0.532409444443624,99
PHYS_residual,CENTRAL,3,0.5327234965372112,140
PHYS_residual_hypernet,CENTRAL,5,0.5332651521370649,99
PHYS_residual,CENTRAL,5,0.5344189763053265,99
OFFSET_K3,RANDOM,3,0.540822440086064,140
PHYS_map,RANDOM,5,0.5416719350377993,99
PHYS_residual_metalcat,CENTRAL,3,0.5464118644344428,140
PHYS_map,RANDOM,3,0.551575684132107,140
OFFSET_K3,CENTRAL,5,0.5583063255986472,99
PHYS_residual_gbm,RANDOM,2,0.5606806307764084,143
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99
PHYS_residual_metalcat,CENTRAL,5,0.5622525118785695,99
PHYS_residual_hypernet,RANDOM,2,0.5628952229290595,143
OFFSET_K2,RANDOM,5,0.5652111413858665,99
PHYS_residual,RANDOM,2,0.5655353134577116,143
OFFSET_K3,CENTRAL,3,0.5658221698286848,140
PHYS_residual_metalcat,RANDOM,2,0.575198525670195,143
OFFSET_K2,CENTRAL,5,0.5778910584904942,99
PHYS_map_metalcat,RANDOM,5,0.578549310851326,99
PHYS_map_metalcat,RANDOM,3,0.5794237160011614,140
PHYS_residual_gbm,CENTRAL,2,0.58179878711196,143
PHYS_residual_hypernet,CENTRAL,2,0.5840131297325972,143
PHYS_residual,CENTRAL,2,0.58491672802233,143
OFFSET_K2,RANDOM,3,0.5852521399199587,140
PHYS_map,CENTRAL,3,0.5877823801013127,140
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140
OFFSET_K2,CENTRAL,3,0.5900747382630932,140
PHYS_residual_metalcat,CENTRAL,2,0.5903580753685816,143
OFFSET_K3,RANDOM,2,0.5983510778120484,143
OFFSET_K1,CENTRAL,3,0.6023754742032363,140
PHYS_map,CENTRAL,5,0.6058586496317174,99
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99
OFFSET_K3,CENTRAL,2,0.6111923639170663,143
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140
OFFSET_K2,CENTRAL,2,0.6157095234584662,143
OFFSET_K1,RANDOM,3,0.6162227315031253,140
PHYS_map_metalcat,CENTRAL,3,0.6176471430471313,140
OFFSET_K1,CENTRAL,2,0.6187871697614935,143
OFFSET_K1,CENTRAL,5,0.6213969632933661,99
OFFSET_K2,RANDOM,2,0.6252193995990294,143
PHYS_residual_gbm,CENTRAL,1,0.626211373585586,143
PHYS_map,RANDOM,2,0.626460929441928,143
PHYS_residual,CENTRAL,1,0.6279762137599633,143
OFFSET_K1,RANDOM,5,0.6282295111176981,99
PHYS_residual_hypernet,CENTRAL,1,0.6287889599273196,143
PHYS_residual_metalcat,CENTRAL,1,0.6301090581801176,143
OFFSET_K1,RANDOM,2,0.6398054726822178,143
PHYS_map_metalcat,CENTRAL,5,0.6427950521262079,99
OFFSET_K1,CENTRAL,1,0.650697594036031,143
OFFSET_K2,CENTRAL,1,0.650697594036031,143
OFFSET_K3,CENTRAL,1,0.650697594036031,143
PHYS_map_metalcat,RANDOM,2,0.651437027799995,143
PHYS_residual_gbm,RANDOM,1,0.6676472420883758,143
PHYS_map,CENTRAL,2,0.6685614266668205,143
PHYS_residual_hypernet,RANDOM,1,0.6693271835012198,143
PHYS_residual,RANDOM,1,0.6706416524985225,143
NEAREST_OBSERVED,RANDOM,2,0.6719450572324007,143
PHYS_residual_metalcat,RANDOM,1,0.6720711442701458,143
PHYS_map_metalcat,CENTRAL,2,0.6918115579576578,143
NEAREST_OBSERVED,CENTRAL,2,0.6934242213120548,143
NO_MODEL,CENTRAL,3,0.7139530045534407,140
OFFSET_K3,RANDOM,1,0.7231899498047505,143
OFFSET_K2,RANDOM,1,0.7231899498047505,143
OFFSET_K1,RANDOM,1,0.7231899498047505,143
NO_MODEL,CENTRAL,2,0.7290041084193523,143
NO_MODEL,RANDOM,3,0.7293150496401231,140
PHYS_map,CENTRAL,1,0.7525479297288943,143
NO_MODEL,RANDOM,2,0.7538060274474901,143
NO_MODEL,CENTRAL,1,0.7575156334349555,143
NEAREST_OBSERVED,CENTRAL,1,0.7575156334349555,143
NO_MODEL,CENTRAL,5,0.7612714879985231,99
PHYS_map_metalcat,CENTRAL,1,0.7628111762477954,143
NO_MODEL,RANDOM,5,0.7687039885593794,99
PHYS_map,RANDOM,1,0.808397576757521,143
PHYS_map_metalcat,RANDOM,1,0.8182601365016716,143
NO_MODEL,RANDOM,1,0.84589642363874,143
NEAREST_OBSERVED,RANDOM,1,0.84589642363874,143
ZERO_SHOT,RANDOM,1,0.994987794041208,143
ZERO_SHOT,RANDOM,2,0.994987794041208,143
ZERO_SHOT,CENTRAL,2,0.994987794041208,143
ZERO_SHOT,CENTRAL,1,0.994987794041208,143
ZERO_SHOT_REF,NONE,0,0.994987794041208,143
