stratum,a,b,k,n_ligands,mae_a,mae_b,delta,ci_low,ci_high,p_a_better,n_lig_a_better
acid titration >=3 levels,PHYS_residual,OFFSET_K1,1,75,0.8817813270892149,0.9732764513477616,-0.09149512425854665,-0.14257965019503022,-0.04007841460810979,0.99975,60
no acid titration,PHYS_residual,OFFSET_K1,1,68,0.43776701140584706,0.44735924957348794,-0.009592238167640979,-0.037602804748810746,0.024995971146915645,0.728,45
extractant titration >=3 levels,PHYS_residual,OFFSET_K1,1,26,1.0266778706508446,1.1390061829845786,-0.11232831233373418,-0.15795931815253864,-0.06859859473568033,1.0,23
no extractant titration,PHYS_residual,OFFSET_K1,1,117,0.5915224929091178,0.6307863424314554,-0.039263849522337614,-0.0757691939894529,-0.002599048864641791,0.98275,82
single series,PHYS_residual,OFFSET_K1,1,91,0.5304904082564278,0.549818986396619,-0.01932857814019113,-0.05853195120587705,0.019988427483809246,0.8375,60
multi series,PHYS_residual,OFFSET_K1,1,52,0.9159063299221883,1.0265891357689807,-0.11068280584679221,-0.1583263340683489,-0.06123086807393617,1.0,45
acid titration >=3 levels,PHYS_residual,OFFSET_K1,3,75,0.7074877484858808,0.8135870704519839,-0.10609932196610289,-0.15893976247562364,-0.0573246094526766,1.0,47
no acid titration,PHYS_residual,OFFSET_K1,3,65,0.27689354273602357,0.38849464810059636,-0.11160110536457285,-0.147761157364978,-0.07654789252612913,1.0,59
extractant titration >=3 levels,PHYS_residual,OFFSET_K1,3,26,0.8557975430266556,0.9435803232792493,-0.08778278025259376,-0.15657559420320016,-0.02323739845487275,0.9955,18
no extractant titration,PHYS_residual,OFFSET_K1,3,114,0.42814846750517144,0.5415622281155883,-0.11341376061041676,-0.15172127541926494,-0.07856410292021736,1.0,88
single series,PHYS_residual,OFFSET_K1,3,90,0.33684753326312833,0.466147889879563,-0.12930035661643466,-0.1690609454404443,-0.08942910988722258,1.0,73
multi series,PHYS_residual,OFFSET_K1,3,50,0.814867668412021,0.8863574464255375,-0.07148977801351662,-0.12975346198241086,-0.019624245137518332,0.99825,33
