a,b,k,n_ligands,mae_a,mae_b,delta,ci_low,ci_high,p_a_better,n_lig_a_better
PHYS_residual,OFFSET_K1,1,143,0.6706416524985226,0.7231899498047505,-0.0525482973062279,-0.08351652673222419,-0.01995292838102413,0.99875,105
PHYS_residual,OFFSET_K1,2,143,0.5655353134577116,0.6398054726822178,-0.07427015922450625,-0.1018551471496575,-0.0480761428228633,1.0,104
PHYS_residual,OFFSET_K1,3,140,0.5075690101020186,0.6162227315031255,-0.10865372140110681,-0.14235980198423012,-0.07840038311203477,1.0,106
PHYS_residual,OFFSET_K1,5,99,0.49133833097927226,0.628229511117698,-0.13689118013842577,-0.1812391058310214,-0.09610968344849649,1.0,76
PHYS_residual,OFFSET_K3,1,143,0.6706416524985226,0.7231899498047505,-0.0525482973062279,-0.08351652673222419,-0.019952928381024138,0.99875,105
PHYS_residual,OFFSET_K3,2,143,0.5655353134577116,0.5983510778120483,-0.032815764354336745,-0.05435867344662207,-0.012341405624934874,0.9995,88
PHYS_residual,OFFSET_K3,3,140,0.5075690101020186,0.5408224400860638,-0.03325342998404537,-0.05429226026565776,-0.013674583208677864,0.99975,85
PHYS_residual,OFFSET_K3,5,99,0.49133833097927226,0.5135614760035455,-0.022223145024273146,-0.044891600652011775,-0.0009308470861728169,0.97975,59
PHYS_residual,NO_MODEL,1,143,0.6706416524985226,0.84589642363874,-0.17525477114021742,-0.24025588594595226,-0.1098850577590209,1.0,97
PHYS_residual,NO_MODEL,2,143,0.5655353134577116,0.7538060274474903,-0.1882707139897785,-0.2455480174694336,-0.1352235153010568,1.0,96
PHYS_residual,NO_MODEL,3,140,0.5075690101020186,0.7293150496401231,-0.2217460395381045,-0.28162549383245317,-0.16708708650398613,1.0,105
PHYS_residual,NO_MODEL,5,99,0.49133833097927226,0.768703988559379,-0.27736565758010695,-0.3537776444915725,-0.20499752012431358,1.0,80
PHYS_residual,NEAREST_OBSERVED,1,143,0.6706416524985226,0.84589642363874,-0.17525477114021742,-0.24025588594595226,-0.1098850577590209,1.0,97
PHYS_residual,NEAREST_OBSERVED,2,143,0.5655353134577116,0.6719450572324007,-0.10640974377468915,-0.14925839899268084,-0.06413506419273027,1.0,92
PHYS_residual,NEAREST_OBSERVED,3,140,0.5075690101020186,0.5889279207130579,-0.08135891061103928,-0.11525885524883674,-0.0481574959149077,1.0,88
PHYS_residual,NEAREST_OBSERVED,5,99,0.49133833097927226,0.5619447134754055,-0.07060638249613317,-0.1113827267945576,-0.029807300897274507,0.99975,65
PHYS_residual_gbm,PHYS_residual,1,143,0.6676472420883758,0.6706416524985226,-0.002994410410146855,-0.006864879323092021,0.001338213498289615,0.91825,83
PHYS_residual_gbm,PHYS_residual,3,140,0.5044979240676162,0.5075690101020186,-0.0030710860344023696,-0.004674066480928123,-0.0013847315894405378,0.99975,96
PHYS_residual_hypernet,PHYS_residual,1,143,0.6693271835012198,0.6706416524985226,-0.001314468997302773,-0.005536454612687214,0.003215502439058793,0.72025,84
PHYS_residual_hypernet,PHYS_residual,3,140,0.5056442837002771,0.5075690101020186,-0.0019247264017414484,-0.003487524635164939,-0.00036075388097703975,0.99,87
PHYS_residual_metalcat,PHYS_residual,1,143,0.6720711442701458,0.6706416524985226,0.0014294917716231946,-0.0018496916295463193,0.004780275567584083,0.18925,75
PHYS_residual_metalcat,PHYS_residual,3,140,0.5240739739516168,0.5075690101020186,0.016504963849598164,0.008997627201496076,0.024995584571251738,0.0,66
PHYS_map,PHYS_residual,1,143,0.8083975767575209,0.6706416524985226,0.13775592425899832,0.09448876890291227,0.18089059650579348,0.0,41
PHYS_map,PHYS_residual,3,140,0.551575684132107,0.5075690101020186,0.04400667403008847,0.01834048352837621,0.07058793896773213,0.0,50
