adapter,policy,k,mae,n_ligands
PHYS_residual_hypernet,RANDOM,5,0.48123804208100596,99
PHYS_residual_gbm,RANDOM,5,0.4816486435674435,99
PHYS_residual,RANDOM,5,0.48731791235254357,99
PHYS_residual_hypernet,RANDOM,3,0.4968480076865551,140
PHYS_residual_gbm,RANDOM,3,0.49728332426310484,140
PHYS_residual,RANDOM,3,0.5037293325378847,140
OFFSET_K3,RANDOM,5,0.5130301812556796,99
PHYS_residual_metalcat,RANDOM,5,0.5178807942021479,99
PHYS_residual_hypernet,CENTRAL,5,0.5182245934974784,99
PHYS_residual_gbm,CENTRAL,5,0.5193914082914352,99
PHYS_residual_metalcat,RANDOM,3,0.5220568409995204,140
PHYS_residual,CENTRAL,5,0.5240878840620291,99
PHYS_residual_hypernet,CENTRAL,3,0.5246561319794579,140
PHYS_residual_gbm,CENTRAL,3,0.5250751531979285,140
PHYS_residual,CENTRAL,3,0.5323665038239797,140
PHYS_map,RANDOM,5,0.5347047821950599,99
OFFSET_K3,RANDOM,3,0.5347759756256577,140
PHYS_residual_hypernet,RANDOM,2,0.5369790779232744,143
PHYS_residual_gbm,RANDOM,2,0.5372386711526429,143
PHYS_map,RANDOM,3,0.541637945959275,140
PHYS_residual_metalcat,CENTRAL,3,0.5445775611752506,140
PHYS_residual,RANDOM,2,0.5447671198183589,143
PHYS_residual_metalcat,CENTRAL,5,0.5519797814388573,99
OFFSET_K3,CENTRAL,5,0.5554496779122013,99
PHYS_residual_metalcat,RANDOM,2,0.5575971752027109,143
OFFSET_K2,RANDOM,5,0.5586430516775625,99
OFFSET_K3,CENTRAL,3,0.5602412775348243,140
NEAREST_OBSERVED,RANDOM,5,0.561606985027791,99
PHYS_map_metalcat,RANDOM,3,0.5697991028602842,140
PHYS_residual_gbm,CENTRAL,2,0.5718245121995312,143
PHYS_residual_hypernet,CENTRAL,2,0.5721460977369732,143
OFFSET_K2,CENTRAL,5,0.5733085755123811,99
OFFSET_K2,RANDOM,3,0.5752673949171228,140
NEAREST_OBSERVED,RANDOM,3,0.5755699765269909,140
PHYS_residual,CENTRAL,2,0.5764245695245255,143
PHYS_map_metalcat,RANDOM,5,0.5772269153436292,99
PHYS_map,CENTRAL,3,0.5788702421625788,140
OFFSET_K3,RANDOM,2,0.5800085569465712,143
PHYS_residual_metalcat,CENTRAL,2,0.5814232215154373,143
PHYS_map,CENTRAL,5,0.5844747444488043,99
OFFSET_K2,CENTRAL,3,0.5846507839288394,140
OFFSET_K1,CENTRAL,3,0.5980524980408211,140
PHYS_map,RANDOM,2,0.598244426418211,143
NEAREST_OBSERVED,CENTRAL,5,0.602372530283358,99
OFFSET_K2,RANDOM,2,0.6044458056145111,143
OFFSET_K3,CENTRAL,2,0.6056135386718372,143
PHYS_map_metalcat,CENTRAL,3,0.6066890082630464,140
NEAREST_OBSERVED,CENTRAL,3,0.608746605857914,140
OFFSET_K1,RANDOM,3,0.6098868456940832,140
OFFSET_K2,CENTRAL,2,0.6103476256249619,143
OFFSET_K1,CENTRAL,2,0.6136157272366003,143
PHYS_residual_metalcat,CENTRAL,1,0.6152939154134799,143
PHYS_residual_gbm,CENTRAL,1,0.6155680834604029,143
