rank,smiles,name,aopt_reduction,aopt_reduction_cohort_plus_pool,own_variance,measured_lanthanide,n_rows_bundle,n_publications,chemotype_frozen,chemotype_in_cohort,nn_tanimoto_cohort,nn_cohort_extractant,nn_cohort_name,nn_cohort_chemotype,label,is_new_T_lt_0.7,p_heavy_G14_full_cohort,direction_G14,donor_census,donor_census_source,topo_census,dopt3_pairs_all,dopt3_pairs_with_measured,pool,lead
1,CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,CA12,12.990104384166335,2.0070323576572235,1094.7336293860453,Eu,1,1,sc072,False,0.40540540540540543,CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,sc071,new,True,0.99999998146183,heavy,O(amide_carbonyl)=1 O(ether)=2 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=6 estimated_denticity_per_pocket=2 n_donor_bearing_branches=12 n_amide_branches=6 n_donor_pairs_within_3=6 frac_donor_pairs_within_3=0.0392157 donor_network_diameter=20,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
2,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,HOEtBenDGA,11.745339130977145,1.875118324045796,143.43728610645306,Eu,16,2,sc009,True,0.6,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,sc009,sc009,True,0.9999967717915318,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=3 estimated_denticity_per_pocket=3 n_donor_bearing_branches=3 n_amide_branches=6 n_donor_pairs_within_3=6 frac_donor_pairs_within_3=0.166667 donor_network_diameter=20,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
3,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,L1f,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.4090909090909091,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,TIBDGA,sc010,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
4,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,L5b,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.7272727272727273,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,sc009,sc009,False,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
5,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,L1e,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,37,1,sc009,True,0.5714285714285714,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,sc009,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
6,CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,L1d,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.5813953488372093,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,sc009,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
7,CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,L4,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.6578947368421053,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,sc009,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
8,CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,L1c,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.55,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,sc009,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
9,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,L5a,11.608572638980213,1.8695909725547282,65.4321046391901,Eu,1,1,sc009,True,0.6875,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,sc009,sc009,True,0.9998896985927059,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=18,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
10,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,L6b,11.192851663508522,1.8030084074945267,81.4438408786914,Eu,1,1,sc009,True,0.7272727272727273,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,sc009,sc009,False,0.9998811753242753,heavy,O(amide_carbonyl)=2 O(ether)=1 N(aromatic)=0 N(amine)=0 S(donor)=0 O(hydroxyl)=0 O(ester_carbonyl)=0 O(carbonyl)=0 n_total=3 dentate=3 core_cn=9 n_ligands=3 n_fill=0,frozen chemistry map,topicity=2 estimated_denticity_per_pocket=3 n_donor_bearing_branches=2 n_amide_branches=4 n_donor_pairs_within_3=4 frac_donor_pairs_within_3=0.266667 donor_network_diameter=19,La-Er|Nd-Lu|Ce-Gd,La-Eu|Eu-Lu|Ce-Eu,bundle_single_lanthanide,L4
