design,order,budget,k_actual,macro_mae,draw_sd,macro_mae_far,macro_sign_acc,macro_pair_spearman,n_draws,n_folds_used,n_folds_skipped,n_flat_fallbacks,n_units,n_seeds
B,AOPT,6,6.0,0.6194516440714402,,0.8470158201774343,0.6307141904444323,0.1974409944011613,1,25,0,0,90,5
B,MAXMIN,6,6.0,0.5868578786838132,0.01777299451293102,0.8036463937834002,0.18974338622781725,0.24996371486367916,20,25,0,353,90,5
B,RANDOM,6,6.0,0.601957290185547,0.024706909079758026,0.8224257491374931,0.49805046087881777,0.26538941503751057,20,25,0,111,90,5
B,UNCERT,6,6.0,0.6359677973192687,,0.879081253985263,0.6094905456928563,0.12166236812473678,1,25,0,0,90,5
B,AOPT,9,9.0,0.6047939584194246,,0.8218211495836142,0.6857638479162049,0.2924998773614221,1,25,0,0,90,5
B,MAXMIN,9,9.0,0.5749072060610407,0.02097280933569299,0.7822494587076559,0.5509696834783525,0.2742213607284894,20,25,0,79,90,5
B,RANDOM,9,9.0,0.5746295648748071,0.0204748572584128,0.7772655407221128,0.6725255487543552,0.32477227172783013,20,25,0,11,90,5
B,UNCERT,9,9.0,0.6420360649549396,,0.8902772195262877,0.6086165034111795,0.1675889321425197,1,25,0,0,90,5
B,AOPT,12,12.0,0.570898418503917,,0.7729249615602922,0.6866914542450456,0.3058638938057197,1,25,0,0,90,5
B,MAXMIN,12,12.0,0.5799004085780897,0.02017479394998468,0.7901273739415426,0.6496393542382904,0.26667810618425,20,25,0,0,90,5
B,RANDOM,12,12.0,0.5523069405242734,0.01799956067260651,0.7413660032474346,0.7189908583508213,0.3754604734829626,20,25,0,0,90,5
B,UNCERT,12,12.0,0.6138359967406066,,0.847402818110951,0.6448775495746455,0.21594575180040368,1,25,0,0,90,5
B,AOPT,16,16.0,0.5575896775151052,,0.7561701425778239,0.6898821751777645,0.30983693880278984,1,25,0,0,90,5
B,MAXMIN,16,16.0,0.5470072057479571,0.022061221458688822,0.7386916006827385,0.706981416633679,0.3566281335638736,20,25,0,0,90,5
B,RANDOM,16,16.0,0.5332101809518148,0.015540230532418162,0.7113846366810945,0.7535240014388291,0.41999824470477554,20,25,0,0,90,5
B,UNCERT,16,16.0,0.5598209890706168,,0.7604075474476479,0.7570329576796613,0.3908699502672838,1,25,0,0,90,5
B,AOPT,20,20.0,0.5195571206981904,,0.6889956289319878,0.7592542680506252,0.44184831999489294,1,25,0,0,90,5
B,MAXMIN,20,20.0,0.528283654157319,0.011856919018263155,0.7055254290077593,0.7490614186522321,0.41891131475570925,20,25,0,0,90,5
B,RANDOM,20,20.0,0.5271703452671636,0.012704713993232012,0.7025598333874554,0.7603180325657924,0.43068518669340855,20,25,0,0,90,5
B,UNCERT,20,20.0,0.5309265372892708,,0.7155926942926364,0.7925900484812323,0.45701734260403803,1,25,0,0,90,5
B,AOPT,24,24.0,0.5027682045752606,,0.6684628005742842,0.7876519858159872,0.4707818187018981,1,25,0,0,90,5
B,MAXMIN,24,24.0,0.5349977782368148,0.00973823885628353,0.7144508859892605,0.7392578290695885,0.4121078528135401,20,25,0,0,90,5
B,RANDOM,24,24.0,0.5143410718065714,0.009435821238012723,0.6825139299787634,0.778008312473865,0.4559870622770239,20,25,0,0,90,5
B,UNCERT,24,24.0,0.5072786358036876,,0.6759430808066286,0.8133205471859262,0.495651287528888,1,25,0,0,90,5
B,FLAT,full,36.0,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5
B,FULL,full,36.0,0.4932079570494346,,0.6502393412817644,0.8081496698831565,0.5062372365904857,1,25,0,0,90,5
BR,AOPT,6,6.0,0.5366607610339551,,0.7083184351959042,0.7801753061470451,0.452109584383453,1,25,0,0,90,5
BR,MAXMIN,6,6.0,0.5854366051464794,0.023208041798354295,0.8003967885745766,0.23165448745680067,0.255911098490808,20,25,0,327,90,5
BR,RANDOM,6,6.0,0.6016278224945306,0.019002231945502705,0.8209312996953534,0.48323795583073004,0.2561210976461109,20,25,0,118,90,5
BR,UNCERT,6,6.0,0.595696195288377,,0.8162432471950382,0.6594244145302529,0.23662237428419247,1,25,0,0,90,5
BR,AOPT,9,9.0,0.5441358018835689,,0.7270911809690273,0.7625289124424497,0.4072219579536974,1,25,0,0,90,5
BR,MAXMIN,9,9.0,0.589250924311645,0.026533462950706237,0.805470702763729,0.4879693664135781,0.25440279787565967,20,25,0,104,90,5
BR,RANDOM,9,9.0,0.5740757901908011,0.023410697364815124,0.7769427363641168,0.666471985073464,0.3250206459325376,20,25,0,14,90,5
BR,UNCERT,9,9.0,0.6017531908809199,,0.8248595048765086,0.6547602356363265,0.24674111386576042,1,25,0,0,90,5
BR,AOPT,12,12.0,0.5157441309072102,,0.6838727535903293,0.7628483425504975,0.4380123943152821,1,25,0,0,90,5
BR,MAXMIN,12,12.0,0.574126745942056,0.030774423577918462,0.7803329010491848,0.6635753526638506,0.2899374573076795,20,25,0,0,90,5
BR,RANDOM,12,12.0,0.5495346795864953,0.017565250804864718,0.7367987486243912,0.7224938300222548,0.3754048038867779,20,25,0,0,90,5
BR,UNCERT,12,12.0,0.5673855140319597,,0.7701581292069303,0.7412435133982642,0.38792088421748655,1,25,0,0,90,5
BR,AOPT,16,16.0,0.540741981465611,,0.7267087072981177,0.7291748590634339,0.3695581099569056,1,25,0,0,90,5
BR,MAXMIN,16,16.0,0.5585070133360072,0.021409751031439144,0.7561121649916933,0.6779520096692158,0.30881476198318114,20,25,0,0,90,5
BR,RANDOM,16,16.0,0.5307417754687652,0.016964314481871197,0.7090026865789657,0.752631884439343,0.41489496941413667,20,25,0,0,90,5
BR,UNCERT,16,16.0,0.516367451934944,,0.6908869875620516,0.8041008242083751,0.4777085589475904,1,25,0,0,90,5
BR,AOPT,20,20.0,0.5026383295816816,,0.6661813764266362,0.794725493107787,0.47438052975114475,1,25,0,0,90,5
BR,MAXMIN,20,20.0,0.5476271747948707,0.016224747565913192,0.7364272606789539,0.6989490540798846,0.3451332193053328,20,25,0,0,90,5
BR,RANDOM,20,20.0,0.5123836786621119,0.01167115800355127,0.6795460173270744,0.781991926531188,0.45842980698481534,20,25,0,0,90,5
BR,UNCERT,20,20.0,0.5133140632334792,,0.687133282392756,0.806240161568892,0.4881347080396742,1,25,0,0,90,5
BR,AOPT,24,24.0,0.4910193918581009,,0.6501732527958362,0.8080947350994674,0.4933568908177001,1,25,0,0,90,5
BR,MAXMIN,24,24.0,0.5263218875844509,0.008070059473463237,0.699819131976551,0.7496129599243917,0.4232758184644633,20,25,0,0,90,5
BR,RANDOM,24,24.0,0.5032895979810459,0.007153450682341988,0.6655028098089718,0.7949923436530968,0.47942227242430435,20,25,0,0,90,5
BR,UNCERT,24,24.0,0.5016221604749879,,0.6666426258489948,0.8203964584833867,0.5040005000533131,1,25,0,0,90,5
BR,FLAT,full,33.32,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5
BR,FULL,full,33.32,0.4905920517292001,,0.6457480237299666,0.8092998975051431,0.5025068226822679,1,25,0,0,90,5
BQ,AOPT,6,6.0,0.589092075161937,,0.7977251402103236,0.674066461647453,0.27711721647312776,1,25,0,0,90,5
BQ,MAXMIN,6,6.0,0.586813784247491,0.01430505706130992,0.8034280206036243,0.19433531004439403,0.26952183343077557,20,25,0,345,90,5
