design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,loco_stable,p_bh_within_lead_family
B,AOPT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_AOPT,AOPT,-0.03686752964431387,-0.07295801420905368,0.004074257443397836,-0.0882479083745477,-0.0018310217104787645,0.1374,0.02246981424065034,0.06291547987382096,-0.00972566410398752,90,30,1,5,-0.04056569828058057,-0.006899387092882058,True,0.02,False,False,exploratory,L4,True,0.2061
B,MAXMIN_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_MAXMIN,MAXMIN,0.028305710860967684,0.010121709808532083,0.05354369431071414,0.008564808748169677,0.05132140035389158,0.003,0.01104447286508597,0.03092452402224071,0.03209093065376033,90,65,5,5,0.024791339914615153,0.03525563478127958,True,0.02,True,True,exploratory,L4,True,0.015
B,UNCERT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_UNCERT,UNCERT,-0.04866049649647986,-0.084444796163396,0.0015425787071167297,-0.09344299852820433,-0.00819604144284686,0.0598,0.02274856823453448,0.06369599105669654,-0.026771433217704917,90,22,2,5,-0.058482206041631256,-0.024396793154466755,True,0.02,False,False,exploratory,L4,True,0.1495
BR,AOPT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_AOPT,AOPT,-0.005809675801295022,-0.015096192954560696,0.0024427633499424896,-0.0163875229906307,0.0014328815196088692,0.155,0.0043617042061660114,0.012212771777264831,-0.00605991630508213,90,40,2,5,-0.007206297411517923,-0.003175738368384349,True,0.02,False,False,exploratory,L4,True,0.2113636363636364
BR,MAXMIN_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_MAXMIN,MAXMIN,0.015546627854507373,-0.006984606662736445,0.04780119370146069,-0.012825761629645776,0.04189557140713326,0.1922,0.014501455570079098,0.04060407559622147,0.025101882018122506,90,46,4,5,0.01213113096574561,0.03116428128919597,True,0.02,False,False,exploratory,L4,True,0.24025
BR,UNCERT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_UNCERT,UNCERT,-0.018579169940035025,-0.037994504230430354,0.006805257956053494,-0.03661334092610964,0.008800691396610577,0.1308,0.011246001871392877,0.03148880523990005,-0.014638010873734217,90,31,3,5,-0.025231020378372337,-0.014494867088632948,True,0.02,False,False,exploratory,L4,True,0.2061
BQ,AOPT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_AOPT,AOPT,-0.02722409924896244,-0.05324258115647328,0.0030383632269603694,-0.06464085436994356,-0.002228989106577001,0.1174,0.016142297885775005,0.04519843408017001,-0.009011765948513781,90,28,1,5,-0.02987933584464902,-0.006002480221244885,True,0.02,False,False,exploratory,L4,True,0.2061
BQ,MAXMIN_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_MAXMIN,MAXMIN,0.019458230460757415,-0.0003696690285608286,0.049253176407052734,-0.003362968782733172,0.04508287530647272,0.056,0.012838803731350035,0.035948650447780096,0.026426733803022726,90,42,4,5,0.015576451065884987,0.030276650108194084,True,0.02,False,False,exploratory,L4,True,0.1495
BQ,UNCERT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_UNCERT,UNCERT,-0.009701843534899477,-0.04902773847631629,0.015823118070951686,-0.04454628420763314,0.019127940276411418,0.509,0.016787772972286733,0.04700576432240285,-0.017326318341912842,90,36,2,5,-0.023250559520508154,-0.002768701872482937,True,0.02,False,False,exploratory,L4,True,0.5873076923076923
A,AOPT_vs_RANDOM_CELLMATCHED,mae_all,RANDOM_CELLMATCHED_AOPT,AOPT,0.0016968221289528477,-0.008212049847340913,0.013690459146155938,-0.00744284356031832,0.014764008988309707,0.7664,0.005548811645792295,0.015536672608218427,0.0016874205843004394,90,42,3,5,-0.0012726620516565676,0.0034021820407394506,False,0.02,False,False,exploratory,L4,False,0.7663999999999999
