tag,note,n_ext,macro,acc_lo,acc_hi,gain_vs_always_heavy,gain_lo,gain_hi,p
B_train_majority_unweighted,"constant, learned per fold",82,0.5585524231865696,0.3180010516213347,0.7118270604130477,0.0,0.0,0.0,0.00025
B_train_majority_chemotype_weighted,"constant, learned per fold",82,0.34727167141801285,0.2487737002055184,0.5015584415584418,-0.21128075176855665,-0.4543507656827337,0.16791866028708144,0.32499999999999996
B_stratum_majority_chemotype_size,training majority in the cell's chemotype-size tertile,82,0.5585524231865696,0.3180010516213347,0.7118270604130477,0.0,0.0,0.0,0.00025
B_DONORS_13,"13 cols, ET BP",82,0.6936743744060817,0.5502126099706746,0.7783248507655802,0.1351219512195122,-0.002138139534883706,0.3402758952174958,0.054
B_PHYSCHEM_10,"10 cols, ET BP",82,0.637916798648506,0.5349385862299465,0.7188665854978354,0.07936437546193645,-0.07450933732486152,0.31259245926733087,0.3595
B_MolWt_1,"1 cols, ET BP",82,0.36557174532784287,0.2902335128365079,0.49006493506493515,-0.19298067785872663,-0.40508805329136127,0.14607466657331888,0.2965
B_dentate_1,"1 cols, ET BP",82,0.6095966634991026,0.5163576828132247,0.7098103084415583,0.051044240312533,-0.12439667532467533,0.31779159832330967,0.603
B_COND_64,"64 cols, ET BP",82,0.42122021609826493,0.34596397291959047,0.5093710784313725,-0.13733220708830465,-0.29314337828292947,0.10249580076785957,0.3274999999999999
B_COORD_nontopo_75,"75 cols, ET BP",82,0.6906145074437757,0.5770893152839874,0.7697403046558184,0.13206208425720622,-0.01725293762252936,0.35789623205741633,0.086
B_n_metals_proxy,"1 cols, ET BP",82,0.39566782810685247,0.28792535650623885,0.5639380605014773,-0.16288459507971706,-0.4080851231423373,0.21321755485893423,0.4455
M_topo39_ET,reference,82,0.7683085207475452,0.629886998289776,0.8499848885446711,0.2097560975609756,0.06964091614906832,0.4237326081457121,0.003
M_topo39_logit,L2 logistic,82,0.8205036426987645,0.7037252304465419,0.9013064767573696,0.26195121951219513,0.10848055162659126,0.5018421717171718,0.001
M_lean209_ET,the 'full compact set',82,0.7209109679841388,0.5958062442607897,0.799896113960114,0.1623585447975692,0.027987124788186886,0.3782413080649759,0.016
M_chem137_ET,PHYSCHEM+DONORS+COORD = 137 cols,82,0.7336743744060816,0.6207150384897362,0.813263815599605,0.1751219512195122,0.019007180937874017,0.408955223880597,0.024
