model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN9_A0_ROW_ONLY,104729,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,130363,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,155921,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,196613,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,262147,5248,5248,0,0,0,0,0,5248
GEN9_A1_ADJ_d05,104729,5248,5248,0,0,0,0,0,5248
GEN9_A1_ADJ_d05,130363,5248,5248,0,0,0,0,0,5248
GEN9_A1_ADJ_d05,155921,5248,5248,0,0,0,0,0,5248
GEN9_A1_ADJ_d05,196613,5248,5248,0,0,0,0,0,5248
GEN9_A1_ADJ_d05,262147,5248,5248,0,0,0,0,0,5248
GEN9_A2_END_d05,104729,5248,5248,0,0,0,0,0,5248
GEN9_A2_END_d05,130363,5248,5248,0,0,0,0,0,5248
GEN9_A2_END_d05,155921,5248,5248,0,0,0,0,0,5248
GEN9_A2_END_d05,196613,5248,5248,0,0,0,0,0,5248
GEN9_A2_END_d05,262147,5248,5248,0,0,0,0,0,5248
GEN9_A3_RAND_d05,104729,5248,5248,0,0,0,0,0,5248
GEN9_A3_RAND_d05,130363,5248,5248,0,0,0,0,0,5248
GEN9_A3_RAND_d05,155921,5248,5248,0,0,0,0,0,5248
GEN9_A3_RAND_d05,196613,5248,5248,0,0,0,0,0,5248
GEN9_A3_RAND_d05,262147,5248,5248,0,0,0,0,0,5248
GEN9_A4_MULTI_d05,104729,5248,5248,0,0,0,0,0,5248
GEN9_A4_MULTI_d05,130363,5248,5248,0,0,0,0,0,5248
GEN9_A4_MULTI_d05,155921,5248,5248,0,0,0,0,0,5248
GEN9_A4_MULTI_d05,196613,5248,5248,0,0,0,0,0,5248
GEN9_A4_MULTI_d05,262147,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d2,104729,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d2,130363,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d2,155921,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d2,196613,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d2,262147,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d8c,104729,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d8c,130363,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d8c,155921,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d8c,196613,5248,5248,0,0,0,0,0,5248
GEN9_X_MULTI_d8c,262147,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,104729,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,130363,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,155921,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,196613,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,262147,5248,5248,0,0,0,0,0,5248
