grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,0.11675921050235455,0.1905481244750937,0.75,-0.3118040661679453,0.09068560205018934,0.15614002782390404,0.8333333333333334,0.11917806626202676,0.026073608452165206
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.0467002179544245,0.05897925861304316,0.8333333333333334,0.6970586250152991,0.0467002179544245,0.05897925861304316,0.8333333333333334,0.6970586250152991,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.2532174830452905,0.3568019592047435,0.25,-0.43063131055678383,0.2337001035548806,0.3366448876189123,0.25,-0.27355384665815197,0.01951737949040991
extractant,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,12,0.1738167502615133,0.2138157616342386,0.5,-0.3130475582237826,0.17233003064441932,0.20196497742283231,0.5,-0.1715292981161638,0.0014867196170939845
extractant,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,12,0.1307610811848401,0.17839271522556763,0.8333333333333334,0.4093379742345795,0.1307610811848401,0.17839271522556763,0.8333333333333334,0.4093379742345795,0.0
extractant,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,12,0.07853584980933326,0.11577528499448535,0.9166666666666666,-1.0304101297185846,0.053057434816749606,0.06757276586611151,0.9166666666666666,0.3083355645464827,0.025478414992583652
extractant,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.0593282285484478,0.08740445815496488,0.8333333333333334,0.6513764871846268,0.0593282285484478,0.08740445815496488,0.8333333333333334,0.6513764871846268,0.0
extractant,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,0.08540549454931491,0.11388667704249629,1.0,0.7056867684517856,0.11956034799882276,0.14464572492606403,0.8333333333333334,0.525238876113052,-0.034154853449507847
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,12,0.0726361072875864,0.11415782998390656,0.8333333333333334,0.6476897371446724,0.05124324105489423,0.0927268127491641,0.9166666666666666,0.7675526767018548,0.021392866232692175
extractant,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,12,0.16438593651294123,0.181366605552686,0.75,0.25369594068026335,0.16140274267659163,0.17852375982059746,0.75,0.27690858771453075,0.002983193836349596
