grouping,pair_label,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
pair_type,Sm-Eu,186,0.16449961034042845,0.22398873173397943,0.7365591397849462,0.07706922255549575,0.16327187674090593,0.22038276159445783,0.7258064516129032,0.10654634629122584,0.0012277335995225236
pair_type,La-Ce,174,0.2084828308075969,0.2899606714624169,0.7816091954022989,-0.024370807253708326,0.19487165730443243,0.2771568212227198,0.7758620689655172,0.06409850045459098,0.013611173503164459
pair_type,Ho-Er,169,0.10991864282692881,0.15740947313276735,0.6331360946745562,-0.4202124343202689,0.10040271426431244,0.14391980979979935,0.6390532544378699,-0.18722417906116018,0.009515928562616377
pair_type,Dy-Ho,168,0.12420579011488989,0.1791528245075689,0.6964285714285714,-0.13083775942625975,0.11624228079915311,0.17123976471055888,0.7559523809523809,-0.033147257243963946,0.007963509315736778
pair_type,Eu-Gd,168,0.15891942375549475,0.22625101896812044,0.6845238095238095,-0.2556324750054666,0.15606790363663553,0.22287505687419198,0.7023809523809523,-0.21844066761476744,0.0028515201188592243
pair_type,Gd-Tb,167,0.15179822103831864,0.19717975142612829,0.874251497005988,0.08614920654410207,0.15378963855413427,0.20133948773342797,0.874251497005988,0.047185007158967895,-0.0019914175158156355
pair_type,Pr-Nd,160,0.15925907341351134,0.23625883294644112,0.7125,0.03202982375537311,0.16056969726556003,0.23647011152629516,0.71875,0.030297801248086342,-0.0013106238520486924
pair_type,Tb-Dy,159,0.12892417054197758,0.17520690712980683,0.7295597484276729,-0.10808375945680382,0.12365286670570404,0.16926618570423724,0.7169811320754716,-0.03421434859273176,0.0052713038362735415
pair_type,Ce-Pr,156,0.2151608723019902,0.342443486087099,0.7115384615384616,-0.26749583378855735,0.21668685026045517,0.33987533777368684,0.717948717948718,-0.2485559994805715,-0.001525977958464958
pair_type,Yb-Lu,135,0.09978959569479247,0.12792819702771452,0.5703703703703704,-0.06734544502581952,0.09528983660237497,0.12476242771459992,0.562962962962963,-0.015173042430360884,0.004499759092417496
pair_type,Er-Tm,133,0.1030747781514072,0.1694073990454731,0.41353383458646614,-0.07890877553238362,0.09850308341082506,0.16481352027257687,0.518796992481203,-0.021187869947596694,0.004571694740582138
pair_type,Tm-Yb,129,0.06610459893458452,0.11854050574056692,0.5736434108527132,0.09308445122822451,0.06573862618870907,0.11962931775844897,0.5813953488372093,0.07634763155879043,0.0003659727458754508
