extractant,extractant_name,chemotype,split_seed,n_cells,sd_obs,sd_pred,range_obs,range_pred,corr,slope_pred_on_obs,acid_slope_obs,acid_slope_pred,rms_within_err,mean_abs_drz,arm
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,104729,4,0.04082267461379379,0.015049468521896248,0.08196700658639061,0.03318024669491049,-0.9359126912225397,-0.3450285587372453,0.2252782134700044,-0.08062300190404355,0.047772516241317,1.2197602841934114,C_DIRECT_ROW
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,130363,4,0.04082267461379379,0.01881406669818858,0.08196700658639061,0.037094156713047444,-0.9917876678507076,-0.4570881136504246,0.2252782134700044,-0.10658262392221517,0.0515552575390324,1.2197602841934114,C_DIRECT_ROW
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,155921,4,0.04082267461379379,0.014147207254699827,0.08196700658639061,0.028372550522631268,-0.9960789182536899,-0.34519381769783825,0.2252782134700044,-0.0794980211238545,0.04756962412675464,1.2197602841934114,C_DIRECT_ROW
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,196613,4,0.04082267461379379,0.005031688480133663,0.08196700658639061,0.011465549770617145,-0.6072656458015546,-0.07484986182968408,0.2252782134700044,-0.019920290062828177,0.038157062172982294,1.2197602841934114,C_DIRECT_ROW
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,262147,4,0.04082267461379379,0.035652472229141204,0.08196700658639061,0.06512279501949844,-0.9788986491702365,-0.8549208799977321,0.2252782134700044,-0.20445983467612383,0.06588071628284353,1.2197602841934114,C_DIRECT_ROW
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,104729,12,0.1930890364679906,0.01804529344294991,0.7173987791384324,0.05734310946705154,-0.3391946080495889,-0.03169970884150085,0.13458013192277798,-0.050706039871474685,0.19142019277462086,0.9652971570555547,C_DIRECT_ROW
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,130363,12,0.1930890364679906,0.08141569312327086,0.7173987791384324,0.24304549260632213,-0.2237866387874472,-0.09435928958932632,0.13458013192277798,-0.25420645561435207,0.21610713492983866,0.9652971570555547,C_DIRECT_ROW
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,155921,12,0.1930890364679906,0.07210326017395821,0.7173987791384324,0.2211085649931397,-0.19808458155716993,-0.07396869538387282,0.13458013192277798,-0.14703715721774285,0.20975709691332423,0.9652971570555547,C_DIRECT_ROW
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,196613,12,0.1930890364679906,0.09020393441535589,0.7173987791384324,0.28687286801054873,-0.14696782696068914,-0.06865784027322104,0.13458013192277798,-0.20540456923017333,0.215239575301078,0.9652971570555547,C_DIRECT_ROW
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,262147,12,0.1930890364679906,0.012052551395033136,0.7173987791384324,0.04346025178414448,0.047519995450078296,0.002966181808819297,0.13458013192277798,0.032591276789083114,0.18468037163684756,0.9652971570555547,C_DIRECT_ROW
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,sc009,104729,8,0.9351176584667671,0.12868272587498247,2.9078424473739286,0.2779289606588923,0.4176915516191557,0.05747906367786133,1.8250926102648148,0.04657593886412387,0.8316668509512392,1.0844417373689088,C_DIRECT_ROW
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,sc009,130363,8,0.9351176584667671,0.10666379590032996,2.9078424473739286,0.2553619141469313,0.4504586575962995,0.05138137418361667,1.8250926102648148,0.0834092329003818,0.8345457430505246,1.0844417373689088,C_DIRECT_ROW
