arm,n_cells,n_extractants,macro_as_shipped,macro_within_rank1,macro_within_rank2,macro_level_rank2,macro_full_rank2,gain_within_rank2,gain_level_rank2,gain_full_rank2,gain_within_given_level,gain_within_rank2_scaled_to_full_macro
C_DIRECT_ROW,169,12,0.4682282360802015,0.4768059168314255,0.44488069266439734,0.26557561052193235,0.12371279162954318,0.02334754341580414,0.20265262555826913,0.3445154444506583,0.14186281889238916,0.0031130057887738855
M_SELECTED,169,12,0.5049822284318364,0.5037738468549815,0.46700676603077945,0.2645006737081214,0.12514858987773986,0.037975462401056925,0.24048155472371496,0.3798336385540965,0.13935208383038156,0.00506339498680759
X_ENS_DIRECT+LOWRANK_K2,169,12,0.4624134204979352,0.45861769271854225,0.42087607689906736,0.26232634490414436,0.12142282343020003,0.04153734359886785,0.20008707559379085,0.34099059706773516,0.14090352147394433,0.005538312479849047
X_ENS_DIRECT+PHYSICS,169,12,0.46877731426530334,0.4693427731979295,0.4310838823908848,0.26153370499788375,0.12079906004939853,0.03769343187441854,0.20724360926741958,0.3479782542159048,0.14073464494848523,0.005025790916589138
M_LOWRANK_K2,169,12,0.4898763232817063,0.47870200457339934,0.4395691051232421,0.26413980479833943,0.12459625737455896,0.05030721815846423,0.2257365184833669,0.36528006590714734,0.13954354742378047,0.006707629087795231
M_PHYSICS_radius+radius_sq,169,12,0.4990145089786255,0.49267208116990646,0.45453688138789783,0.26120699895043914,0.12228248689512822,0.04447762759072765,0.23780751002818634,0.37673202208349726,0.13892451205531092,0.005930350345430354
B1_MEAN_CURVE,169,12,0.48549010143211657,0.49584061791556283,0.469209776033081,0.26218926854546926,0.12433390252589545,0.016280325399035567,0.22330083288664732,0.36115619890622114,0.13785536601957382,0.0021707100532047424
B3_NN_TANIMOTO,169,12,0.7016458296163,0.7310610821637168,0.7103380340941893,0.28028774952468155,0.14464903650602995,-0.00869220447788932,0.4213580800916184,0.55699679311027,0.1356387130186516,-0.0011589605970519093
