arm,n_extractants,n_cells,sd_obs,sd_pred,sd_ratio_pred_over_obs,range_obs,range_pred,corr_obs_pred,slope_pred_on_obs,acid_slope_obs,acid_slope_pred,rms_within_amp_error,rms_within_amp_error_in_logSF
C_DIRECT_ROW,12,169,0.3404624950033124,0.06091264365144726,0.2125585346625166,1.1129979152881722,0.17420001040770972,-0.008970743417156755,-0.03357154060463576,-0.13008768850637434,-0.010519410359586728,0.3243955231387018,0.35144302831811197
M_SELECTED,12,169,0.3404624950033124,0.03497048194421661,0.09565932556959303,1.1129979152881722,0.09562119599976174,0.04246702589996944,0.001629973591313335,-0.13008768850637434,-0.01731709442360762,0.3203199323047113,0.347027622177409
X_ENS_DIRECT+LOWRANK_K2,12,169,0.3404624950033124,0.04705281652484743,0.14305953880295502,1.1129979152881722,0.1308100545612817,-0.0025294100480657334,-0.013928335643963502,-0.13008768850637434,0.00287447437271824,0.31902384479387447,0.3456234692613436
X_ENS_DIRECT+PHYSICS,12,169,0.3404624950033124,0.03128049694557887,0.11237201619067694,1.1129979152881722,0.09030027565031813,0.07275879211547277,-0.013973997167628588,-0.13008768850637434,-0.01097146068054345,0.31906090138324766,0.34566361556133707
M_LOWRANK_K2,12,169,0.3404624950033124,0.043819801204925395,0.1139818182184911,1.1129979152881722,0.12042103729633755,0.08321385437982767,0.0057148693167088545,-0.13008768850637434,0.016268359105023184,0.315535872456071,0.3418446761718862
M_PHYSICS_radius+radius_sq,12,169,0.3404624950033124,0.008824313447292896,0.043738431925352164,1.1129979152881722,0.027723714794013178,0.07606414593452987,0.00562354626937857,-0.13008768850637434,-0.011423511001500155,0.31718173093482255,0.3436277633192022
B1_MEAN_CURVE,12,169,0.3404624950033124,0.022747654253717598,0.06355073290850707,1.1129979152881722,0.06923109088792165,-0.06372239288910087,-0.0025687482761956185,-0.13008768850637434,-0.005136488804544395,0.31763714895884354,0.344121153264797
B3_NN_TANIMOTO,12,169,0.3404624950033124,0.023790513501923048,0.06464536779302121,1.1129979152881722,0.06207540515086547,-0.06269859367520528,-0.011846097837737237,-0.13008768850637434,-0.006709216646455638,0.3239801118311724,0.3509929807758304
