term,df,ss,frac_of_total,rss_after,frac_of_within_extractant_SS,order,ms,F,p
extractant identity,14,38.32905930221991,0.5968151276203444,25.893607866167294,,primary (conditions before provenance),2.737789950158565,53.61747996397219,5.084250872198568e-32
measured metal set (design nuisance),46,7.234177559859539,0.11264212277095323,18.659430306307755,0.2793808262351786,primary (conditions before provenance),0.1572647295621639,3.079907019839291,1.005174746479288e-05
"acid concentration (log10 M, slope per extractant)",10,5.531045572518204,0.08612295029753593,13.12838473378955,0.21360660133210302,primary (conditions before provenance),0.5531045572518204,10.83212118399134,6.455766606031462e-11
acid identity,8,0.7035563331633234,0.010954953510707511,12.424828400626227,0.02717104301570093,primary (conditions before provenance),0.08794454164541543,1.722325227814018,0.1080861509935869
"extractant concentration (log10 M, slope per extractant)",5,1.8427049079994386,0.028692438188031015,10.582123492626788,0.07116447107423471,primary (conditions before provenance),0.36854098159988774,7.217587563899914,1.6373300749906113e-05
"temperature (C, slope per extractant)",6,0.04817370429566026,0.0007501043855645589,10.533949788331128,0.0018604477423404655,primary (conditions before provenance),0.008028950715943376,0.15724073503844999,0.9869631251118274
diluent identity,19,6.856981412750086,0.10676886705392623,3.676968375581042,0.2648136732505882,primary (conditions before provenance),0.360893758565794,7.067822667660595,4.753045431064674e-10
publication_id,2,0.05160055538747477,0.0008034632889378734,3.625367820193567,0.0019927912577565633,primary (conditions before provenance),0.025800277693737383,0.5052783075008231,0.6054906207271671
residual,71,3.625367820193567,0.05644997288399926,3.625367820193567,0.14001014609209747,primary (conditions before provenance),0.051061518594275594,,
extractant identity,14,38.32905930221991,0.5968151276203444,25.893607866167294,,provenance first (publication before conditions),2.737789950158565,53.61747996397217,5.084250872198592e-32
measured metal set (design nuisance),46,7.234177559859539,0.11264212277095323,18.659430306307755,0.2793808262351786,provenance first (publication before conditions),0.1572647295621639,3.07990701983929,1.0051747464792995e-05
publication_id,9,3.4945989749783273,0.05441379389952368,15.164831331329427,0.1349599095282657,provenance first (publication before conditions),0.3882887749975919,7.604332689022729,1.021692021540626e-07
"acid concentration (log10 M, slope per extractant)",9,3.424920983356314,0.05332884998962154,11.739910347973114,0.132268975457504,provenance first (publication before conditions),0.3805467759284793,7.4527116780882725,1.4001958614343633e-07
acid identity,5,0.49977278872407815,0.007781875321585601,11.240137559249035,0.01930101016850122,provenance first (publication before conditions),0.09995455774481563,1.9575320220895527,0.09556214608412152
"extractant concentration (log10 M, slope per extractant)",5,1.2267693359254395,0.01910181233533853,10.013368223323596,0.04737730416966505,provenance first (publication before conditions),0.2453538671850879,4.805064047049199,0.0007698537669565541
"temperature (C, slope per extractant)",3,0.03057157623448603,0.0004760247056437186,9.98279664708911,0.0011806611265798533,provenance first (publication before conditions),0.010190525411495344,0.19957348884327503,0.8963450510081785
diluent identity,19,6.357428826895542,0.09899042047299005,3.625367820193568,0.24552116722220804,provenance first (publication before conditions),0.3346015172050285,6.55290963560453,2.1648272209531915e-09
residual,71,3.625367820193568,0.05644997288399927,3.625367820193568,0.1400101460920975,provenance first (publication before conditions),0.05106151859427561,,
