extractant_name,chemotype,n_cells,n_acid_cells,acid_levels,acid_M_min,acid_M_max,amp_mean,amp_sd,acid_slope,acid_se,acid_t,acid_p,acid_r2,n_ext_cells,ext_levels,ext_M_min,ext_M_max,ext_slope,ext_se,ext_t,ext_p,ext_r2,n_publications,n_diluents,n_acid_types,joint_acid_slope,joint_ext_slope,joint_n
TODGA,sc009,53,53,21,0.009332539999999999,5.000000000000001,-0.704158114808666,0.4542719300167422,-0.11003828744039562,0.08171258286773281,-1.3466504616371422,0.1840471657441158,0.034337216487459465,53,10,0.04,0.497006,-0.007093534921096928,0.2459542610662744,-0.028840870210358,0.9771040704926789,1.6309455457608202e-05,10,10,6,-0.1113262782154473,0.032049422554868076,53
DMDODGA,sc009,23,23,17,0.49855099999999997,5.994199999999999,-0.9826844720904504,0.2789781649404835,-0.3478332313734608,0.2037424398551966,-1.7072203102145636,0.1025254383200656,0.121875383358651,23,3,0.024,0.1,0.9369982222877109,0.18267339075835412,5.129363496225897,4.4188176759297606e-05,0.5561226839938709,5,6,2,-0.37337815822453413,0.9529159024357858,23
DHD2DGA,sc009,20,20,6,0.1,7.0,-0.09834256068690372,0.0961102067070656,-0.10404262267836509,0.027594121367944084,-3.7704633277155453,0.0014006061732616342,0.4412782459619472,20,1,0.1,0.1,,,,,,1,1,3,,,20
C5BTBP,sc061,16,16,5,0.1,1.0,-0.7220850755278131,0.15148132836038922,-0.38442512838403053,0.05722453755023755,-6.7178372223024585,9.817113940768078e-06,0.7632308981759961,16,3,0.005,0.015,-0.24956407312423817,0.18345852008971217,-1.3603296974280619,0.1952271951930638,0.1167469322285869,2,2,1,-0.39221183145842586,-0.27965294894239257,16
DBD1MHDGA,sc018,12,12,5,1.0,5.000000000000001,-0.5820398673605114,0.1930890364679906,0.13458013192277804,0.22108832678680432,0.6087165879750576,0.5562864315791717,0.0357296757471004,12,4,0.075,0.400287,-0.21978250565112378,0.22641024978103733,-0.9707268370741905,0.35457770439467473,0.0861162351657595,1,1,1,0.074065645954705,-0.19425067143010455,12
DMDPhPDA,sc077,10,10,5,1.0,5.000000000000001,-0.20731440638117832,0.2720416037053897,-0.773465886394834,0.24867808323523904,-3.1103098284024,0.014438725556104448,0.5473583979191314,10,1,0.5,0.5,,,,,,1,2,1,,,10
TDdDGA,sc009,8,8,8,0.5,4.99853,-0.7230142540076137,0.9351176584667671,1.8250926102648162,0.836395601440997,2.18209254941134,0.07185372888436738,0.44245835173314896,8,2,0.08,0.1,18.59164373973761,8.157091722951835,2.279200034912662,0.06286871915646458,0.46403461446163374,2,2,1,1.4012922893352897,14.554419031081807,8
DOODA (C12),sc009,6,6,5,0.001,5.000000000000001,1.1545182870070951,0.4696530404470176,0.035533809470540655,0.13796844133774552,0.25755027110550743,0.8094609821329757,0.016312524365386993,6,1,0.2,0.2,,,,,,1,1,1,,,6
DMDPDGA,sc076,6,6,3,1.0,4.0,-0.0835322832779732,0.7497341365983783,-2.8037731161531325,0.6605504841457901,-4.244600804098892,0.013214896900170471,0.8183192017838232,6,2,0.1,0.2,-5.190915037056571,1.6024841804184378,-3.2392925312380485,0.031695186956018515,0.724004998573754,3,4,1,-3.311711774424599,1.045063071545607,6
TBDGA,sc009,6,6,3,0.482051,1.5,-0.5926634042502007,0.3795970571334645,0.8284465208889927,0.8742941257611997,0.9475604335871638,0.39700878052124555,0.18331859219885582,6,2,0.05,0.1,1.4106059260586492,1.3739385065391254,1.0266878170638707,0.36259554997727517,0.20856144571427826,2,1,1,-52.23240979958737,84.74798833097128,6
mTDDGA,sc027,5,5,5,1.6,5.599999999999999,-0.36026500242986337,0.06465310258226671,-0.08640527566940275,0.16647107207018555,-0.5190407834519957,0.639591886688099,0.08240137642601819,5,1,0.5,0.5,,,,,,1,1,1,,,5
T2EHDGA,sc009,4,4,2,1.5,3.0,-0.2769462251915231,0.04082267461379379,0.22527821347000448,0.04701028856314398,4.792104459588924,0.040893392370888175,0.9198854847978232,4,1,0.1,0.1,,,,,,3,2,2,,,4
