arm,base_macro_mae,mae_lambda1,delta_lambda1,best_lambda,mae_best,delta_best,corr_rms
C_DIRECT_ROW,0.49532081290529495,0.500935959831596,0.005615146926301051,-0.1,0.49526571340470493,-5.509950059001678e-05,0.06385742117023625
X_ENS_DIRECT+LOWRANK_K2,0.48098083670010805,0.4864997134725833,0.005518876772475256,-0.1,0.4809061199253768,-7.471677473125382e-05,0.06385742117023625
B1_MEAN_CURVE,0.6032535776161898,0.609473211316114,0.006219633699924176,-0.5,0.6024551362232666,-0.0007984413929231771,0.06385742117023625
