element_index,mean_resid
0.000000000000000000e+00,1.172189277164188172e-02
1.000000000000000000e+00,3.323752780116000921e-02
2.000000000000000000e+00,1.655729318148905756e-03
3.000000000000000000e+00,-6.254950412557261363e-02
4.000000000000000000e+00,1.145338828849447842e-02
5.000000000000000000e+00,2.552911988844421866e-03
6.000000000000000000e+00,-7.154223452529473448e-02
7.000000000000000000e+00,4.013776234559692652e-02
8.000000000000000000e+00,3.311993014725624074e-02
9.000000000000000000e+00,5.788651261536919418e-02
1.000000000000000000e+01,2.937669041457669980e-02
1.100000000000000000e+01,1.304487406215116239e-02
1.200000000000000000e+01,-2.447415839111407795e-02
1.300000000000000000e+01,-5.725071454326910447e-02
