unit,n_groups,n_draws,median_r,lo,hi,frac_positive,perm_null_median_r
extractant,77,500,0.717400813311615,0.38147214660141887,0.9120424344444255,1.0,0.019221540294156767
publication,39,500,0.7020552903634694,0.3372469266126969,0.9043636470841876,0.998,0.026465927997250414
chemotype,36,500,0.48998926240730456,0.018223208627158136,0.7948851454755275,0.98,0.13247341362424098
