lam,loeo,insample
0.0,0.1406973704601918,0.1406973704601918
0.05,0.14017632637855426,0.14012471437995297
0.1,0.13970698905975903,0.13960158938150785
0.15,0.13929873485355923,0.1391382916722994
0.2,0.138942349863549,0.13872548942287657
0.25,0.13865099641094603,0.13837709035032789
0.3,0.13841481932242714,0.1380823126916093
0.35,0.1382252414862814,0.13783375095680067
0.4,0.13807592683347122,0.13762534296072296
0.45,0.1379731266150488,0.1374633085530763
0.5,0.1379096889791489,0.13734076339484075
0.55,0.13788573575251886,0.13725823172619947
0.6,0.13789780092773404,0.13720991651489634
0.65,0.13794522982594823,0.13719768997123416
0.7,0.13802978477903938,0.13722384378067462
0.75,0.1381678297698497,0.13730241264050727
0.8,0.1383472532998627,0.13742239795452738
0.85,0.138565904218755,0.1375831108144283
0.9,0.13884108128763084,0.13779751472146806
0.95,0.1391615691227604,0.138057960718312
1.0,0.1395372223137387,0.1383760794330315
1.05,0.13995267103052847,0.1387339015211015
1.1,0.14041844647035376,0.13914291981489912
1.15,0.14092646961025007,0.13959542561823418
1.2,0.14147919781158308,0.14009165915314997
1.25,0.14207098958223613,0.14062674377343118
1.3,0.14269689344567457,0.14119682422276222
1.35,0.14336166782691273,0.14180619344878195
1.4,0.14405546848251732,0.1424457180234195
1.45,0.14478015034892544,0.1431170050117631
1.5,0.1455315976849697,0.1438151956743406
1.55,0.14631252958725993,0.1445444262862055
1.6,0.14713319296916413,0.14531072104036977
1.65,0.14797950684102484,0.14610543458014894
1.7,0.14885985816010647,0.1469364684700413
1.75,0.14978313518499206,0.1478073888523021
1.8,0.150727418247558,0.14870152980739823
1.85,0.15169296380287325,0.14961971762194007
1.9,0.15269034013267796,0.1505680726487724
1.95,0.15370849137038806,0.1515420158241545
2.0,0.15475685912227216,0.15254602345783783
