design,n_chemotypes,topo39_macro,embed_macro,embed_wins,ties,embed_loses,worst_case_topo39_macro,best_case_embed_macro,embed_ever_beats_topo39_after_dropping_one
B,45,0.7986717366915689,0.6416982836601449,5,24,16,0.79409609434365,0.6562823355615118,False
BP,45,0.7785235885434206,0.5381402196672982,7,12,26,0.7734900337375893,0.5503706792051914,False
