design,chemotype,topo39_acc,embed_acc,delta,topo39_macro_without,embed_macro_without
B,sc000,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc001,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc007,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc008,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc009,0.7862887571812057,0.6770288253125782,-0.10925993186862748,0.7989531680440772,0.6408953168044077
B,sc010,1.0,0.2,-0.8,0.79409609434365,0.6517368810160572
B,sc012,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc015,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc016,0.2,0.8,0.6000000000000001,0.8122779125254683,0.6381005173796935
B,sc017,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc018,0.8,0.8,0.0,0.7986415488891047,0.6381005173796935
B,sc019,0.8,0.8,0.0,0.7986415488891047,0.6381005173796935
B,sc020,1.0,0.0,-1.0,0.79409609434365,0.6562823355615118
B,sc021,1.0,0.2,-0.8,0.79409609434365,0.6517368810160572
B,sc027,1.0,0.0,-1.0,0.79409609434365,0.6562823355615118
B,sc028,0.0,0.0,0.0,0.8168233670709227,0.6562823355615118
B,sc029,0.5,0.7000000000000001,0.20000000000000007,0.8054597307072864,0.6403732446524208
B,sc030,1.0,0.9333333333333332,-0.06666666666666676,0.79409609434365,0.6350702143493906
B,sc031,1.0,0.9333333333333332,-0.06666666666666676,0.79409609434365,0.6350702143493906
B,sc032,0.56,0.56,0.0,0.8040960943436499,0.6435550628342391
B,sc033,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc036,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc055,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc057,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc058,0.8,0.6,-0.20000000000000007,0.7986415488891047,0.6426459719251482
B,sc059,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc060,0.6,0.8,0.20000000000000007,0.8031870034345591,0.6381005173796935
B,sc061,1.0,0.1,-0.9,0.79409609434365,0.6540096082887845
B,sc062,0.8,1.0,0.19999999999999996,0.7986415488891044,0.633555062834239
B,sc063,0.4,1.0,0.6,0.8077324579800137,0.633555062834239
B,sc068,1.0,0.5333333333333333,-0.4666666666666667,0.79409609434365,0.6441611234402996
B,sc069,0.0,0.0,0.0,0.8168233670709227,0.6562823355615118
B,sc070,1.0,0.6,-0.4,0.79409609434365,0.6426459719251482
B,sc071,0.16666666666666666,0.16666666666666666,0.0,0.813035488283044,0.6524944567736329
B,sc075,1.0,1.0,0.0,0.79409609434365,0.633555062834239
B,sc076,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.8002944414510881,0.6500839884540738
B,sc077,0.8,0.2,-0.6000000000000001,0.7986415488891047,0.6517368810160572
B,sc078,0.8,0.0,-0.8,0.7986415488891047,0.6562823355615118
B,sc083,0.0,0.0,0.0,0.8168233670709227,0.6562823355615118
B,sc084,0.6,0.6,0.0,0.8031870034345591,0.6426459719251482
B,sc085,0.6,0.6,0.0,0.8031870034345591,0.6426459719251482
B,sc086,1.0,0.8,-0.19999999999999996,0.79409609434365,0.6381005173796936
B,sc092,1.0,0.0,-1.0,0.79409609434365,0.6562823355615118
B,sc096,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
B,sc097,1.0,1.0,0.0,0.79409609434365,0.6335550628342391
BP,sc000,1.0,0.4,-0.6,0.7734900337375894,0.5412797701142823
BP,sc001,1.0,0.8,-0.19999999999999996,0.7734900337375894,0.5321888610233733
BP,sc007,1.0,1.0,0.0,0.7734900337375894,0.5276434064779186
BP,sc008,1.0,0.1,-0.9,0.7734900337375894,0.548097951932464
BP,sc009,0.7862887571812057,0.4850977638162993,-0.3011909933649064,0.7783471074380166,0.5393457300275482
BP,sc010,1.0,0.0,-1.0,0.7734900337375893,0.5503706792051914
BP,sc012,1.0,1.0,0.0,0.7734900337375893,0.5276434064779187
BP,sc015,1.0,1.0,0.0,0.7734900337375893,0.5276434064779187
BP,sc016,0.4,0.8,0.4,0.7871263973739531,0.5321888610233733
BP,sc017,1.0,1.0,0.0,0.7734900337375894,0.5276434064779186
BP,sc018,0.6,0.6,0.0,0.7825809428284984,0.5367343155688278
BP,sc019,0.4,0.4,0.0,0.7871263973739531,0.5412797701142823
BP,sc020,1.0,0.2,-0.8,0.7734900337375894,0.5458252246597369
BP,sc021,1.0,0.6,-0.4,0.7734900337375894,0.5367343155688277
BP,sc027,1.0,0.20000000000000004,-0.7999999999999999,0.7734900337375894,0.5458252246597369
BP,sc028,0.0,0.0,0.0,0.7962173064648621,0.5503706792051913
BP,sc029,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.7863688216163773,0.5359767398112519
BP,sc030,1.0,0.7333333333333334,-0.2666666666666666,0.7734900337375894,0.5337040125385247
BP,sc031,1.0,0.6666666666666666,-0.33333333333333337,0.7734900337375894,0.5352191640536762
BP,sc032,0.52,0.56,0.040000000000000036,0.7843991246466803,0.5376434064779186
BP,sc033,1.0,0.6,-0.4,0.7734900337375894,0.5367343155688278
BP,sc036,1.0,0.8500000000000001,-0.1499999999999999,0.7734900337375894,0.5310524973870095
BP,sc055,1.0,0.8,-0.19999999999999996,0.7734900337375894,0.5321888610233733
