design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
B,TOPO39,82,40,0.8400158378207159,0.7370347707847706,0.9153351758289298,0.7937716262975778,1.3,,,,,,
B,l2:chemberta_mtr__mean_P20_C1,82,40,0.6530091859360151,0.5442613636363636,0.7259666214448162,0.5391003460207613,1.5,-0.18700665188470064,-0.29018217468805707,-0.11111032196969696,0.0,7.0,38.0
B,chemberta_mlm__mean_C1,82,40,0.6456921127652836,0.5728191073571642,0.7536748844375962,0.5965397923875433,1.5,-0.19432372505543238,-0.2697599721706864,-0.07132511556240374,0.0016,9.0,31.0
B,morgan2_P8_C1,82,40,0.6408140639847957,0.5084210913009405,0.7425644581407294,0.6429065743944636,1.5,-0.1992017738359202,-0.3377103470300191,-0.0796113087143007,0.0016,7.0,33.0
B,chemberta_mlm__mean_C0.1,82,40,0.6383750395945518,0.5700004437802056,0.7411804653679653,0.5965397923875433,1.3,-0.2016407982261641,-0.2753468678883699,-0.07777158376214989,0.0016,9.0,34.0
B,chemberta_mtr__mean_P20_C1,82,40,0.6339847956921127,0.5256261135610931,0.721949186566122,0.5141868512110727,1.6,-0.2060310421286031,-0.3281088154269972,-0.09549036075036076,0.0,7.0,39.0
B,l2:chemberta_mtr__mean_C1,82,40,0.6310579664238201,0.4727920799874035,0.7489269396281998,0.5176470588235295,1.4,-0.20895787139689576,-0.3719543639663422,-0.09146345811051701,0.0,3.0,28.0
B,l2:chemberta_mtr__mean_C0.1,82,40,0.6286189420335762,0.4718866442199775,0.7479504695159709,0.5190311418685121,1.3,-0.21139689578713966,-0.3756837121212121,-0.08812241801843873,0.0,4.0,29.0
B,chemberta_mtr__mean_C1,82,40,0.6261799176433323,0.4711853866261911,0.7458143398268399,0.5155709342560554,1.7,-0.2138359201773836,-0.3739167325428195,-0.09259206349206349,0.0,3.0,28.0
B,chemberta_mtr__mean_C0.1,82,40,0.6237408932530883,0.4744784928613054,0.7447053008872315,0.5252595155709343,1.5,-0.2162749445676275,-0.3743564566876422,-0.08549641148325368,0.0002,4.0,30.0
B,morgan2_C1,82,40,0.6188628444726005,0.48316802351876975,0.7456748917748918,0.6089965397923875,1.3,-0.22115299334811528,-0.37993219532992256,-0.06156238498343762,0.011,8.0,33.0
B,chemberta_mlm__mean_C0.01,82,40,0.6141347270615564,0.5452073123501843,0.7276931562490867,0.510726643598616,1.2,-0.22588111075915954,-0.3130903636873359,-0.07185145743145747,0.0058,10.0,43.0
B,l2:chemberta_mtr__mean_C0.01,82,40,0.6115457713018689,0.45782748497537223,0.7239198361162646,0.49411764705882355,1.2,-0.228470066518847,-0.3931464362931139,-0.11019512694512706,0.0,4.0,34.0
B,chemberta_mtr__mean_C0.01,82,40,0.6091067469116249,0.4683547411110274,0.7201980859029024,0.48581314878892734,1.3,-0.2309090909090909,-0.3893342657342657,-0.0990800414007245,0.0002,4.0,31.0
B,chemberta_mtr__mean_P16_C1,82,40,0.6034156900010559,0.4999905303030303,0.6849431567660734,0.5155709342560554,1.6,-0.23660014781966002,-0.3524072836205189,-0.13105981107369996,0.0,8.0,42.0
B,morgan2_P16_C1,82,40,0.5991289198606272,0.4495798502264019,0.7063231563757879,0.6332179930795848,1.7,-0.2408869179600887,-0.4161997245179063,-0.09586776859504133,0.0012,7.0,37.0
B,l2:chemberta_mtr__mean_P16_C1,82,40,0.5977246330904867,0.47898615464994776,0.6781830269266748,0.5141868512110727,1.5,-0.24229120473022916,-0.36410374935798656,-0.15333076043453403,0.0,7.0,41.0
B,morgan2_C0.1,82,40,0.5944726005701616,0.46877818385223907,0.7218621987465272,0.5813148788927336,1.1,-0.2455432372505543,-0.39258106841611995,-0.07974690082644638,0.0066,7.0,37.0
B,chemberta_mlm__mean_P20_C1,82,40,0.5868303241473973,0.4673521031207598,0.6725118888129414,0.6089965397923875,1.6,-0.25318551367331854,-0.4075766666666667,-0.12032802228635563,0.0004,8.0,43.0
B,morgan2_P20_C1,82,40,0.579616724738676,0.44263648388648386,0.6853860751924131,0.5840830449826989,1.7,-0.2603991130820399,-0.4277636363636363,-0.10867408826638479,0.0012,8.0,41.0
B,morgan2_C0.01,82,40,0.5501963889768767,0.4414475412228221,0.7052465428090429,0.4311418685121107,1.0,-0.28981944884383903,-0.42494255082635457,-0.09477344365642244,0.0042,7.0,44.0
B,chemberta_mlm__mean_P16_C1,82,40,0.5468535529511139,0.4438056060606061,0.6135106563079776,0.5190311418685121,1.5,-0.29316228486960194,-0.42177193129451196,-0.18130337206653002,0.0002,7.0,52.0
B,chemberta_mlm__mean_P8_C1,82,40,0.4827188258895576,0.38771547572863363,0.5885068334120058,0.42214532871972316,1.6,-0.35729701193115826,-0.4848504864311316,-0.198305284545363,0.0004,11.0,52.0
B,chemberta_mtr__mean_P8_C1,82,40,0.44244852708267346,0.27199858934169274,0.5706501276501277,0.48996539792387545,1.7,-0.39756731073804247,-0.5932891167052126,-0.2541324173411131,0.0,9.0,55.0
B,l2:chemberta_mtr__mean_P8_C1,82,40,0.4196842994403969,0.2688751352813853,0.5212552915153658,0.4615916955017301,1.5,-0.4203315383803189,-0.5918618804373853,-0.2989394153171931,0.0,5.0,60.0
BR,TOPO39,82,40,0.8346499841621794,0.7295702212547179,0.9104255411255412,0.797923875432526,0.8,,,,,,
BR,chemberta_mtr__mean_P20_C1,82,40,0.6594836870446625,0.576614933453643,0.7350040633608814,0.5356401384083045,1.4,-0.17516629711751663,-0.27464032874342154,-0.06532509303561938,0.0032,7.0,34.0
BR,l2:chemberta_mtr__mean_P20_C1,82,40,0.652196177805934,0.5447327538053345,0.7215719828641459,0.5307958477508651,1.3,-0.1824538063562454,-0.2860636363636363,-0.10273935799806817,0.0,9.0,39.0
BR,chemberta_mlm__mean_C1,82,40,0.647318129025446,0.5754250720120049,0.7531993320299771,0.6214532871972318,1.4,-0.1873318551367332,-0.26710861385473356,-0.05575757575757576,0.0036,10.0,35.0
BR,l2:chemberta_mtr__mean_C1,82,40,0.6289145813536058,0.4660663021189337,0.74235724276653,0.5183391003460207,1.5,-0.2057354028085735,-0.37621768745990414,-0.08658202306079667,0.0,7.0,32.0
BR,l2:chemberta_mtr__mean_C0.1,82,40,0.6264755569633618,0.4695785667681602,0.7399055072409304,0.5176470588235295,1.2,-0.20817442719881743,-0.37431134373559816,-0.08380519480519487,0.0,7.0,32.0
BR,morgan2_P8_C1,82,40,0.6261799176433324,0.49012865360696517,0.7263215488215488,0.6173010380622838,1.4,-0.208470066518847,-0.3509530281039715,-0.08805872160184833,0.0014,8.0,39.0
BR,chemberta_mlm__mean_C0.1,82,40,0.6258547143912998,0.5550590084518657,0.7338990617433415,0.5688581314878892,1.2,-0.20879526977087953,-0.29009658949088185,-0.07410510254772568,0.0022,11.0,39.0
BR,chemberta_mtr__mean_C1,82,40,0.6199714919227114,0.4607229629087003,0.734569673531968,0.528719723183391,1.3,-0.21467849223946783,-0.38228515535097807,-0.0921472620946306,0.0,6.0,31.0
BR,chemberta_mtr__mean_C0.1,82,40,0.6175324675324675,0.4713062545093795,0.7357106281064614,0.5238754325259516,1.1,-0.21711751662971177,-0.3752178176215157,-0.07998765432098784,0.0014,6.0,31.0
BR,l2:chemberta_mtr__mean_P16_C1,82,40,0.6164238200823566,0.5137275913819334,0.6892476837094649,0.5017301038062284,1.5,-0.21822616407982262,-0.3360966280451575,-0.11148592665196448,0.0006,7.0,41.0
BR,chemberta_mtr__mean_P16_C1,82,40,0.5952856087002428,0.5042680883497985,0.6717241881787336,0.5141868512110727,1.4,-0.2393643754619364,-0.3406531827711074,-0.13630785290723665,0.0,7.0,45.0
BR,l2:chemberta_mtr__mean_C0.01,82,40,0.5936595924400803,0.45599657208528177,0.7096176810477657,0.4934256055363322,1.0,-0.240990391722099,-0.39345071322120495,-0.10577381371858117,0.0,7.0,35.0
BR,morgan2_C1,82,40,0.5886801816070109,0.47272620211329885,0.7551050868108437,0.4913494809688581,1.0,-0.2459698025551684,-0.38583853651145844,-0.046426502419149515,0.0188,8.0,41.0
BR,chemberta_mlm__mean_C0.01,82,40,0.5775261324041813,0.5000612096237096,0.7031495867768595,0.514878892733564,1.1,-0.2571238517579981,-0.3584327380952381,-0.08196792486266183,0.0042,11.0,48.0
BR,chemberta_mtr__mean_C0.01,82,40,0.5773994298384543,0.4439197800991279,0.6950243337542623,0.47474048442906575,1.0,-0.25725055432372507,-0.4090918367346939,-0.1159699780738743,0.0,6.0,34.0
BR,chemberta_mlm__mean_P16_C1,82,40,0.5721961778059339,0.4861791219533155,0.6492580020392178,0.5750865051903115,1.3,-0.2624538063562454,-0.37579948031034976,-0.1371563852813853,0.0002,7.0,50.0
BR,morgan2_C0.1,82,40,0.5680593390349488,0.45621882323503565,0.738017432145599,0.4809688581314879,1.0,-0.2665906451272305,-0.4019784005468216,-0.05950413223140496,0.0118,8.0,42.0
BR,chemberta_mlm__mean_P20_C1,82,40,0.5595132509766656,0.4810426430408027,0.6388649322169059,0.5764705882352941,1.3,-0.2751367331855137,-0.39209441668268324,-0.1371884945713823,0.0004,10.0,52.0
