block,nn_same_chemotype,n_chemotypes
chemberta_mtr__mean,0.4666666666666667,45
chemberta_mtr__cls,0.5444444444444444,45
chemberta_mlm__mean,0.4666666666666667,45
chemberta_mlm__cls,0.34444444444444444,45
morgan2,0.4888888888888889,45
morgan3,0.4888888888888889,45
