block,target,design,estimator,n_cells,spearman,partial_spearman_given_n_metals,loco_spearman_min,loco_spearman_max,sd_pred,sd_true
chemberta_mtr__mean,log_abs_a,B,ridge,289,0.10618104828950752,0.054611928861217574,0.016399994006612184,0.41713838824557115,0.4981363302045196,0.9250498603066324
chemberta_mtr__mean,log_abs_a,BP,ridge,289,-0.03337727041339218,-0.12393007225669249,-0.13562499790025195,0.014922594928781412,0.34584135952063194,0.9250498603066324
chemberta_mtr__mean,log_abs_a,B,cosine,289,0.09220549871327367,0.10446530303958755,0.009205087331142545,0.3455130110062394,0.08389409155128005,0.9250498603066324
chemberta_mtr__mean,log_abs_a,BP,cosine,289,-0.10448430314522549,-0.0977903033863731,-0.2128909288886502,0.12165995529541222,0.07305126088803762,0.9250498603066324
chemberta_mtr__mean,b,B,ridge,289,0.0630952898811569,0.06267132238415445,0.01457744618081292,0.21581432393277009,0.08733641573228645,0.19356887570404516
chemberta_mtr__mean,b,BP,ridge,289,0.012711065385582926,0.012955077631572833,-0.026207007719520014,0.061529182096288604,0.08523787542236583,0.19356887570404516
chemberta_mtr__mean,b,B,cosine,289,0.02750260881931295,0.03781252470358847,-0.02688049714302899,0.13731976275216243,0.016891419976448364,0.19356887570404516
chemberta_mtr__mean,b,BP,cosine,289,-0.019979646123617145,-0.013832649302888085,-0.07792206949071372,0.04668139938266798,0.015100190000497928,0.19356887570404516
molformer__mean,log_abs_a,B,ridge,289,0.3732266599703447,0.3993363234432888,0.30108433815216207,0.5616331197411533,0.3793015816879152,0.9250498603066324
molformer__mean,log_abs_a,BP,ridge,289,0.22767883847050663,0.2539072699385978,0.13776331720361462,0.43662792858420035,0.33059338000655747,0.9250498603066324
molformer__mean,log_abs_a,B,cosine,289,0.24359129671608892,0.23140656578317195,0.17785299293302514,0.34723198144602657,0.0579064932660794,0.9250498603066324
molformer__mean,log_abs_a,BP,cosine,289,-0.13599767350674294,-0.19790553611246617,-0.2455702488181425,0.054150583776822074,0.07425264085172505,0.9250498603066324
molformer__mean,b,B,ridge,289,0.1325909980957782,0.1363759294276546,0.08946744763444997,0.43195210470974654,0.08581864160139362,0.19356887570404516
molformer__mean,b,BP,ridge,289,0.06493102137968376,0.0699183767751526,0.018454659064132087,0.25574179362987215,0.08449496741687919,0.19356887570404516
molformer__mean,b,B,cosine,289,0.01580195217421945,0.026280639224464903,-0.040215001503315057,0.17125441570949868,0.011112742999494713,0.19356887570404516
molformer__mean,b,BP,cosine,289,-0.01354917489467384,-0.005774947183402301,-0.0707887270216873,0.05204406777252242,0.011023589427118953,0.19356887570404516
morgan2,log_abs_a,B,ridge,289,0.12799083627933414,0.05599578608782732,0.05388394258866259,0.2349313370165992,0.28003072286695996,0.9250498603066324
morgan2,log_abs_a,BP,ridge,289,-0.059369598098228074,-0.12825987295174543,-0.1776326212927999,0.03492759038590203,0.22395742553105677,0.9250498603066324
morgan2,log_abs_a,B,cosine,289,-0.0045308341058809855,-0.09386923078562867,-0.09376337734072944,0.051544024751890474,0.03567645042662438,0.9250498603066324
morgan2,log_abs_a,BP,cosine,289,-0.1780408223425471,-0.27193324889686965,-0.2894674620113649,-0.13143121309705216,0.06410147460999761,0.9250498603066324
morgan2,b,B,ridge,289,0.15668640886714313,0.15960732220112478,0.11266843649904121,0.4176703856680703,0.05164758659622263,0.19356887570404516
morgan2,b,BP,ridge,289,0.06528681138141622,0.06753265055225323,0.027863203579521215,0.2633403437000015,0.057158199154162426,0.19356887570404516
morgan2,b,B,cosine,289,0.039750375231745676,0.04651789061110233,-0.013037012019506274,0.17301604310400265,0.005208950841676223,0.19356887570404516
morgan2,b,BP,cosine,289,-0.029658050827208224,-0.023712901836666526,-0.08743583539639192,0.027306264154857256,0.007329201065537418,0.19356887570404516
