comparison,reference,candidate,stratum,n_extractants,n_pairs,macro_delta_mae,median_delta_mae,extractants_improved,fraction_improved,ci95_low,ci95_high
A2_vs_A0,A2,A0,all,34,6699,-0.3195133888977172,-0.25682094433096747,8,0.23529411764705882,-0.46937228031414613,-0.16165820924717933
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.9,28,3274,-0.30751925687034715,-0.2659980445194471,7,0.25,-0.46964432570132647,-0.13744929677734607
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.9,6,3425,-0.37548600502544405,-0.23913445243162534,1,0.16666666666666666,-0.8046024412331405,0.06052965207696307
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.8,20,2075,-0.244799699559904,-0.2315281062278184,5,0.25,-0.42541639706235274,-0.05771888902436733
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.8,14,4624,-0.4262472308088791,-0.2837718344980178,3,0.21428571428571427,-0.678425671610054,-0.17640472118668707
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.7,15,1637,-0.173489225320357,-0.09508027853825707,5,0.3333333333333333,-0.3917621754566719,0.027051227592280024
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.7,19,5062,-0.4347956233008964,-0.31071434848291624,3,0.15789473684210525,-0.6348696913489652,-0.22344746920162048
A2_vs_A1,A2,A1,all,34,6699,-0.02983405333045804,-0.01421035282436256,14,0.4117647058823529,-0.06668680116641237,0.001278574361785869
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.9,28,3274,-0.02365510978365561,-0.011502286322404562,13,0.4642857142857143,-0.061472613974572,0.015049005551500818
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.9,6,3425,-0.05866912321553606,-0.0626831971985662,1,0.16666666666666666,-0.13207441460654504,0.028125715146859184
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.8,20,2075,-0.014097868494568766,-0.0014360266170056896,10,0.5,-0.060835798876182755,0.03270235974184743
