arm,pooled_r2,pearson_squared_scale_free,prediction_dispersion_ratio,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,extractants_total
B1_ridge_A2,0.43423747996026685,0.44115491217419567,0.6219364148729528,-1.0807020518000818,0.2767132858612249,31,34
C3,0.38425420318346626,0.408057259012787,0.7344882406201132,-0.5521205404513202,0.3736276447038014,31,34
E3,0.36519294333171626,0.39774723738484863,0.7440642091685675,-0.5099149022707066,0.4888587208734192,31,34
B2_ridge_A5,0.3649255941797509,0.3783532038886516,0.7264971425098075,-1.413830461317382,0.17070345028370992,31,34
C2,0.3646263495060308,0.3952669773499704,0.7369003166371124,-0.5041193794601302,0.47558182843578956,31,34
S5,0.35452053891878577,0.3896470922049551,0.7020386306342252,-0.5784242689804855,0.5504346399848774,31,34
A6s,0.3375505201724144,0.37358901997503996,0.7259438191732729,-0.5467085495103284,0.41643421661844415,31,34
C1,0.3360371159254304,0.37206912679020787,0.7337869109178676,-0.5739300064534327,0.36203451180047275,31,34
A6,0.3343734583969912,0.37309069154292035,0.7387432206011272,-0.5459064055369176,0.3763893739431736,31,34
A5s,0.33307606385088184,0.3708967098948701,0.7315840185974397,-0.5501919649059629,0.368750415090225,31,34
A5,0.3294554812481828,0.36979617329737297,0.7398733594408967,-0.546405055273905,0.38310652029284786,31,34
A2+D1,0.3287615615817726,0.370564659363821,0.7376444274480913,-0.4873643071967559,0.568902559476834,31,34
S1,0.3273181395764996,0.3717698647996409,0.7340803238463331,-0.738735960981295,0.5321377354118452,31,34
G2,0.3217698119929082,0.36218414602148213,0.7342571010950134,-0.5831365308761375,0.38076881568922083,31,34
S4,0.3204896366520791,0.36025335955558185,0.699345714365929,-0.6200202198755356,0.38375421685300315,31,34
A2,0.3117376829435329,0.36100030259047394,0.7482217917920654,-0.5287024104103576,0.5631007665377901,31,34
A2+D2,0.3112222102907184,0.35721179649166274,0.7394033853638657,-0.5522029964570149,0.44641038217368045,31,34
A2+D4,0.3102670427941012,0.357626324863638,0.7431122634483419,-0.5437583517062231,0.46195986023983926,31,34
A2+D5,0.3086139433214071,0.3583417462979447,0.7486233500913418,-0.5292462519501024,0.5152355003755372,31,34
E2,0.30830067767168745,0.3569284917521444,0.7448263238308028,-0.535518500677581,0.5462508375622259,31,34
A2+D3,0.30773166063958235,0.3609104605648011,0.7637112798409602,-0.5978587071580964,0.5255858077455339,31,34
A4,0.3050704502556004,0.3521169236311739,0.7392889565079388,-0.5714910923665302,0.48239360088404215,31,34
S3,0.3030538047186626,0.3483419104819013,0.6935760093042691,-0.6205764217939047,0.4888097384291793,31,34
E4,0.3010757098395175,0.35265184939900085,0.7507105684130041,-0.5578380238641698,0.48526678662440725,31,34
G4,0.29760018686345135,0.3453170787654817,0.736446852754367,-0.5714320299539785,0.38214129509852846,31,34
S2,0.25318631555976323,0.3274831476915973,0.8154751306168705,-0.637008939094922,0.48074036302578715,31,34
A1,0.045382485366060155,0.22419610805078116,0.7392720935577893,-0.4792001840807758,0.46854542574298574,31,34
A3,-0.03594058590616189,0.16444569851733498,0.7016666595927596,-0.38579212701074317,0.4677624803436059,31,34
B0_trivial,-0.6810092419526443,,0.0,-1.301075406176554,-1.534775639166308,31,34
A0,-0.6810092419526443,0.00805311378111253,1.936249659704852e-33,-1.301075406176554,-1.534775639166308,31,34
