arm,outer_fold,n_rows,n_extractants,pooled_r2
A0,0,956,9,-0.23372507036889556
A0,1,916,10,-0.718785093006004
A0,2,915,7,-0.8354164469719756
A0,3,2921,1,-0.9259393407369374
A0,4,991,7,-0.6347097944550595
A1,0,956,9,0.03687894242038203
A1,1,916,10,0.431904469987756
A1,2,915,7,0.5826621916076155
A1,3,2921,1,-0.6435065855869178
A1,4,991,7,0.5774408867088203
A2,0,956,9,-0.24005755936555806
A2,1,916,10,0.5635115304669522
A2,2,915,7,0.5581415668702392
A2,3,2921,1,-0.0037324409539121195
A2,4,991,7,0.6715057362065142
A2+D1,0,956,9,-0.19559234276734228
A2+D1,1,916,10,0.5701922586439404
A2+D1,2,915,7,0.5480990941330022
A2+D1,3,2921,1,0.03198552890596118
A2+D1,4,991,7,0.6755543477987407
A2+D2,0,956,9,-0.23054889171924753
A2+D2,1,916,10,0.5556173078130211
A2+D2,2,915,7,0.5519162869087779
A2+D2,3,2921,1,-0.00540986267495458
A2+D2,4,991,7,0.6805787273482355
A2+D3,0,956,9,-0.1935995267904509
A2+D3,1,916,10,0.5484335719773654
A2+D3,2,915,7,0.5348819712991981
A2+D3,3,2921,1,-0.005993041006433719
A2+D3,4,991,7,0.6703274094331112
A2+D4,0,956,9,-0.23166642629160017
A2+D4,1,916,10,0.5486377573749868
A2+D4,2,915,7,0.5527343278183323
A2+D4,3,2921,1,-0.004439039402938549
A2+D4,4,991,7,0.6747827086786773
A2+D5,0,956,9,-0.2305536180812333
A2+D5,1,916,10,0.5594817785456319
A2+D5,2,915,7,0.5674389042272784
A2+D5,3,2921,1,-0.017244418625853575
A2+D5,4,991,7,0.6721897660583995
A3,0,956,9,-0.11932421323896203
A3,1,916,10,0.40585916038585523
A3,2,915,7,0.494836223317327
A3,3,2921,1,-0.7800281792361383
A3,4,991,7,0.6257406841575927
A4,0,956,9,-0.2084210524344925
A4,1,916,10,0.556571416063435
A4,2,915,7,0.5504645213799074
A4,3,2921,1,-0.020298445269223864
A4,4,991,7,0.6725336235674102
A5,0,956,9,-0.14067653871986474
A5,1,916,10,0.539234072753132
A5,2,915,7,0.521772370807454
A5,3,2921,1,0.04386989661807128
A5,4,991,7,0.674838118790078
A5s,0,956,9,-0.1207660759300293
A5s,1,916,10,0.5563059529677853
A5s,2,915,7,0.4874737676151283
A5s,3,2921,1,0.06508686550148457
A5s,4,991,7,0.6718486168877026
A6,0,956,9,-0.13627797555890964
A6,1,916,10,0.5240963764500355
A6,2,915,7,0.5208935599737687
A6,3,2921,1,0.058369576341338436
A6,4,991,7,0.6742311698339121
A6s,0,956,9,-0.1326522585226999
A6s,1,916,10,0.5481483938907431
A6s,2,915,7,0.49828797493937604
A6s,3,2921,1,0.07285035167133647
A6s,4,991,7,0.6740890034753337
B0_trivial,0,956,9,-0.23372507036889556
B0_trivial,1,916,10,-0.718785093006004
B0_trivial,2,915,7,-0.8354164469719756
B0_trivial,3,2921,1,-0.9259393407369374
B0_trivial,4,991,7,-0.6347097944550595
B1_ridge_A2,0,956,9,-0.41200443311023305
B1_ridge_A2,1,916,10,0.33961650601011895
B1_ridge_A2,2,915,7,0.4065010097356557
B1_ridge_A2,3,2921,1,0.5254225832330135
B1_ridge_A2,4,991,7,0.44885194170339815
B2_ridge_A5,0,956,9,-0.8648176462194321
B2_ridge_A5,1,916,10,0.28782561309539634
B2_ridge_A5,2,915,7,0.3031663323975753
B2_ridge_A5,3,2921,1,0.5102929324980887
B2_ridge_A5,4,991,7,0.42206211682130323
C1,0,956,9,-0.13964129431826477
C1,1,916,10,0.5156719216956926
C1,2,915,7,0.5140722299815439
C1,3,2921,1,0.06855147042227128
C1,4,991,7,0.6728807552944351
C2,0,956,9,-0.17641814717012916
C2,1,916,10,0.5842133813012946
C2,2,915,7,0.555173852634769
C2,3,2921,1,0.10801058376140815
