arm,width_quartile,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
FROZEN,Q1,7246,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q2,7780,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q3,7176,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,Q4,5720,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,Q1,7246,20,0.016463714985094344,0.16114375113285467,0.22410944134020425,0.7098997043341639,0.059367547392403595,0.30909455945129183,0.3930260361653003,0.8002821420790023,0.06484753441321914,0.3370740074896368,0.43661183857203806,0.8227186254692759,0.0700631741631722,0.37109645930734864,0.46798156182887696,0.891307680357167,0.018334887327179736,0.11843632452595354,0.16388783166970167,0.709899704334164,0.03951179206512649,0.25627660297580923,0.3281965726538155,0.8833264033446464,0.022020001464181385,0.14221998742352396,0.19127046308385226,0.5325701686646042
REL_MONOLITH,Q2,7780,31,0.026364475294175405,0.171013888430903,0.23728959533373517,0.8458016583902733,0.06569986553194751,0.2981063034449927,0.39325742366762245,1.2555777022354344,0.07280801267211506,0.32062745280681104,0.4201872029719189,1.3067997077160796,0.07889166982652651,0.34824496838874996,0.4525042918798684,1.3580217131967247,0.020546319101685556,0.11684188989848664,0.172212092966179,0.8458016583902734,0.05092592989993755,0.23068646404936602,0.30197275153515907,1.085317606357426,0.02612445310909004,0.15455233797927573,0.21170531861708702,0.6419123420617471
REL_MONOLITH,Q3,7176,42,0.03099265062476328,0.19503586526659145,0.28734048997538775,0.8839022237084811,0.06120193997465749,0.3436442581530075,0.46516842416112625,1.4478883149453468,0.06574464545319816,0.3660164657700514,0.49589857439762514,1.5183865763499547,0.07043419748257909,0.38670415106574363,0.5295969471272189,1.588884837754563,0.017514630379259655,0.14080349208859977,0.2067271158584825,0.883902223708481,0.03889771404674203,0.2360514078909045,0.3293128118304625,0.883902223708481,0.026750929178747877,0.17819183024006316,0.25289771402043804,0.8052270523302552
REL_MONOLITH,Q4,5720,74,0.015427032911034089,0.1652230933158683,0.27987745745934595,0.8885855714455588,0.030554973032849098,0.24912868301953753,0.3860666152923243,0.9594672406238182,0.037651368743668465,0.2627962470284901,0.4029756819575805,0.9683274492711006,0.042988935813909945,0.2833996803364899,0.4203195247473321,0.977187657918383,0.009182559134459353,0.0781283405631223,0.17168931950773955,0.8885855714455589,0.02674563846996808,0.1563031509949893,0.25110202657973835,0.8885855714455589,0.013869977766498426,0.12925545473738517,0.21553797269534047,0.7358636262243845
SHAPE_RECOMPOSED,Q1,7246,20,0.04264505147349863,0.22984486100413404,0.3090695871867456,1.1703693622428324,0.12133358697516522,0.4918767042400038,0.5921368435422479,1.553052766534499,0.13094673485488229,0.5533496701101437,0.6601941061337043,1.6079574492214357,0.1398404005468485,0.6206147130935354,0.738312274771171,1.856138109658041,0.0410251271835121,0.23879662925111453,0.32118709325470385,1.1703693622428324,0.09668996336167582,0.5153993087278224,0.6177315839134457,1.4934490387453585,0.03243316937722454,0.15640831226954224,0.19389657005196848,0.7866046178982086
SHAPE_RECOMPOSED,Q2,7780,31,0.05378708152563446,0.22084548419080702,0.29692943326465926,1.1321221590357275,0.12285905601513791,0.4085948823187459,0.5132581723768497,1.2665950173946772,0.13794986534371567,0.4579137687515313,0.5537169247247575,1.283404124689546,0.15166840027509887,0.5158440446014333,0.6123705099396735,1.3003428982116838,0.03968901708104354,0.2139064414967911,0.2939635697477595,1.1321221590357278,0.11036231905015742,0.43741615639414977,0.5230211669177525,1.1321221590357278,0.03269846143638783,0.13030945938245656,0.16895162612812403,0.6144664617938853
SHAPE_RECOMPOSED,Q3,7176,42,0.041262969365796986,0.2365775023256704,0.3724601472090746,1.136078197761162,0.09027811886562087,0.3989969085678314,0.5297568711778942,1.269406669342421,0.09917096343562817,0.42925655678340713,0.569020834489738,1.3239697573064186,0.10577775082359855,0.4623439456657342,0.6188083082279615,1.3785328452704166,0.029103648735339605,0.2223532673843993,0.35417813871630477,0.9451761185261502,0.06732103276215423,0.38457965028128016,0.5237737459887499,1.124108470538078,0.028346190508429715,0.11932876851434587,0.16680346651708908,0.7181609092436797
SHAPE_RECOMPOSED,Q4,5720,74,0.021577884082455562,0.103067019416751,0.16793691157066132,0.8533956926995722,0.04255698099321079,0.173441749762272,0.2669416261338815,1.0274058411825828,0.05041381183798456,0.18597580264049393,0.28101736313463693,1.0512295378253,0.05589972795056766,0.21888730995940228,0.3068991311338718,1.0750532344680173,0.011880044195862936,0.08554013299965399,0.16334044550089646,0.8368162680408445,0.034560886014502,0.18379233445611928,0.2585642607121044,0.8368162680408445,0.012196950307288956,0.06896361354823657,0.09909970969978386,0.6469355326361407
