arm,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
FROZEN,CONTEXT,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DECOY,1800,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DENSITY,2665,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,EXTEND,5400,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,NESTED,8425,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,PERMUTE,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,SPARSE,6262,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,CONTEXT,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,DECOY,1800,66,0.090064777640328,0.24391163889172546,0.31154370594940184,0.6369453714170555,0.19247442141230162,0.4015636996751063,0.5000062117516461,0.8744526744064769,0.2163217647358458,0.44297460170824793,0.5418260254573641,0.9607708965279476,0.23801396061475827,0.48012049492071807,0.5868734750851834,1.0470891186494184,0.06158284365728575,0.16020075647357726,0.19615175174454288,0.4321645727879093,0.16654167782691603,0.34997375705779515,0.4089640723548845,0.809074300969455,0.06756717183230886,0.22675412993982788,0.2916354083340274,0.6419123420617471
REL_MONOLITH,DENSITY,2665,66,0.0077652398559067415,0.048267651869408075,0.10963801142201426,0.6489060687039383,0.014483913607580723,0.1676965514237151,0.3266280243573258,0.8106888642149894,0.015251625011309774,0.20348063410332826,0.36661071762987646,0.8277693761320821,0.01616072065385031,0.23219681959477645,0.4071517958177076,0.8871159529445203,0.004099957176022663,0.05714246812597875,0.12152067005126856,0.43187137279754256,0.009005380866054846,0.19231109129396226,0.3245506904657278,0.8833264033446464,0.007072546881057393,0.060893930075677276,0.11501469788627051,0.5325701686646042
REL_MONOLITH,EXTEND,5400,66,0.0598050797667322,0.19228795596219578,0.2497559922489248,0.6791326309858676,0.13052873018298988,0.3505049220006435,0.4493180376831935,1.0474862797420084,0.14359178202827122,0.3815733397133509,0.48261491240752086,1.088601648880744,0.15534403327218937,0.41501481297823856,0.5268389451366017,1.1297170180194793,0.03956020512551099,0.12662916144106767,0.16969808450776624,0.5458548992736065,0.09547646501638962,0.26997959119041726,0.33661284906389904,0.8505674928046205,0.06489068152994305,0.18639095484114648,0.23321756959726642,0.5637164988294612
REL_MONOLITH,NESTED,8425,130,0.028865070028918055,0.13114073143547217,0.18295894578159821,0.7561129756126963,0.0702634444676165,0.24769093257628758,0.3313140873435858,0.846480661354531,0.08052023777305933,0.2696509465508807,0.3552138825134995,0.8715721444611828,0.09035618357860037,0.29503789319363316,0.3871135849138684,0.8966636275678346,0.022167364709224535,0.08660512974674452,0.12245627873967727,0.3395589699258021,0.05601096517724047,0.1790558166860341,0.23747795010053022,0.7240013401830345,0.03144318601547069,0.13422969069067278,0.1840867756203163,0.7358636262243845
REL_MONOLITH,PERMUTE,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,SPARSE,6262,130,0.0186405948676808,0.27171925673405256,0.3695589889907342,0.8885855714455588,0.02953380180666547,0.39774919681252163,0.5407729520708592,1.4478883149453468,0.030707795416682962,0.41240690452402623,0.5637686841732424,1.5183865763499547,0.03203788262377885,0.4278630692301103,0.5823837645369346,1.588884837754563,0.008168561051906699,0.22176048905674975,0.3158421388414963,0.8885855714455589,0.014071943042796187,0.26398703545199437,0.3688922756917893,1.085317606357426,0.016225930817263784,0.19416580204361497,0.2798785871039909,0.8052270523302552
SHAPE_RECOMPOSED,CONTEXT,1685,130,0.0,8.326672684688674e-17,1.1102230246251565e-16,4.440892098500626e-16,0.0,1.5543122344752196e-16,2.220446049250313e-16,5.329070518200752e-16,0.0,1.8873791418627653e-16,2.220446049250313e-16,7.105427357601e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0,5.551115123125783e-17,1.1102230246251565e-16,6.661338147750939e-16,0.0,1.554312234475257e-16,2.220446049250313e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-15
SHAPE_RECOMPOSED,DECOY,1800,66,0.11743348215084168,0.28143610039339395,0.37284678939642957,0.8440574233821238,0.2795223682897124,0.5344069381064191,0.6244362128290917,1.030935053659841,0.3199190963653256,0.6113928649036356,0.6808654493569899,1.196676993329534,0.3526878747101144,0.6861831185323632,0.759433339563025,1.4144772409020714,0.12075476054121868,0.2753508220649814,0.36121912822099866,0.6609068169230631,0.336826236747772,0.6481420624543223,0.7019104604526757,1.2427609983745698,0.023839956561188425,0.08066394383312761,0.11165258202099797,0.6125943544156515
