species,kind,canonical_smiles,charge,uhf,mode,energy_Eh,energy_eV,converged,xtb_version
lig_013,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,0,0,opt,,,,
lig_014,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0,0,opt,,,,
lig_015,free_ligand,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,0,0,opt,,,,
lig_016,free_ligand,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0,0,opt,,,,
lig_017,free_ligand,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,0,0,opt,,,,
lig_018,free_ligand,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0,0,opt,,,,
lig_019,free_ligand,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0,0,opt,,,,
lig_020,free_ligand,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0,0,opt,,,,
lig_021,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0,0,opt,,,,
lig_022,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0,0,opt,,,,
lig_023,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0,0,opt,,,,
lig_024,free_ligand,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0,0,opt,,,,
lig_025,free_ligand,CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0,0,opt,,,,
