species,energy_Eh,energy_eV,converged,xtb_version
Ce3+,2.128040264439,57.906925583,ok,6.7.1pre
Dy3+,2.310207147267,62.863938993,ok,6.7.1pre
Er3+,2.353738703811,64.048492992,ok,6.7.1pre
Eu3+,2.243405139424,61.046163755,ok,6.7.1pre
Gd3+,2.265874791811,61.657594145,ok,6.7.1pre
Ho3+,2.332073527716,63.458953517,ok,6.7.1pre
La3+,2.000136223905,54.426479333,ok,6.7.1pre
Lu3+,2.417527491692,65.784274337,ok,6.7.1pre
Nd3+,2.174789537042,59.179038096,ok,6.7.1pre
Pr3+,2.151515454509,58.545718047,ok,6.7.1pre
Sm3+,2.2207343795,60.429260950,ok,6.7.1pre
Tb3+,2.288139755772,62.263454679,ok,6.7.1pre
Tm3+,2.375202676531,64.632557444,ok,6.7.1pre
Yb3+,2.39646563788,65.211152098,ok,6.7.1pre
lig_000,-85.598230698658,-2329.246517514,ok,6.7.1pre
lig_001,-62.288089985592,-1694.945275123,ok,6.7.1pre
lig_002,-74.399418587219,-2024.511315654,ok,6.7.1pre
lig_003,-136.665811029092,-3718.866170534,ok,6.7.1pre
lig_004,-95.254130788589,-2591.996944414,ok,6.7.1pre
lig_005,-53.62888383225,-1459.316271901,ok,6.7.1pre
lig_006,-96.840761019351,-2635.171352453,ok,6.7.1pre
lig_007,-112.963893971407,-3073.904150707,ok,6.7.1pre
lig_008,-86.485638837353,-2353.394123134,ok,6.7.1pre
lig_009,-144.906638246969,-3943.110502946,ok,6.7.1pre
lig_010,-81.338804215337,-2213.341618290,ok,6.7.1pre
lig_011,-115.619348758599,-3146.162756580,ok,6.7.1pre
lig_012,-126.48358116331,-3441.793580811,ok,6.7.1pre
lig_013,-86.472194663692,-2353.028288532,ok,6.7.1pre
lig_014,-111.326058244175,-3029.336370126,ok,6.7.1pre
lig_015,-106.779465600925,-2905.617281607,ok,6.7.1pre
lig_016,-105.143774457086,-2861.107858113,ok,6.7.1pre
lig_017,-109.2681905152,-2973.338936509,ok,6.7.1pre
lig_018,-94.104070436629,-2560.702207971,ok,6.7.1pre
lig_019,-87.653801424469,-2385.181446490,ok,6.7.1pre
lig_020,-156.6300335527,-4262.120340725,ok,6.7.1pre
lig_021,-138.281363572591,-3762.827594796,ok,6.7.1pre
lig_022,-194.768448157139,-5299.919471336,ok,6.7.1pre
lig_023,-131.951547576639,-3590.584526864,ok,6.7.1pre
lig_024,-86.486832799921,-2353.426612511,ok,6.7.1pre
lig_025,-158.459165755272,-4311.893563584,ok,6.7.1pre
lig_026,-106.642044335911,-2901.877858486,ok,6.7.1pre
lig_027,-125.621264007848,-3418.328735627,ok,6.7.1pre
lig_028,-142.747448491342,-3884.355956527,ok,6.7.1pre
lig_029,-128.662633703371,-3501.088621129,ok,6.7.1pre
lig_030,-112.957833536324,-3073.739237867,ok,6.7.1pre
lig_031,-119.288001216606,-3245.991875617,ok,6.7.1pre
lig_032,-125.628090921141,-3418.514505401,ok,6.7.1pre
lig_033,-131.957089669073,-3590.735334882,ok,6.7.1pre
lig_034,-157.259000391063,-4279.235400299,ok,6.7.1pre
lig_035,-134.116470154142,-3649.495071313,ok,6.7.1pre
lig_036,-157.266428020561,-4279.437516394,ok,6.7.1pre
lig_037,-182.580331621531,-4968.263924674,ok,6.7.1pre
lig_038,-192.962807704473,-5250.785491557,ok,6.7.1pre
lig_039,-71.015500158377,-1932.430204262,ok,6.7.1pre
lig_040,-117.658369523762,-3201.647338184,ok,6.7.1pre
lig_041,-94.281005446771,-2565.516854872,ok,6.7.1pre
lig_042,-174.299640499835,-4742.934840178,ok,6.7.1pre
lig_043,-163.600681082728,-4451.801323049,ok,6.7.1pre
lig_044,-131.955950609992,-3590.704339505,ok,6.7.1pre
lig_045,-157.255416261874,-4279.137871175,ok,6.7.1pre
lig_046,-166.771744928365,-4538.090366163,ok,6.7.1pre
lig_047,-176.254250667935,-4796.122492422,ok,6.7.1pre
lig_048,-88.647184640995,-2412.212780886,ok,6.7.1pre
lig_049,-99.424060460794,-2705.466511343,ok,6.7.1pre
lig_050,-109.797789233051,-2987.750051776,ok,6.7.1pre
lig_051,-80.438540348003,-2188.844190473,ok,6.7.1pre
lig_052,-87.647352816212,-2385.005970920,ok,6.7.1pre
lig_053,-144.887301386779,-3942.584320175,ok,6.7.1pre
lig_054,-109.797994045874,-2987.755625017,ok,6.7.1pre
lig_055,-138.55955240045,-3770.397498440,ok,6.7.1pre
lig_056,-156.645965928707,-4262.553882762,ok,6.7.1pre
lig_057,-106.638979961199,-2901.794472602,ok,6.7.1pre
lig_058,-131.948101810225,-3590.490762783,ok,6.7.1pre
lig_059,-93.985362600459,-2557.472003190,ok,6.7.1pre
