species,canonical_smiles,status,note,n_complexes_tried,n_unrelaxed_sources,n_ligs,from_geometry_key
strain_lig_000,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,ok,"connectivity cut, metal and fill removed",1,0,1,68|C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate
strain_lig_001,C1COCCOCCOCCOCCOCCO1,ok,"connectivity cut, metal and fill removed",1,0,1,68|C1COCCOCCOCCOCCOCCO1|nitrate
strain_lig_002,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1|nitrate
strain_lig_003,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1|nitrate
strain_lig_004,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1|nitrate
lig_005,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,FAILED,"no connected component matches the ligand formula -- the copies interpenetrate at bond length, so no connectivity cut separates them",1,0,3,
strain_lig_006,CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1|nitrate
strain_lig_007,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water
strain_lig_008,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ok,"connectivity cut, metal and fill removed",1,0,4,57|CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate
strain_lig_009,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1|nitrate
strain_lig_010,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C|nitrate
strain_lig_011,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21|nitrate
strain_lig_012,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|water
strain_lig_013,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|nitrate
strain_lig_014,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,58|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate
strain_lig_015,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate
strain_lig_016,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21|nitrate
strain_lig_017,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,ok,"connectivity cut, metal and fill removed",1,0,1,63|CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C|nitrate
strain_lig_018,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,ok,"connectivity cut, metal and fill removed",1,0,3,58|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate
strain_lig_019,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC|water
lig_020,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,FAILED,"no connected component matches the ligand formula -- the copies interpenetrate at bond length, so no connectivity cut separates them",1,0,3,
strain_lig_021,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC|water
strain_lig_022,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,2,63|CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC|water
