species,canonical_smiles,status,how
lig_038,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_039,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,ok,ETKDGv3 + MMFF94s
lig_040,CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,ok,ETKDGv3 + MMFF94s
lig_041,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,ok,ETKDGv3 + MMFF94s
lig_042,CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ok,ETKDGv3+randomCoords + MMFF94s
lig_043,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_044,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,ok,ETKDGv3 + MMFF94s
lig_045,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_046,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_047,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_048,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,ok,ETKDGv3 + MMFF94s
lig_049,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_050,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_051,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_052,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_053,CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,ok,ETKDGv3 + MMFF94s
lig_054,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_055,CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,ok,ETKDGv3 + MMFF94s
lig_056,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_057,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,ok,ETKDGv3 + MMFF94s
lig_058,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,ok,ETKDGv3 + MMFF94s
lig_059,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_060,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,ok,ETKDGv3 + MMFF94s
