design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,loco_stable,p_bh_within_lead_family
B,AOPT_vs_RANDOM_noDGA,mae_all,RANDOM,AOPT,0.024143446490948555,0.00739471175451278,0.041155850548059855,0.008107394129919827,0.042103121981394195,0.0038,0.008660612941407998,0.024249716235942395,0.022147595116533945,67,43,5,5,0.01990805331234382,0.027307986519680017,True,0.02,True,True,exploratory,L4,True,0.010857142857142857
B,AOPT_vs_MAXMIN_noDGA,mae_all,MAXMIN,AOPT,0.0247201513426866,-0.0001114306422340395,0.05217238649372724,0.0027790106305709095,0.05750003871298988,0.0518,0.013475316351749754,0.03773088578489931,0.025821445759641636,67,36,5,5,0.014553815824948963,0.02945000512372386,True,0.02,False,False,exploratory,L4,True,0.1036
B,UNCERT_vs_RANDOM_noDGA,mae_all,RANDOM,UNCERT,-0.005724090219100798,-0.03855202171132173,0.026537014902134372,-0.03527928091911,0.029989874667193498,0.699,0.01660459844762168,0.046492875653340704,-0.006548778297280135,67,23,2,5,-0.017119587651431425,0.0014787123588540115,False,0.02,False,False,exploratory,L4,False,0.9270588235294118
B,UNCERT_vs_MAXMIN_noDGA,mae_all,MAXMIN,UNCERT,-0.005147385367362754,-0.045105663505660316,0.029523839411214947,-0.0449782875414872,0.02958773363946897,0.7746,0.019092847913210503,0.05345997415698941,-0.002874927654172438,67,27,2,5,-0.014977569047387571,0.005189845707834625,False,0.02,False,False,exploratory,L4,False,0.9270588235294118
BR,AOPT_vs_RANDOM_noDGA,mae_all,RANDOM,AOPT,0.02553007816583295,0.012498816516686443,0.0388681008657877,0.013461058446637404,0.040173154506363745,0.0002,0.006787856630487454,0.01900599856536487,0.023909354892785558,67,52,5,5,0.021784292006143516,0.02749791097760822,True,0.02,True,True,exploratory,L4,True,0.002
BR,AOPT_vs_MAXMIN_noDGA,mae_all,MAXMIN,AOPT,0.032215913684529744,0.009784282474943843,0.05489274288876008,0.011878727789193326,0.057857725971777935,0.0032,0.011622682937364454,0.03254351222462047,0.033667990441689916,67,42,5,5,0.02408727547104549,0.036188396429841695,True,0.02,True,True,exploratory,L4,True,0.0095
BR,UNCERT_vs_RANDOM_noDGA,mae_all,RANDOM,UNCERT,0.0006682979490086678,-0.025607087724143218,0.027910044874876087,-0.022653245380492997,0.0314603312538042,0.9964,0.013712762159097665,0.03839573404547346,0.0005544241145684737,67,25,3,5,-0.008813098790278756,0.004208058477068639,False,0.02,False,False,exploratory,L4,False,0.9963999999999998
BR,UNCERT_vs_MAXMIN_noDGA,mae_all,MAXMIN,UNCERT,0.007354133467705455,-0.0275536512044401,0.03992521070308597,-0.025191089779911257,0.04230484460391784,0.6872,0.017239246734991425,0.048269890857975985,0.010313059663472835,67,28,3,5,-0.0024024331580509146,0.012911172354300959,False,0.02,False,False,exploratory,L4,False,0.9270588235294118
BQ,AOPT_vs_RANDOM_noDGA,mae_all,RANDOM,AOPT,0.024127471262072226,0.007832445467224,0.03995846811137862,0.008786400307010665,0.041010299772704456,0.0038,0.00822312267987505,0.02302474350365014,0.02080537945860782,67,46,5,5,0.019984024941316996,0.02664640519849346,True,0.02,True,True,exploratory,L4,True,0.0095
BQ,AOPT_vs_MAXMIN_noDGA,mae_all,MAXMIN,AOPT,0.027154573958983318,0.005127084600458316,0.049097029631278086,0.007978313121982822,0.05284218828935827,0.0136,0.011256917387280874,0.03151936868438644,0.02611230041227195,67,41,5,5,0.01905755007618675,0.030067073506413203,True,0.02,True,True,exploratory,L4,True,0.03022222222222222
