design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,loco_stable,p_bh_within_lead_family
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.011907271695526769,-0.0552383170471835,0.036743510466329565,-0.07433044734868646,0.029642683053810747,0.7826,0.02696060969455824,0.07548970714476307,0.019057102309605205,90,45,2,5,-0.0170843056328692,0.024143446490948555,False,0.02,False,False,registered,ABC_mae_all,L4,False,0.942888888888889
B,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,-0.0038508153863838967,-0.040721393497592295,0.04526281202031608,-0.05309744997473674,0.0343280294806189,0.9852,0.02329760744122118,0.0652333008354193,0.023312540660891567,90,38,3,5,-0.013274294754912697,0.024720151342686594,False,0.02,False,False,registered,ABC_mae_all,L4,False,0.9852000000000001
B,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.03104177126136881,-0.0671844441347917,0.018962144527357852,-0.07584325247962893,0.009283790727079631,0.2816,0.0229645045597206,0.06430061276721767,-0.008731989377479162,90,25,2,5,-0.041125478756913775,-0.0057240902191007985,True,0.02,False,False,registered,ABC_mae_all,L4,True,0.7040000000000001
B,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.022985314952225944,-0.05594269831506774,0.022215961163391616,-0.06126621454774751,0.0155204778335118,0.3386,0.020259990441905528,0.05672797323733547,-0.004476551026192805,90,29,2,5,-0.03139803854735325,-0.0051473853673627565,True,0.02,False,False,registered,ABC_mae_all,L4,True,0.7204
B,MAXMIN_vs_RANDOM,mae_all,RANDOM,MAXMIN,-0.008056456309142873,-0.023067233427904874,0.013721180535323,-0.02569154637469144,0.01043312580710011,0.4656,0.009492510381785158,0.026579029068998443,-0.004255438351286357,90,43,1,5,-0.01056194947311692,-0.0005767048517380417,True,0.02,False,False,exploratory,ABC_mae_all,L4,True,0.6534736842105264
B,AOPT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.009756784531263161,-0.05383954187156562,0.09147580857829705,-0.07802212862761555,0.07585268384270606,0.7066,0.04088838285658157,0.11448747199842839,0.057936347154900474,86,50,3,5,-0.0017028984470599403,0.06270590099067416,False,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,False,0.8511044776119403
B,AOPT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.10905080555835006,0.047743736540895955,0.2015634486451341,0.03575601124322336,0.1832927706008687,0.0,0.04069986423199868,0.1139596198495963,0.1470683153582517,86,56,5,5,0.08539436542151643,0.15387672568017305,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,True,0.0
B,UNCERT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.00741848959383665,-0.06720679743556507,0.10333046525864656,-0.09836208521690715,0.08426718256508217,0.781,0.04740823519395602,0.13274305854307683,0.06034687641987033,86,40,2,5,-0.007253599638527644,0.06724828451412783,False,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,False,0.8684444444444445
B,UNCERT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.10671251062092353,0.03777452406839696,0.19999509747263775,0.013829606769965544,0.18093382910811345,0.001,0.044084828819269804,0.12343752069395544,0.14947884462322159,86,58,4,5,0.09291542058600516,0.1584191092036267,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,True,0.0033333333333333335
B,MAXMIN_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.09929402102708688,-0.1304490726299273,-0.060165207719218586,-0.13923633060571555,-0.06711499408245908,0.0,0.017569958300804184,0.049195883242251714,-0.08913196820335124,86,12,0,5,-0.10344940714125173,-0.08709726386857639,True,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,True,0.0
