design,order,budget,n_train_cells_mean,n_train_cells_sd,n_rich_cells_mean,n_extractants_mean,lead
BQ,AOPT,16,329.8,147.36971647300314,175.32,44.92,L4
BQ,AOPT,20,346.24,148.65684197730917,189.48,51.44,L4
BQ,AOPT,24,360.04,151.86602648387165,202.2,57.52,L4
BQ,MAXMIN,6,17.298,42.57932825196725,12.876,7.396,L4
BQ,MAXMIN,9,23.132,42.75247506576077,18.454,11.014,L4
BQ,MAXMIN,12,28.57,42.723901548513254,23.5,14.35,L4
BQ,MAXMIN,16,39.136,43.349092165617115,32.818,19.766,L4
BQ,MAXMIN,20,56.032,42.67614653370114,47.642,26.618,L4
BQ,MAXMIN,24,81.018,69.98979081005507,63.986,33.976,L4
BQ,RANDOM,6,59.634,109.59616180032364,34.374,11.732,L4
BQ,RANDOM,9,91.332,131.57316128123963,52.514,17.88,L4
BQ,RANDOM,12,121.884,146.30598561526352,70.214,23.74,L4
BQ,RANDOM,16,167.61,162.13099277323644,95.372,31.92,L4
BQ,RANDOM,20,199.172,168.1850732190803,114.214,38.882,L4
BQ,RANDOM,24,243.228,172.77798610055012,138.974,46.674,L4
BQ,UNCERT,6,179.84,168.49077126062423,90.2,20.4,L4
BQ,UNCERT,9,185.84,169.4192728115665,93.64,23.48,L4
BQ,UNCERT,12,209.76,172.89454396635347,107.52,28.4,L4
BQ,UNCERT,16,320.96,146.95335994797804,161.68,40.6,L4
BQ,UNCERT,20,339.2,152.88121750779808,178.84,47.48,L4
BQ,UNCERT,24,355.28,152.44029432316555,193.8,54.16,L4
BR,AOPT,6,297.76,143.4942739856426,141.56,27.36,L4
BR,AOPT,9,302.92,141.91280186555875,146.68,31.4,L4
BR,AOPT,12,316.72,140.18188185354055,158.92,36.32,L4
BR,AOPT,16,338.6,145.54094498341925,178.04,43.84,L4
BR,AOPT,20,354.2,147.52174980885587,191.24,50.4,L4
BR,AOPT,24,364.52,149.859967970102,200.92,56.12,L4
BR,MAXMIN,6,18.136,47.786028429092646,13.034,7.358,L4
BR,MAXMIN,9,23.506,47.837923217836185,18.196,10.946,L4
BR,MAXMIN,12,28.846,47.79098492896918,23.138,14.228,L4
BR,MAXMIN,16,40.202,48.35594887480925,33.122,20.45,L4
BR,MAXMIN,20,57.46,47.95844477096498,47.998,27.164,L4
BR,MAXMIN,24,77.618,47.87374925505073,63.51,34.656,L4
BR,RANDOM,6,69.702,121.72404315238107,38.272,12.028,L4
BR,RANDOM,9,109.168,145.1952999454614,59.464,18.318,L4
BR,RANDOM,12,141.398,156.69096883812688,77.564,24.144,L4
BR,RANDOM,16,183.304,167.47553760293107,100.834,31.902,L4
BR,RANDOM,20,212.044,171.20552774212317,118.388,38.736,L4
BR,RANDOM,24,256.792,173.8465241640679,143.108,46.526,L4
BR,UNCERT,6,168.48,168.32065628832763,84.16,18.28,L4
BR,UNCERT,9,175.08,171.03993685686393,88.44,21.68,L4
BR,UNCERT,12,184.84,172.653236285915,95.64,26.04,L4
BR,UNCERT,16,284.08,167.96748693323562,144.36,36.88,L4
BR,UNCERT,20,330.44,158.5129016831122,172.4,46.04,L4
BR,UNCERT,24,357.72,148.61205648712803,191.4,51.84,L4
