design,budget,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,loco_stable,p_bh_within_lead_family
B,6,AOPT_vs_RANDOM_k6_mae_all,mae_all,RANDOM,AOPT,-0.017494353885893144,-0.07796563575712495,0.053225868037556544,-0.10471241543088576,0.04200711511338246,0.787,0.037868571100798804,0.10603199908223665,0.02168484324066495,90,42,2,5,-0.024382436112802938,0.03183316560422186,False,0.02,False,False,exploratory,budget6_mae_all,L4,False,0.8616788321167884
B,6,AOPT_vs_MAXMIN_k6_mae_all,mae_all,MAXMIN,AOPT,-0.03259376538762685,-0.06822440571588877,0.020858910494135876,-0.07587303416641823,0.011244864192858459,0.2306,0.023090031572620382,0.06465208840333707,-0.01092928755773522,90,34,2,5,-0.04075251457324495,-0.012586805272154868,True,0.02,False,False,exploratory,budget6_mae_all,L4,True,0.39152542372881355
B,6,UNCERT_vs_RANDOM_k6_mae_all,mae_all,RANDOM,UNCERT,-0.03401050713372165,-0.09634779418383138,0.05017668210637999,-0.1157477875914681,0.033842856256452905,0.5324,0.03950372981801939,0.11061044349045428,-0.00042587308580991235,90,37,2,5,-0.048132159134096526,0.011219788466003388,False,0.02,False,False,exploratory,budget6_mae_all,L4,False,0.7162331838565023
B,6,UNCERT_vs_MAXMIN_k6_mae_all,mae_all,MAXMIN,UNCERT,-0.04910991863545535,-0.08762362079269546,0.0034645778853557296,-0.09259656237805113,-0.002544730370170219,0.0674,0.023148806260481103,0.06481665752934708,-0.033040003884210085,90,31,2,5,-0.05654660613294968,-0.033200182410373334,True,0.02,False,False,exploratory,budget6_mae_all,L4,True,0.14442857142857143
B,6,MAXMIN_vs_RANDOM_k6_mae_all,mae_all,RANDOM,MAXMIN,0.015099411501733703,-0.02265018561680228,0.062482257646332015,-0.03719703336225043,0.053222245648251065,0.4456,0.023546919023855573,0.0659313732667956,0.032614130798400164,90,49,4,5,0.008414446998853159,0.04441997087637671,True,0.02,False,False,exploratory,budget6_mae_all,L4,True,0.6335545023696683
B,6,AOPT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.13266372956561465,0.017484412380145767,0.27305171480070506,-0.028674796703001316,0.24882704926561078,0.022,0.07226022682393068,0.2023286351070059,0.18987474106563068,86,56,4,5,0.11446894775202798,0.22544286052848145,True,0.02,False,False,exploratory,budget6_sign_acc_strong,L4,True,0.06346153846153846
B,6,AOPT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.4409708042166151,0.34583795078579904,0.5767750189609318,0.3225694641446227,0.5505673016740545,0.0,0.061407881583646295,0.17194206843420962,0.47754879931307126,86,82,5,5,0.41114121512348517,0.5092115083177381,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0
B,6,UNCERT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.11144008481403862,0.008775137714510389,0.25121414551184995,-0.02816643242387261,0.2223640648195817,0.0302,0.06621220542224278,0.18539417518227977,0.17142250914599164,86,46,4,5,0.09375770947282239,0.1905690053843523,True,0.02,False,False,exploratory,budget6_sign_acc_strong,L4,True,0.08311926605504588
B,6,UNCERT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.4197471594650391,0.3427822683655453,0.5247376408250762,0.3171720559246943,0.5035167441264345,0.0,0.04897989932750195,0.13714371811700546,0.45909656739343213,86,81,5,5,0.4077194702584781,0.47433765317360893,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0
B,6,MAXMIN_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.3083070746510005,-0.34828828473728085,-0.24857805893980844,-0.3550710649074448,-0.2574864044856549,0.0,0.026326725210258153,0.07371483058872283,-0.2876740582474406,86,0,0,5,-0.3201606641800326,-0.28376864778925665,True,0.02,False,False,exploratory,budget6_sign_acc_strong,L4,True,0.0
