regime,novelty_bin,arm,n_rows,n_ligands,mae,offset_mae,shape_mae,shape_r2,offset_share_of_sse
unseen_chemotype,"[0.0, 0.4)",MC,2115,15,1.8300456209150673,1.1062532411797938,0.7758467051210816,-0.01715999013061742,0.7326887298698447
unseen_chemotype,"[0.0, 0.4)",MC_lig2d_ext,2115,15,1.2861143000434534,1.1497888364703015,0.6555566950975361,0.060859494963289795,0.5431415967336333
unseen_chemotype,"[0.0, 0.4)",MC_donors,2115,15,1.3966815431686608,0.9841264746289795,0.6639377474217786,0.039178058086790424,0.5925382873281582
unseen_chemotype,"[0.0, 0.4)",MC_ecfp,2115,15,1.3807226082294333,1.193368956598932,0.6607325516015392,0.10192507266197204,0.5972651074589178
unseen_chemotype,"[0.4, 0.6)",MC,5301,30,1.4405472577653406,1.3015359522740246,0.6859830414280257,0.07233368396500495,0.5974631712445986
unseen_chemotype,"[0.4, 0.6)",MC_lig2d_ext,5301,30,1.1759383407229802,1.1002063242177804,0.6261572387094583,0.22399661815862948,0.5222954608524463
unseen_chemotype,"[0.4, 0.6)",MC_donors,5301,30,1.1643550612948441,1.146308939490553,0.6457874968797035,0.20826291374498374,0.5175019474144343
unseen_chemotype,"[0.4, 0.6)",MC_ecfp,5301,30,1.1605112639838169,1.0967766780003099,0.6567198669275628,0.1819694238702323,0.46455808669695553
unseen_chemotype,"[0.6, 0.8)",MC,16989,60,1.1908206430579589,0.7237892238981227,0.6665372304654745,0.04049751454432504,0.37244218646023863
unseen_chemotype,"[0.6, 0.8)",MC_lig2d_ext,16989,60,1.097219291556323,0.6528658594974479,0.6323345999060764,0.12667604180591796,0.29932900863935374
unseen_chemotype,"[0.6, 0.8)",MC_donors,16989,60,1.1050598686548092,0.6963997257256839,0.6015311203596283,0.0710399278225119,0.2802451917952355
unseen_chemotype,"[0.6, 0.8)",MC_ecfp,16989,60,1.0506612144556524,0.7355519079208979,0.6115189834885121,0.16123798008795132,0.256568476198984
unseen_ligand,"[0.0, 0.4)",MC,947,9,1.563872106848067,1.157203424878641,0.6436104655688333,-0.15631760018938157,0.6877479026245313
unseen_ligand,"[0.0, 0.4)",MC_lig2d_ext,947,9,1.2802599506915897,1.1314250757828683,0.6229920324962926,0.055040535064458385,0.6409996043411015
unseen_ligand,"[0.0, 0.4)",MC_donors,947,9,1.1791076239151443,0.8970869425092444,0.625472223640626,-0.02445501536036354,0.5370741184028542
unseen_ligand,"[0.0, 0.4)",MC_ecfp,947,9,1.2938648180106198,0.9047488223403009,0.6275029857087923,0.02000058123933801,0.5901334762186141
unseen_ligand,"[0.4, 0.6)",MC,2160,16,1.2132784549133315,0.9878860551796873,0.640578021421454,0.025125901817417473,0.33125908689647376
unseen_ligand,"[0.4, 0.6)",MC_lig2d_ext,2160,16,1.0013038762513247,0.7708578781323626,0.6055779420828034,0.19965116084331402,0.2746756438469042
unseen_ligand,"[0.4, 0.6)",MC_donors,2160,16,1.066656017371572,0.7759630661058099,0.6009785886854151,0.21834230328086368,0.3502102208675836
unseen_ligand,"[0.4, 0.6)",MC_ecfp,2160,16,1.1890904512850764,0.9219492950362822,0.6970715202728879,0.02768528788383562,0.30599174100565796
unseen_ligand,"[0.6, 0.8)",MC,6931,58,1.1776967230249449,0.718267720770225,0.5428872216657968,0.27190814427543564,0.5480889384937796
unseen_ligand,"[0.6, 0.8)",MC_lig2d_ext,6931,58,0.9679655279156588,0.5981618194820091,0.5276598374126442,0.37005128253414243,0.39181930714668756
unseen_ligand,"[0.6, 0.8)",MC_donors,6931,58,1.001679727288855,0.6640339086998871,0.4967085279127127,0.34527718848082334,0.4412884010282208
unseen_ligand,"[0.6, 0.8)",MC_ecfp,6931,58,1.0527243397273538,0.7290897405747916,0.5413980233973648,0.3460756504530209,0.4640731911423278
unseen_ligand,"[0.8, 1.0)",MC,14367,39,1.1018020797927413,0.5721068718444412,0.6086741364032006,0.06415960806067289,0.3163074351329997
unseen_ligand,"[0.8, 1.0)",MC_lig2d_ext,14367,39,0.9741538571770983,0.39946295650273256,0.5518930734824278,0.17247258614672423,0.1911661719682947
unseen_ligand,"[0.8, 1.0)",MC_donors,14367,39,0.9913039038488153,0.574401725543475,0.5577198124444261,0.17713866028513892,0.22764293811182723
unseen_ligand,"[0.8, 1.0)",MC_ecfp,14367,39,0.9173965191141392,0.40852079145011355,0.5230061368097482,0.22170492297898348,0.15777273091658964
