extractant,n_reference,nn_tanimoto,nn_partner,mean_top5_tanimoto,n_above_0_5,n_above_0_7,n_above_0_8,supercluster_support,extractant_name,family,n_cells
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,91,0.7894736842105263,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.606506510001331,3,2,0,3,C4-PTA,n_heterocyclic_polydentate,6
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,91,0.8,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.6349286465021191,4,3,1,3,C6-PTA,n_heterocyclic_polydentate,6
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,91,0.8,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.7056370656370656,32,2,1,31,D2EHDODGA,diglycolamide,8
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,91,0.8181818181818182,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.6863177695320553,23,1,1,31,LL3,diglycolamide,9
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,91,0.8333333333333334,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.39723029324724235,1,1,1,1,6-MH-C9-B8D(iB)CMPO,phosphoryl,6
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,91,0.8461538461538461,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.783023872679045,30,11,1,31,TBEE-BisDGA,diglycolamide,6
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,91,0.8571428571428571,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.8571428571428571,38,16,10,31,DMDOaDGA,diglycolamide,7
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,91,0.9393939393939394,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.5471241936358215,1,1,1,1,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,malonamide,6
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,91,0.9583333333333334,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.9583333333333334,42,18,15,31,TPDGA,diglycolamide,3
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,91,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0.7908918638058561,22,4,1,4,DHmorDGA,diglycolamide,8
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,91,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,0.8746031746031747,26,4,3,4,DHpipDGA,diglycolamide,8
