split_seed,fold,train_rows,test_rows,train_ligands,test_ligands,train_chemotypes,test_chemotypes,overlap_rows,overlap_ligands,overlap_chemotypes,overlap_ecfp_clusters
104729,0,4866,382,130,22,63,16,0,0,0,0
104729,1,1495,3753,82,70,63,16,0,0,0,0
104729,2,4962,286,134,18,63,16,0,0,0,0
104729,3,4747,501,134,18,63,16,0,0,0,0
104729,4,4922,326,128,24,64,15,0,0,0,0
130363,0,1436,3812,98,54,63,16,0,0,0,0
130363,1,4937,311,131,21,63,16,0,0,0,0
130363,2,4766,482,125,27,63,16,0,0,0,0
130363,3,4836,412,124,28,63,16,0,0,0,0
130363,4,5017,231,130,22,64,15,0,0,0,0
155921,0,1548,3700,96,56,63,16,0,0,0,0
155921,1,4828,420,130,22,63,16,0,0,0,0
155921,2,5009,239,132,20,63,16,0,0,0,0
155921,3,4729,519,133,19,63,16,0,0,0,0
155921,4,4878,370,117,35,64,15,0,0,0,0
196613,0,1486,3762,88,64,63,16,0,0,0,0
196613,1,4793,455,131,21,63,16,0,0,0,0
196613,2,4903,345,135,17,63,16,0,0,0,0
196613,3,5093,155,132,20,63,16,0,0,0,0
196613,4,4717,531,122,30,64,15,0,0,0,0
262147,0,4929,319,133,19,63,16,0,0,0,0
262147,1,1199,4049,88,64,63,16,0,0,0,0
262147,2,4983,265,128,24,63,16,0,0,0,0
262147,3,5048,200,133,19,63,16,0,0,0,0
262147,4,4833,415,126,26,64,15,0,0,0,0
