model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN10_MF_025,104729,5248,5248,0,0,0,0,0,5248
GEN10_MF_025,130363,5248,5248,0,0,0,0,0,5248
GEN10_MF_025,155921,5248,5248,0,0,0,0,0,5248
GEN10_MF_025,196613,5248,5248,0,0,0,0,0,5248
GEN10_MF_025,262147,5248,5248,0,0,0,0,0,5248
GEN10_MF_050,104729,5248,5248,0,0,0,0,0,5248
GEN10_MF_050,130363,5248,5248,0,0,0,0,0,5248
GEN10_MF_050,155921,5248,5248,0,0,0,0,0,5248
GEN10_MF_050,196613,5248,5248,0,0,0,0,0,5248
GEN10_MF_050,262147,5248,5248,0,0,0,0,0,5248
GEN10_MF_100,104729,5248,5248,0,0,0,0,0,5248
GEN10_MF_100,130363,5248,5248,0,0,0,0,0,5248
GEN10_MF_100,155921,5248,5248,0,0,0,0,0,5248
GEN10_MF_100,196613,5248,5248,0,0,0,0,0,5248
GEN10_MF_100,262147,5248,5248,0,0,0,0,0,5248
GEN10_MF_SQRT,104729,5248,5248,0,0,0,0,0,5248
GEN10_MF_SQRT,130363,5248,5248,0,0,0,0,0,5248
GEN10_MF_SQRT,155921,5248,5248,0,0,0,0,0,5248
GEN10_MF_SQRT,196613,5248,5248,0,0,0,0,0,5248
GEN10_MF_SQRT,262147,5248,5248,0,0,0,0,0,5248
GEN10_REP_32,104729,5248,5248,0,0,0,0,0,5248
GEN10_REP_32,130363,5248,5248,0,0,0,0,0,5248
GEN10_REP_32,155921,5248,5248,0,0,0,0,0,5248
GEN10_REP_32,196613,5248,5248,0,0,0,0,0,5248
GEN10_REP_32,262147,5248,5248,0,0,0,0,0,5248
GEN10_REP_8,104729,5248,5248,0,0,0,0,0,5248
GEN10_REP_8,130363,5248,5248,0,0,0,0,0,5248
GEN10_REP_8,155921,5248,5248,0,0,0,0,0,5248
GEN10_REP_8,196613,5248,5248,0,0,0,0,0,5248
GEN10_REP_8,262147,5248,5248,0,0,0,0,0,5248
GEN9_REL_MONOLITH,104729,5248,5248,0,0,0,0,0,5248
GEN9_REL_MONOLITH,130363,5248,5248,0,0,0,0,0,5248
GEN9_REL_MONOLITH,155921,5248,5248,0,0,0,0,0,5248
GEN9_REL_MONOLITH,196613,5248,5248,0,0,0,0,0,5248
GEN9_REL_MONOLITH,262147,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,104729,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,130363,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,155921,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,196613,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,262147,5248,5248,0,0,0,0,0,5248
