model,macro_mae,offset_mae,shape_mae,pooled_mae,macro_sd,n_seeds
REC_ecfp_plus_recovered,0.9807059571567518,0.82117153046591,0.5024541231074512,1.1589899640913768,0.022326183687605465,5
GEN10_MF_025,0.9852086402668035,0.8324937976293023,0.4894745656097519,1.1558680737313953,0.028185572380648477,5
GEN9_REL_MONOLITH,0.9858074152350824,0.8306698287376226,0.48776136428911887,1.1496043721802693,0.02496925159561588,5
GEN10_REP_8,0.990447098552431,0.836893365405623,0.4863385478426688,1.1549532596624377,0.03801071289071634,5
GEN10_MF_050,0.9908810464439066,0.8363097908574284,0.49070208345297184,1.154605733941772,0.020549463770772897,5
GEN10_REP_32,0.9943307886592219,0.8303398813128723,0.4909393836286906,1.1527950319095666,0.04860702527664919,5
GEN10_MF_SQRT,1.0566007012271388,0.8937859057742076,0.5304642174327584,1.220966335656023,0.03268701418840394,5
GEN10_MF_100,1.071017728943461,0.8951029650597423,0.5196607322765601,1.1871839489910303,0.0453736137989704,5
