outer_fold,arm,candidate_index,inner_macro_mae,inner_mae,inner_r2,max_features,min_samples_leaf,selected,search_phase,weighting_scheme,loss_name,loss_function,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bagging_temperature,rsm,phase_selected,correction_kind,correction_parameters,lambda,parameters,mean_epochs_trained
0,A2_current_champion,0,0.34277215903480995,0.3754175528030523,0.437700511066314,0.35,2.0,True,,,,,,,,,,,,,,,,,
0,A2_current_champion,1,0.36869953050416443,0.3966709950203466,0.37037779348455546,0.7,2.0,False,,,,,,,,,,,,,,,,,
0,A2_current_champion,2,0.38242736994698473,0.4372143396706209,0.22971668302012327,1.0,4.0,False,,,,,,,,,,,,,,,,,
0,H1_CATBOOST_NONE_RMSE,0,0.3574880874724058,,,,,False,screening,none,rmse,RMSE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_RMSE,1,0.3449495096896387,,,,,True,screening,none,rmse,RMSE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_MAE,0,0.35926995539693984,,,,,False,screening,none,mae,MAE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_MAE,1,0.3508025592228172,,,,,True,screening,none,mae,MAE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_HUBER,0,0.3636401707620515,,,,,False,screening,none,huber,Huber:delta=1.0,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_HUBER,1,0.34005961256195455,,,,,False,screening,none,huber,Huber:delta=1.0,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_HUBER,0,0.3318553527913605,,,,,False,expanded,none,huber,Huber:delta=1.0,8.0,0.025,30.0,2000.0,2.0,1.0,0.7,False,,,,,
0,H1_CATBOOST_NONE_HUBER,1,0.32520184130830343,,,,,True,expanded,none,huber,Huber:delta=1.0,9.0,0.01,30.0,3000.0,2.0,2.0,0.5,True,,,,,
0,H1_CATBOOST_GROUP_SQRT_RMSE,0,0.36316520722649676,,,,,False,screening,group_sqrt,rmse,RMSE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
