outer_fold,arm,lambda,correction_kind,correction_parameters,inner_macro_mae,selected_feature_count
0,H2_E3_RAW_REAL,0.2,ridge,{'alpha': 100.0},0.32679537518848156,
0,H2_E3_RAW_SHUFFLED,1.0,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.32662385331944693,
0,H2_E3_COMPACT_REAL,0.2,ridge,{'alpha': 100.0},0.32679537518848156,
0,H2_E3_COMPACT_SHUFFLED,1.0,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.32662385331944693,
0,H2_E3_STABLE_REAL,0.2,ridge,{'alpha': 100.0},0.32679537518848156,7.0
0,H2_E3_STABLE_SHUFFLED,1.0,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.3265446579579927,4.0
1,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3452937434843986,
1,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3452937434843986,
1,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3452937434843986,
1,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3452937434843986,
1,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3452937434843986,7.0
1,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3452937434843986,7.0
2,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.30313471204778436,
2,H2_E3_RAW_SHUFFLED,0.9,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3018564052302963,
2,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.30313471204778436,
2,H2_E3_COMPACT_SHUFFLED,0.9,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3018564052302963,
2,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.30313471204778436,7.0
2,H2_E3_STABLE_SHUFFLED,0.1,catboost,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 30.0, 'iterations': 800}",0.3030448813527485,1.0
3,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3289997791417011,
3,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3289997791417011,
3,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3289997791417011,
3,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3289997791417011,
3,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3289997791417011,7.0
3,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3289997791417011,7.0
4,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3283301446623617,
4,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3283301446623617,
4,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3283301446623617,
4,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3283301446623617,
4,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3283301446623617,7.0
4,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3283301446623617,6.0
