outer_fold,selected_stage1_arm,inner_macro_mae,weighting_scheme,loss_name,search_phase,selected_candidate_index
0,H1_CATBOOST_NONE_HUBER,0.32520184130830343,none,huber,expanded,1
1,H1_CATBOOST_GROUP_EQUAL_HUBER,0.3411631221307659,group_equal,huber,expanded,0
2,H1_CATBOOST_NONE_MAE,0.3096506307449465,none,mae,expanded,1
3,H1_CATBOOST_GROUP_EQUAL_HUBER,0.32976116353460344,group_equal,huber,expanded,1
4,H1_CATBOOST_NONE_MAE,0.32510695036977644,none,mae,expanded,1
