claim,lead,family,design,comparison,value,reference,candidate,point,ci95_low,ci95_high,p_two_sided,p_perm,p_registered,ci_task_low,ci_task_high,p_task_boot,ci_block_low,ci_block_high,p_block_boot,conservative_interval,n_units,n_extractants,n_blocks,seeds_positive,n_seeds,loco_min,loco_max,loco_stable,loco_sign_stable,margin,passes_registered,passes_P1,rule,replicates,permutations,bootstrap_seed
C1_L3A_measurements_saved,L3,registered,A,G14_saved_vs_0,saved,random order,G14,2.284612992421185,0.6196230147672721,4.365712115005996,0.005,0.0,0.0,,,,0.6196230147672721,4.365712115005996,0.005,chemotype-blocked,455,90,45,5,5,1.5015386789250127,2.8505678292870344,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_heavy_vs_0,saved_heavy,random order,G14,0.7563649402990366,-0.12469205695325246,1.7737192578530987,0.099,0.0,0.0,,,,-0.12469205695325246,1.7737192578530987,0.099,chemotype-blocked,455,90,45,5,5,0.5458837225298285,1.0671496055405663,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_light_vs_0,saved_light,random order,G14,3.8128610445433324,0.08212786110885854,8.566345436427696,0.04,0.0,0.0,,,,0.08212786110885854,8.566345436427696,0.04,chemotype-blocked,455,90,45,5,5,1.9359277523094591,4.923594436255103,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_vs_0_dZ=1,saved,random order,G14,3.8521451465201464,-2.165800287097162,5.795655993466011,0.448,0.0,0.0,,,,-2.165800287097162,5.795655993466011,0.448,chemotype-blocked,60,90,45,5,5,1.5822862554112553,6.010646679100627,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_vs_0_dZ 2-4,saved,random order,G14,2.3331460189583524,0.4043243631584916,4.911378479997614,0.016,0.0,0.0,,,,0.4043243631584916,4.911378479997614,0.016,chemotype-blocked,150,90,45,5,5,1.6650484781625132,2.7186314363199515,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_vs_0_dZ 5-8,saved,random order,G14,1.9313016294898353,1.0755813897102209,4.410738288893948,0.001,0.0,0.0,,,,1.0755813897102209,4.410738288893948,0.001,chemotype-blocked,150,90,45,5,5,1.4294680432193596,2.2383003532692247,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,G14_saved_vs_0_dZ 9-13,saved,random order,G14,1.746885858223744,0.9624787371702566,4.260015037666084,0.0,0.0,0.0,,,,0.9624787371702566,4.260015037666084,0.0,chemotype-blocked,90,90,45,5,5,1.2918167129138491,2.0206259336458845,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,A,HEAVIER_ALWAYS_saved_vs_0,saved,random order,HEAVIER_ALWAYS,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,chemotype-blocked,455,90,45,0,5,0.0,0.0,False,False,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,0,8675309
C1_L3A_measurements_saved,L3,registered,BP,G14_saved_vs_0,saved,random order,G14,1.9089851922632064,0.3597825823743442,3.760156005486706,0.014,0.0,0.0,,,,0.3597825823743442,3.760156005486706,0.014,chemotype-blocked,455,90,45,5,5,1.3001244855981622,2.436299108272003,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_heavy_vs_0,saved_heavy,random order,G14,0.7272170150416273,-0.15745135910019067,1.7439276082479078,0.116,0.0,0.0,,,,-0.15745135910019067,1.7439276082479078,0.116,chemotype-blocked,455,90,45,5,5,0.4599098394569028,1.0634839847642397,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_light_vs_0,saved_light,random order,G14,3.0907533694847857,-0.3802531070537259,7.286041503368417,0.095,0.0,0.0,,,,-0.3802531070537259,7.286041503368417,0.095,chemotype-blocked,455,90,45,5,5,1.5367649864320843,4.117499320066257,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_vs_0_dZ=1,saved,random order,G14,2.4106788394195426,-2.1922224063965867,4.118167404148796,0.621,0.001,0.001,,,,-2.1922224063965867,4.118167404148796,0.621,chemotype-blocked,60,90,45,5,5,0.8523158785658784,4.226508807929717,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_vs_0_dZ 2-4,saved,random order,G14,1.8983759245046392,-0.15311470588520978,3.777192115347451,0.061,0.0,0.0,,,,-0.15311470588520978,3.777192115347451,0.061,chemotype-blocked,150,90,45,5,5,1.4592864455642107,2.3022146189664436,True,True,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_vs_0_dZ 5-8,saved,random order,G14,1.8501989170962652,0.9995278906756938,4.186179906807954,0.002,0.0,0.0,,,,0.9995278906756938,4.186179906807954,0.002,chemotype-blocked,150,90,45,5,5,1.3689878717103923,2.1435887770384525,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,G14_saved_vs_0_dZ 9-13,saved,random order,G14,1.6747634986230016,0.837247361611377,4.064227115731302,0.004,0.0,0.0,,,,0.837247361611377,4.064227115731302,0.004,chemotype-blocked,90,90,45,5,5,1.2106609627043066,1.949442271006048,True,True,0.02,True,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,2000,8675309
C1_L3A_measurements_saved,L3,exploratory,BP,HEAVIER_ALWAYS_saved_vs_0,saved,random order,HEAVIER_ALWAYS,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,chemotype-blocked,455,90,45,0,5,0.0,0.0,False,False,0.02,False,False,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000,0,8675309
