extractant_system_key,records,model_ready,metals,solvents,names,n_components,log_D_min,log_D_max
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,3606,2799,34,34,(PhSO3Na)2-BTBP + (PhSO3Na)2-BTPhen + CITAM + PHEN-6OH + PHEN-dialcohol + PPA + PPPA + PyTri-Tetraol + PyTri-diol + SO3-Ph-BTBP + SO3-Ph-BTP + TODGA + TWE-18 + TWE-26 + TWE-31 + TWE-32 + TWE-37 + TWE-38 + TWE-39 + TWE-40 + TWE-41 + TWE-42,1,-3.9999999999999902,4.2106235560608365
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,1453,234,13,13,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine + C5BTBP,1,-4.991399828238082,0.9047155452786809
CCCCOP(=O)(OCCCC)OCCCC,972,24,4,4,TBP,1,-3.8113594422802395,1.5435227854582696
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,907,508,25,12,T2EHDGA + TEHDGA,1,-3.0000000000000018,4.485436893203882
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,693,383,6,3,DEHiBA,1,-4.020482809070966,1.5223613595706615
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,581,436,5,3,DEHBA,1,-3.5757132406730134,2.086283185840707
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,531,406,15,7,DMDODGA + N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,1,-1.6228070175438594,4.21498771498771
CCCCCCCC(=O)N(CCCCCC)CCCCCC,505,392,5,4,DHOA,1,-4.035113386978793,1.928377619171188
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,386,373,18,13,TBDGA,1,-2.637472283813748,2.832508912706236
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,374,354,20,6,TDdDGA,1,-2.911792014856083,2.8818791946308693
,226,0,2,2,,0,-2.3274683328824,1.3936182408196918
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,216,192,15,1,DHD2DGA,1,-0.09806659020810964,3.0420915032679714
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,208,180,16,1,DOODA (C12),1,-1.7966101694915266,1.749736315569061
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,192,94,13,1,TBP + TODGA,2,-3.0107526881720448,3.746874999825842
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,184,182,13,7,TDDGA,1,-2.801704105344697,2.1999991251967965
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,172,0,11,1,DMDOHEMA + TODGA,2,-2.2018970189701936,2.377788200958925
CCCCCCN(CCCCCC)C(=O)CCCCC,144,143,5,3,DHHA,1,-4.05559619604975,2.024469820554652
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,142,136,6,12,TPDGA,1,-2.268292682926829,2.6866362692622934
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,140,134,15,9,THDGA,1,-2.79379157427938,2.9301591498186865
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,140,140,14,2,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide + DMDPhPDA,1,-4.0,1.556302501
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,138,15,2,1,ADAAM(EH),1,-1.9706162223147903,0.5145477526602861
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,134,98,6,3,DBD1MHDGA,1,-0.56412213740458,3.0262153828367744
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,127,121,18,4,DMDPDGA,1,-3.0,3.05981941309255
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,114,58,3,1,DEHPVA,1,-3.4836683417085412,1.5590452261306529
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,108,6,1,1,C2-PTA,1,-1.0,0.8450980400142568
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,107,50,8,6,DMDO-HPyranDGA,1,-1.5854271356783927,2.8950850661625704
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,98,96,16,2,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide + DMDOHEMA,1,-3.0,1.8129133566428555
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,88,82,12,1,mTDDGA,1,0.2304489213782739,3.8920946026904804
CCN(CC)C(=O)COCC(=O)N(CC)CC,84,84,14,6,TEDGA,1,-2.1263259402121517,2.288331726133074
