quantity,icc,n_effective,n_effective_kind,n_predictors,power,alpha,min_detectable
between_chemotype_R2,0.72,34.26,reliability-weighted,1,0.8,0.05,0.19585273784023588
between_chemotype_R2,0.72,34.26,reliability-weighted,3,0.8,0.05,0.26598608450618755
between_chemotype_R2,0.72,34.26,reliability-weighted,10,0.8,0.05,0.40361546294696227
between_chemotype_R2,0.6,29.48,reliability-weighted,1,0.8,0.05,0.22245795176107236
between_chemotype_R2,0.6,29.48,reliability-weighted,3,0.8,0.05,0.301423807214909
between_chemotype_R2,0.6,29.48,reliability-weighted,10,0.8,0.05,0.4606415083272496
between_chemotype_R2,0.5,25.39,reliability-weighted,1,0.8,0.05,0.2518392975753938
between_chemotype_R2,0.5,25.39,reliability-weighted,3,0.8,0.05,0.34045775080429774
between_chemotype_R2,0.5,25.39,reliability-weighted,10,0.8,0.05,0.5253902125860184
between_chemotype_R2,,45.0,nominal (no measurement error),1,0.8,0.05,0.15436854090701801
between_chemotype_R2,,45.0,nominal (no measurement error),3,0.8,0.05,0.21048742722920255
between_chemotype_R2,,11.67,Kish on units (wrong estimand),1,0.8,0.05,0.45506654718064
between_chemotype_R2,,11.67,Kish on units (wrong estimand),3,0.8,0.05,0.6112873231028346
