component,variance,sd,share,share_low,share_high,at_boundary
chemotype,0.05567104087847944,0.23594711457968592,0.31261981702538966,0.1390709024738494,0.7106372504769524,False
extractant,1.522997974471263e-08,0.00012340980408667956,8.552370147857197e-08,8.552370147857197e-08,0.13100250268939365,True
publication,0.06984336462510493,0.2642789522930363,0.3922042685926918,0.2735344485903667,0.7917688313250091,False
diluent,0.01267869456809868,0.11259970944944166,0.07119700141141083,0.009759192578276645,0.31042777172066455,False
acid,0.003493976557505013,0.0591098685289099,0.019620368056032865,8.552370147857197e-08,0.23234563085349053,True
residual,0.03639196086434548,0.1907667708599836,0.20435845939077335,0.20055379340973925,0.24609878712284938,False
