comparison,point,p_percentile_OLD,p_wcr_cr2,p_wcr_cr3,p_wcr_webb,p_wcu_cr2,p_cr2_t_bm,p_cr2_normal,se_cr1,se_cr2,se_cr3,se_iid,dof_bell_mccaffrey,kish_chemotypes,max_chemotype_share,wcr_ci_low,wcr_ci_high,mde80_cr2_t,rope,P_better_chemo,P_rope_chemo,P_worse_chemo,P_better_unit,P_rope_unit,P_worse_unit,P_better_re,P_rope_re,P_worse_re,G_nominal,G_active,n_units,n_units_nonzero,p_floor_signflip,top1_share_of_abs_sum,top3_share_of_abs_sum,largest_active_chemotype
BP: LOGIT_TOPO39 - G13_ET_TOPO39 (macro accuracy),0.05219512195121952,0.006,0.0233,0.0342,0.0241,0.1281,0.09889706001209453,0.06760641812962281,0.026921888880155922,0.028559047819738632,0.03066145135418699,0.020934954964435915,9.570366878256154,10.065868263473053,0.2804878048780488,0.005072693048650781,0.12502069389155307,0.08917794319729255,0.02,0.98675,0.0127,0.00055,0.94195,0.058,5e-05,0.9600716079064617,0.03583280308730803,0.004095589006230104,40,13,82,15,0.000244140625,0.17482517482517484,0.4195804195804196,sc058
BP: G14hard_vs_FULL (mae_all),0.05219573505953852,,0.0721,0.0721,0.0669,0.0241,0.046289426243814956,0.02498273613824466,0.02297918359137776,0.023284312646217928,0.023700963972946364,0.02178892290275111,11.133912620441352,11.671469740634006,0.25555555555555554,-0.003686615291384518,0.09236117437426443,0.07154959708000642,0.02,0.8818,0.11085,0.00735,0.90975,0.0886,0.00165,0.8656268243901849,0.11753477584599775,0.01683839976381725,45,45,90,90,5.684341886080802e-14,0.1658370386114654,0.3154860828020974,sc009
BP: G14hard_vs_MEANCURVE (mae_all),0.12165358786170671,,0.007,0.0068,0.0072,0.0173,0.006829493844281498,0.0009284918748401835,0.034178385024898734,0.0367384389624347,0.03984192019667879,0.02191828462512779,11.133912620441352,11.671469740634006,0.25555555555555554,0.033481334351863457,0.1905381609162718,0.11289233850489372,0.02,0.98625,0.01355,0.0002,0.9972,0.00275,5e-05,0.9777278953880416,0.021362461120173325,0.0009096434917850102,45,45,90,90,5.684341886080802e-14,0.2860232727143841,0.4099821587918113,sc009
BP: G14hard_vs_G13dir (mae_all),0.023014980505353652,,0.1608,0.1782,0.1608,0.2287,0.19331993990753987,0.16620130733606786,0.015832970188900206,0.016623154730377034,0.01761167636453338,0.012511537825517676,11.133912620441352,11.671469740634006,0.25555555555555554,-0.0056599614045467345,0.0641572884630368,0.05108074441485695,0.02,0.8177,0.17765,0.00465,0.5904,0.409,0.0006,0.797094306939889,0.19419840699082763,0.008707286069283183,45,17,90,21,1.52587890625e-05,0.1363972493907835,0.37275491281655543,sc068
