pair,r2_A_alone,r2_B_alone,r2_joint,unique_A,unique_B,aliased_shared,rank_A,rank_B,rank_joint,aliased_dof
extractant vs publication,0.6777888557855748,0.7323483709666448,0.8289697372674171,0.09662136630077223,0.15118088148184228,0.5811674894848026,82,41,96,26
chemotype vs publication,0.40020412223861035,0.7323483709666448,0.795714825264403,0.06336645429775811,0.3955107030257926,0.33683766794085235,40,41,66,14
