comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,0.013818171192615136,0.03167839143266049,0.13238943784113832,0.007486529996427627
A2_vs_A5,A2,A5,1,-0.012613442405141284,-0.007597184754166597,-0.018381092614839334,-0.018370784124093764
A2_vs_A5,A2,A5,2,-0.02180588173519532,-0.02149958593340462,-0.03100378359372513,-0.004863956612449316
A2_vs_A5,A2,A5,3,0.01767624721273503,0.024565686858695868,0.06725811058412956,-0.010451210360372554
A2_vs_A5,A2,A5,4,-0.0027576198174993904,0.0019397360545192477,0.0029082830200208853,0.009091382863376407
A2_vs_A6,A2,A6,0,0.012197378948166415,0.0285215824820374,0.11952561544764917,0.011335283678480024
A2_vs_A6,A2,A6,1,-0.025215182492349497,-0.027899883381565738,-0.06937377651160948,-0.026620650297677906
A2_vs_A6,A2,A6,2,-0.02534431988894953,-0.026116975791830144,-0.037801057185723574,-0.007010200974027048
A2_vs_A6,A2,A6,3,0.02686202219290701,0.03548187066958708,0.09640351980564965,0.01820049708623761
A2_vs_A6,A2,A6,4,-0.0012986986820314184,0.003959399502918126,0.005922898730128967,0.006526046141507091
A3_vs_A2,A3,A2,0,0.005672530097589945,-0.031121203492278537,-0.1301242209041087,0.02247954588929646
A3_vs_A2,A3,A2,1,0.027144549935580464,0.06375445081251813,0.16607791025786656,0.04719750427437608
A3_vs_A2,A3,A2,2,0.047174091098314885,0.045969569565511015,0.06758486187620771,0.021655777342275306
A3_vs_A2,A3,A2,3,0.14115416141363912,0.24830850903412338,0.8096225655883944,0.5432078358858681
A3_vs_A2,A3,A2,4,0.014370603794922998,0.026659491484552655,0.04125861609262205,0.02094139902433423
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,0.005267696670964772,0.015513756042587867,0.06575105881385324,0.007965271539896845
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.018294034706455742,-0.010996112187625584,-0.02672812360519128,-0.04325437903356055
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.03679321326364343,-0.021968713635817094,-0.031692149611121545,-0.0072347660716757245
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.02076696846581616,0.031492133821445445,0.08580414681805326,0.012180839667653265
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,4,0.0008656358338792747,0.008847537212693934,0.013162071738990644,0.009466712746677763
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,0,-0.0016795816159887456,0.006800593938157129,0.029039100957103603,-0.0032492261753596097
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,1,-0.010082385688819973,-0.002557222251748814,-0.006144526512740667,-0.02274734818214652
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,2,-0.019447343952677998,-0.012267037970658201,-0.017559593518709837,0.0001592433316397468
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,3,0.0036455036994670342,-0.00045892420057291883,-0.001278480464312448,-0.00293294274693201
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,4,0.003701501557658804,0.01382688503689028,0.02045335188332076,0.00755508024043805
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,0,0.005958674773155315,0.01725102411989632,0.07300450347780929,-0.000155666387837039
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,1,-0.013206869225752926,-0.003439353577031956,-0.008274144899976132,-0.02047721196972796
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,2,-0.017580989192781504,-0.006008330223680525,-0.008557344685240276,0.004009187217422161
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,3,0.02114934335353713,0.030136368862774154,0.08218845937359542,0.02434240888597161
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,4,-0.0007735561358234722,0.008663979330885752,0.012891686784505918,0.011754142599260997
A2_vs_A2+D1,A2,A2+D1,0,0.004997210074373093,0.014304547903047027,0.060689350937082054,0.0033549104924824324
A2_vs_A2+D1,A2,A2+D1,1,0.0011256841257582528,0.0011918330975527747,0.0028489922102126197,-0.015435041322425347
A2_vs_A2+D1,A2,A2+D1,2,-0.016214931139358457,-0.006999707314478187,-0.009977291657855547,0.005216307035983747
A2_vs_A2+D1,A2,A2+D1,3,0.011648891296699548,0.013740821601321618,0.037905738009635814,0.02328791213773107
A2_vs_A2+D1,A2,A2+D1,4,0.0036782260635568886,0.011572215454614121,0.017162203765186623,0.009976430437443229
A2_vs_A2+D2,A2,A2+D2,0,0.0048900204782891254,0.009387087954471296,0.03999491973595837,0.011402396033075968
A2_vs_A2+D2,A2,A2+D2,1,-0.006747363919011651,-0.004792823287949999,-0.011551651092829518,-0.025568515263384883
A2_vs_A2+D2,A2,A2+D2,2,-0.012961394004671778,-0.010260925925932862,-0.014664278283820664,0.002695203628153009
A2_vs_A2+D2,A2,A2+D2,3,0.001080453580812657,-0.0021736661782501,-0.006062583103349617,0.016343663277264553
A2_vs_A2+D2,A2,A2+D2,4,0.004713662057461043,0.013937525237510018,0.020614411793663745,0.008985265161854716
A2_vs_A2+D3,A2,A2+D3,0,0.016197743543258925,0.02164180746512767,0.09123858317124878,0.02542045090009648
A2_vs_A2+D3,A2,A2+D3,1,-0.0081462437933007,-0.0027631938492394537,-0.0066413177186084305,-0.00795831794952595
