outer_fold,extractant_id,n_train_extractants,max_train_tanimoto,nearest_train_extractant,mean_train_tanimoto
1,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,24,0.7741935483870968,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.5896170091057998
0,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,25,0.7692307692307693,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.5087038071612224
4,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,27,0.75,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.47056435696118876
2,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,27,0.7419354838709677,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.5408572305095993
0,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,25,0.7352941176470589,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.4246722476709273
2,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,27,0.6923076923076923,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.5122978965829696
4,CCN(CC)C(=O)COCC(=O)N(CC)CC,27,0.6521739130434783,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.4122257533622889
1,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,24,0.65,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.36999707182943986
4,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,27,0.6486486486486487,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.47291180158582125
1,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,24,0.6451612903225806,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.40566977178102254
