comparison,reference,candidate,stratum,n_extractants,n_pairs,macro_delta_mae,median_delta_mae,extractants_improved,fraction_improved,ci95_low,ci95_high
A2_vs_A0,A2,A0,all,34,6699,-0.32033566458936275,-0.2539575060741329,7,0.20588235294117646,-0.4731841490952874,-0.16090858278384837
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.9,28,3274,-0.30836804587490535,-0.2632226500461814,6,0.21428571428571427,-0.4750560217474775,-0.15062760137448597
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.9,6,3425,-0.37618455192349726,-0.23474918229906783,1,0.16666666666666666,-0.8158608840305239,0.09619454019403613
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.8,20,2075,-0.2466817340998447,-0.22197179142651768,4,0.2,-0.43375945102036595,-0.06871061389065909
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.8,14,4624,-0.4255555652886744,-0.2802483925186706,3,0.21428571428571427,-0.7064450375128761,-0.1590326149125983
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.7,15,1637,-0.17666220450133838,-0.10863362593200998,4,0.26666666666666666,-0.39073981223308113,0.05348969059610308
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.7,19,5062,-0.4337620804483295,-0.30416470083180674,3,0.15789473684210525,-0.6475128345621407,-0.21812411078304283
A2_vs_A1,A2,A1,all,34,6699,-0.03073924649262748,-0.01425844108682714,13,0.38235294117647056,-0.06346571783121108,0.001959725337563282
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.9,28,3274,-0.024370188947387492,-0.014031953072681042,11,0.39285714285714285,-0.05952952200028761,0.01084962026042877
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.9,6,3425,-0.060461515037080714,-0.06519003434843577,2,0.3333333333333333,-0.13656848868229077,0.028558833088973088
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.8,20,2075,-0.015311891814437373,-0.0071906916377152685,9,0.45,-0.06286877339630761,0.030795076802472815
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.8,14,4624,-0.052778324604327596,-0.03690911603962316,4,0.2857142857142857,-0.09384944207286344,-0.010766372379470625
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.7,15,1637,-0.01697845896965724,-0.023701924996048868,6,0.4,-0.07866683260808954,0.040673199113508154
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.7,19,5062,-0.041603026116025024,-0.00940945586072306,7,0.3684210526315789,-0.07992459466370912,-0.0033759819675141917
A2_vs_A3,A2,A3,all,34,6699,-0.04829246141582949,-0.03138797947592177,9,0.2647058823529412,-0.08179253871584381,-0.01515365511304237
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.9,28,3274,-0.04336289189418934,-0.03138797947592177,8,0.2857142857142857,-0.07809505126950715,-0.012067284025847192
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.9,6,3425,-0.0712971191834836,-0.08008277593140073,1,0.16666666666666666,-0.15475673427585077,0.030950749460010352
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.8,20,2075,-0.03851223360956171,-0.03307887325025487,7,0.35,-0.07794308586196945,0.0032870046884299025
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.8,14,4624,-0.062264215424783484,-0.030428011689810047,2,0.14285714285714285,-0.11063136698934771,-0.011451867039925966
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.7,15,1637,-0.04128331776611525,-0.034210943627140666,5,0.3333333333333333,-0.0935957921290945,0.012846221261194127
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.7,19,5062,-0.05382599587613022,-0.030829156078474473,4,0.21052631578947367,-0.0894543211695929,-0.015091710569680802
A2_vs_A4,A2,A4,all,34,6699,-0.011434427185416048,-0.005796428780619443,14,0.4117647058823529,-0.02513781308039623,-0.00011710903258901488
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.9,28,3274,-0.01142869017043649,-0.005614542059096915,12,0.42857142857142855,-0.025539582922702538,0.0024180547056695226
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.9,6,3425,-0.011461199921987318,-0.013317074070049402,2,0.3333333333333333,-0.025132546012539114,0.00259125247818737
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.8,20,2075,-0.0070785083141455055,0.004375759728762668,12,0.6,-0.02497130136630062,0.009071874972238048
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.8,14,4624,-0.01765716843008825,-0.01631773435727899,2,0.14285714285714285,-0.029489467157054156,-0.007823898316719372
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.7,15,1637,-0.010306026740070433,0.006383223568102447,10,0.6666666666666666,-0.03243848879199816,0.013193674288706539
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.7,19,5062,-0.012325269642267846,-0.007657730915025196,4,0.21052631578947367,-0.02219950861496244,-0.0027054979859865956
A2_vs_A5,A2,A5,all,34,6699,-0.011871983445047429,-0.009620781104987569,14,0.4117647058823529,-0.023196845411363808,-9.470506433906513e-05
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.9,28,3274,-0.011054736833019775,-0.008864960513250031,12,0.42857142857142855,-0.0227222224635177,0.001830917951114683
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.9,6,3425,-0.015685800967843135,-0.028176528650915307,2,0.3333333333333333,-0.040901158884595716,0.011200984352763526
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.8,20,2075,-0.0054247168688472585,0.001477037318616467,11,0.55,-0.020609648896369716,0.01139952502900889
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.8,14,4624,-0.021082364268190528,-0.028892669680500332,3,0.21428571428571427,-0.03637235777582455,-0.005879942771982396
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.7,15,1637,-0.006225459157742789,0.0002423087613223074,8,0.5333333333333333,-0.027240361038769336,0.015146235026617962
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.7,19,5062,-0.016329765777130037,-0.021272252702813868,6,0.3157894736842105,-0.028325388662010863,-0.0033705685253249775
A2_vs_A6,A2,A6,all,34,6699,-0.017511074566037593,-0.011732600168759322,12,0.35294117647058826,-0.03167585690133843,-0.005501817724813139
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.9,28,3274,-0.018497952212144446,-0.010485509882732058,10,0.35714285714285715,-0.03446809493492052,-0.005420273014363522
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.9,6,3425,-0.0129056455508723,-0.021373878839801144,2,0.3333333333333333,-0.04096334769239634,0.020922077442483256
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.8,20,2075,-0.013713079721986241,-0.004372949781441024,8,0.4,-0.03446827861937201,0.003662089170073173
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.8,14,4624,-0.022936781486110957,-0.02926132616261546,4,0.2857142857142857,-0.038432754604313016,-0.004918563513857214
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.7,15,1637,-0.014684358588332091,-0.0004885775237169487,6,0.4,-0.040750696642288295,0.0070668055340067275
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.7,19,5062,-0.01974269244317352,-0.025910107085628187,6,0.3157894736842105,-0.0326336803039257,-0.0056728678464101345
A2_vs_A2+D1,A2,A2+D1,all,34,6699,-0.006882634118081288,-0.002819231433552477,15,0.4411764705882353,-0.014541556767395327,0.00168592097881342
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.9,28,3274,-0.005578518414259733,-0.00146822655493202,13,0.4642857142857143,-0.015136897227408687,0.0031714897531573065
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.9,6,3425,-0.012968507402581887,-0.020437612116035113,2,0.3333333333333333,-0.028310611282500328,0.0016608880026048184
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.8,20,2075,-0.004190683663456399,0.0005678863131924478,10,0.5,-0.016920398854890533,0.007760358546316841
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.8,14,4624,-0.010728277624688278,-0.01957829035389285,5,0.35714285714285715,-0.02020330290713011,-0.0004672618013648619
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.7,15,1637,-0.00606230560019053,0.0013809374529377694,8,0.5333333333333333,-0.020088465924453413,0.0065413644504996255
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.7,19,5062,-0.007530261895363467,-0.010810742108969817,7,0.3684210526315789,-0.0167553661821736,0.0015026966644382895
A2_vs_A2+D2,A2,A2+D2,all,34,6699,-0.005942638683344873,-0.0026375977559504604,14,0.4117647058823529,-0.012164299950455296,0.00018864558043773892
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.9,28,3274,-0.005656691280734665,-0.0016864557234394506,12,0.42857142857142855,-0.013158113833607075,0.0014655515836902754
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.9,6,3425,-0.007277059895525841,-0.007114885648730446,2,0.3333333333333333,-0.014420841009827254,-0.0006567934638598543
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.8,20,2075,-0.004733437203918475,-0.001419407565075248,9,0.45,-0.013591585579834425,0.0029541189285085113
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.8,14,4624,-0.007670069368239726,-0.007820662369381781,5,0.35714285714285715,-0.01596664556228226,8.890679884864059e-05
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.7,15,1637,-0.0046004184971117894,-0.001570467666240638,7,0.4666666666666667,-0.016124747055078336,0.00511859091117611
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.7,19,5062,-0.007002286198792045,-0.004884305172565329,7,0.3684210526315789,-0.01334597221784919,-0.00023831469110328728
A2_vs_A2+D3,A2,A2+D3,all,34,6699,0.0002672228003494362,-0.0016167531214678899,15,0.4411764705882353,-0.009331118066971403,0.009440149958354278
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.9,28,3274,0.0010310066255679279,-0.0006511272480877184,14,0.5,-0.01060142807985427,0.011958935952353877
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.9,6,3425,-0.003297101717336858,-0.003874793499550555,1,0.16666666666666666,-0.006952096460939825,0.0006462846672866489
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.8,20,2075,0.00358875658097825,-0.0004446083148344909,10,0.5,-0.011564332889532989,0.01856589948491956
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.8,14,4624,-0.004477825457691727,-0.0016701541688910401,5,0.35714285714285715,-0.012945408960694946,0.001392780126139423
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.7,15,1637,0.00034441813773003114,-0.0019304674248374898,7,0.4666666666666667,-0.0189554767629466,0.021518541008708526
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.7,19,5062,0.00020627911294370338,-0.00130303881809829,8,0.42105263157894735,-0.00794136568520486,0.0077459211161371114
A2_vs_A2+D4,A2,A2+D4,all,34,6699,-0.006404127688367423,-0.0057663365864297975,12,0.35294117647058826,-0.01153974764166521,-0.00036881330291785704
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.9,28,3274,-0.006300385057196557,-0.00661458708060806,10,0.35714285714285715,-0.012805412144004165,0.00011230884004000653
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_ge_0.9,6,3425,-0.006888259967164803,-0.0057663365864297975,2,0.3333333333333333,-0.013728148930337164,-0.00023583933177851596
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.8,20,2075,-0.004654818567569325,-0.0018227496933464898,8,0.4,-0.01319542761008629,0.004505282096132864
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_ge_0.8,14,4624,-0.008903140718078992,-0.011008707251976467,4,0.2857142857142857,-0.01447360379612608,-0.0033546246308813104
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.7,15,1637,-0.00612906553371168,-0.001313345078193362,6,0.4,-0.016881799131749,0.003554354002677708
