level,n_pairs,n_extractants,n_cells,mae_pooled,mean_abs_y,mae_pooled_incumbent,mae_pooled_meancurve,frac_beats_meancurve,mae_macro,mean_abs_y_macro,mae_macro_meancurve,ratio_pooled,ratio_macro,n_pairs_per_seed,mae_ratio_model_over_meancurve
1,10570,82,378,0.1480767377590538,0.16723049423075292,0.1517976177898125,0.1678101685161551,0.5784295175023652,0.17029209613272234,0.18553475227377805,0.1912884916030833,0.8854649293491305,0.9178447382269204,2114.0,0.8824062276345217
2,10105,83,366,0.23491705940757995,0.2806019328659781,0.24064108818636656,0.2613172388430936,0.6007916872835231,0.24281261702769807,0.2895753758894764,0.2900107485612252,0.8371897406700392,0.8385126541987932,2021.0,0.898972683346905
3,8825,82,364,0.3225577946178623,0.3972952074152649,0.3381349213068656,0.3658787863870496,0.6067988668555241,0.33162535538634386,0.3899349176333995,0.3899105302574512,0.811884434036767,0.8504633475736177,1765.0,0.8815974213838141
4,7760,82,333,0.4125861752234825,0.514365282253935,0.431194743030466,0.48230999905556704,0.6662371134020618,0.3715009161448785,0.46248004618550176,0.4661794659504439,0.8021267948247612,0.8032798803083251,1552.0,0.8554377392784436
5,6985,81,297,0.5003058366486067,0.6595841343236747,0.5331218289667615,0.599038414781509,0.6790264853256979,0.46934386299189707,0.6007822012131213,0.5893924660978279,0.7585170876822425,0.7812213178822223,1397.0,0.8351815581494659
6,6340,88,327,0.5851649140369898,0.7767613817946714,0.6199972097670319,0.7060665464953128,0.6739747634069401,0.5587105169483618,0.7005427518500034,0.7188839913819154,0.7533393494473081,0.7975395012979737,1268.0,0.8287673689421489
7,4725,76,238,0.6919226222807044,0.9216767805523759,0.7383390664419512,0.8341255784901068,0.6766137566137567,0.5748435954496584,0.7525242140829285,0.747440439491202,0.7507215510691546,0.7638871742488679,945.0,0.8295185282930525
8,4040,71,203,0.7698665744581459,1.0594382967979508,0.83612846678028,0.9636975651316417,0.7339108910891089,0.6565660675459039,0.8788367249312994,0.8724335186734944,0.7266742922027576,0.7470853787968739,808.0,0.798867406449223
9,3105,74,164,0.8496502467570056,1.1886473445092562,0.926166174369222,1.0676709539793658,0.7281803542673108,0.7144115336469428,0.9447036943545092,0.9394567732873584,0.7148043115410243,0.7562281569514567,621.0,0.7957978472583102
10,2370,59,154,1.0005986634785575,1.4034257985602399,1.0815181381255712,1.2512223791562371,0.7312236286919831,0.935196499617765,1.2170332535959243,1.19409566527066,0.712968697386824,0.7684231280078614,474.0,0.799696904520931
11,2450,70,160,0.9655528612690694,1.3601197482418081,1.0561592039810945,1.218383932289841,0.7281632653061224,0.8430866929570247,1.0960043908181065,1.109016160421619,0.7099028320978463,0.769236601623199,490.0,0.7924865353849514
12,1595,51,123,1.0747055555561351,1.4711933997075597,1.1557530158047273,1.3157902575747429,0.7034482758620689,1.029482069923922,1.3086460680435572,1.269275544948,0.730499168749508,0.78667723463458,319.0,0.8167757356229604
13,1190,53,127,1.132229063864278,1.591081401913521,1.2565086047968934,1.3983598321740054,0.7378151260504202,1.075484238263574,1.3594736906126936,1.3351749324668165,0.7116097658501933,0.7911033848539357,238.0,0.8096836292158232
14,690,56,138,1.1277135799719789,1.6378839472518407,1.2413629667857367,1.351782324043825,0.6869565217391305,1.1230673107474118,1.4653767635468056,1.3147514071908795,0.6885186107746752,0.7664017464212642,138.0,0.8342419928960532
