metal,Z,n_pairs_per_seed,n_extractants,mae_pooled,mae_macro,mean_abs_y,mae_pooled_meancurve,mae_pooled_incumbent,frac_beats_meancurve,ratio_pooled
La,57,2087.0,85,0.7292597860061448,0.6946866719892858,1.0507659095585455,0.8811792963067809,0.7902336414261911,0.6255869669381888,0.6940268801759338
Ce,58,1895.0,70,0.6547386007237818,0.5869673364947137,0.923621396638939,0.8056952972461784,0.7090024987369721,0.655514511873351,0.7088820193061545
Pr,59,1734.0,75,0.5771104489517557,0.5038179063108031,0.7723575942220521,0.7129053079897694,0.6293317684821995,0.6770472895040369,0.7472062853645445
Nd,60,2269.0,83,0.514201678782471,0.455016029121443,0.6920319052771149,0.620088080913983,0.5468887588175915,0.6562362274129573,0.7430317516597242
Sm,62,2206.0,79,0.44829111015201845,0.4117406607489763,0.5838199083372605,0.5313723677767126,0.47831282301390454,0.6773345421577516,0.7678585532116696
Eu,63,2088.0,88,0.43270021278224957,0.455111182088572,0.5661349340921128,0.5182568496379146,0.46223119303400567,0.6837164750957855,0.7643057983626342
Gd,64,2306.0,75,0.4204014135081327,0.37022690672287406,0.5366858264317885,0.4808678545096417,0.4363578548491422,0.5935819601040763,0.7833287051816054
Tb,65,1933.0,66,0.4037401307913462,0.3948061910199434,0.5290273823807716,0.4899273419314231,0.43300267646802404,0.6430419037765132,0.7631743539897733
Dy,66,2283.0,76,0.39355667442560005,0.3767698542388559,0.5111410520037025,0.4697890518258939,0.41561484567832757,0.6368812965396409,0.7699570850019483
Ho,67,1958.0,59,0.45098614930380687,0.4464286309640156,0.5724544726751069,0.5268451173886867,0.4775564208248581,0.6114402451481104,0.7878113820935441
Er,68,2175.0,75,0.4354641510488319,0.4358289295739211,0.5630861583066156,0.5570614356549691,0.46714128872339433,0.711632183908046,0.7733526115406836
Tm,69,1587.0,55,0.43179023264481176,0.426798003479867,0.5507383184898761,0.5175254380068983,0.43756579835714315,0.6764965343415249,0.7840206830510362
Yb,70,1864.0,61,0.5037742988970685,0.46573481242397696,0.6309025237739765,0.6024187129261824,0.5391546449294505,0.6545064377682404,0.7984978343144935
Lu,71,1915.0,60,0.516524512120611,0.4786726146343302,0.6523802925335699,0.6045928868226028,0.5513918208300447,0.6365535248041776,0.7917537026059566
