extractant_name,chemotype,n_cells,mae_best,replicate_sd_median,noise_floor_pairwise,at_or_below_floor
ADAAM(EH),sc016,1,2.0653664246828334,0.05600919073129664,0.07920895714974116,False
DMDODGA,sc009,74,0.957813397316659,0.0212132034355966,0.03000000000000025,False
DOODA (C12),sc009,10,0.516837276947428,0.6083066239366275,0.8602754776525686,True
DOODA (C8),sc009,2,0.45424021544407045,0.6215448772485663,0.8789971950284431,True
TODGA,sc009,171,0.44467737570654703,0.12881737427361148,0.18217527776703238,False
DBD1MHDGA,sc018,17,0.4411790768291536,0.003701322300649473,0.005234460196292472,False
DMDO-HPyranDGA,sc020,3,0.3846740242826061,0.11195760402438439,0.15833196202208102,False
DHD2DGA,sc009,20,0.3306198937847099,0.0069360240491084255,0.009809019279195086,False
TDdDGA,sc009,21,0.27268036928716716,0.0019119895148922146,0.0027039615030757247,False
2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,sc027,1,0.17442322186873263,1.3370367682141902,1.8908555310000001,True
