cut,level,n_pairs,n_extractants,n_cells,mae_pooled,mean_abs_y,mae_pooled_incumbent,mae_pooled_meancurve,frac_beats_meancurve,mae_macro,mean_abs_y_macro,mae_macro_meancurve,ratio_pooled,ratio_macro,n_pairs_per_seed
n_metals,2,690,11,138,0.4382029018950406,0.48373313138805024,0.4397601264190538,0.44850774282687084,0.4971014492753623,0.6669553024204753,0.6246208867243326,0.6366241701588978,0.9058773804424709,1.0677761768713099,138.0
n_metals,3,930,13,62,0.38804671963737414,0.49826513561678965,0.4081838663006501,0.42788889288052734,0.613978494623656,0.5444199647207,0.6046874348907711,0.611512990190527,0.7787956489410423,0.9003328551370383,186.0
n_metals,4,960,8,32,0.4071207842761061,0.5098735013020198,0.41033348578011725,0.4638925374323392,0.628125,0.4388393544150775,0.4833176306483883,0.49519485357989296,0.7984740984508452,0.9079729904045885,192.0
n_metals,5,1050,9,21,0.34041471443800936,0.44655749745714324,0.3428131744610468,0.43983167580177474,0.7123809523809523,0.3322654586838486,0.3971951814619451,0.488126315343847,0.7623088098989524,0.836529429840736,210.0
n_metals,6,5400,12,72,0.37665900159136945,0.41150126532579584,0.3611851535166002,0.3540837407002211,0.48907407407407405,0.40266152363613356,0.42953241255799474,0.39060888838856267,0.9153289025567373,0.9374415337789366,1080.0
n_metals,7,840,6,8,0.6946259673886961,0.8611227188477196,0.6618594775680453,0.7304580977397145,0.5773809523809523,0.7979432817573928,0.8829879602707518,0.7780986551662663,0.8066515401175164,0.9036853475473419,168.0
n_metals,8,7980,18,57,0.23173771861387552,0.32090919808882934,0.23635880358258862,0.25700946259703206,0.5904761904761905,0.23575681860543396,0.3542514893253049,0.26661253240701355,0.7221286270196883,0.6655069229333325,1596.0
n_metals,9,1980,10,11,0.47583282748871975,0.5547528362076866,0.5036256320986457,0.6594338545902348,0.7393939393939394,0.46114281474187796,0.5040595989495533,0.6352151732768965,0.8577384313012849,0.914857718616781,396.0
n_metals,10,900,3,4,0.9861499684405436,1.215339544195443,0.9657368701212873,1.0143920002548628,0.5066666666666667,0.950234350460447,1.1839712441124426,0.9951023211724486,0.8114193051238011,0.8025822883669652,180.0
n_metals,11,550,1,2,1.1628477556352927,1.3788888888888888,1.1071256763793582,1.1643399304001378,0.47454545454545455,1.1628477556352927,1.3788888888888886,1.1643399304001378,0.8433223046508973,0.8433223046508974,110.0
n_metals,12,330,1,1,0.5972212247034148,0.8831017244607013,0.8810244141409119,0.7132375389456898,0.6787878787878788,0.5972212247034148,0.8831017244607013,0.7132375389456898,0.6762768185829667,0.6762768185829667,66.0
n_metals,13,13650,8,35,0.5473442611815413,0.8589523138641946,0.6943244561728351,0.7073397684711503,0.7296703296703296,0.5358052790743655,0.7620788901055341,0.6767655098296839,0.6372231058080364,0.703083743731789,2730.0
n_metals,14,35490,44,78,0.5288936443077867,0.6694368232426827,0.5363858436987236,0.645297312536759,0.6670047900817132,0.48672536473323635,0.6285247691064909,0.6221916785635394,0.7900575916124253,0.774393291492973,7098.0
