extractant,ae_best,ae_inc,ae_mc,absy,gain,n_cells,n_pubs
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,1.2266693177839116,1.5130024764385506,1.5182620421722892,1.7234663426813275,0.28633315865463893,1,1
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.6490862360436017,0.9176611078598883,0.7489799139688486,0.9216543316825085,0.2685748718162866,16,2
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1.1503808506263156,1.2970230711899813,1.5099048416188432,1.7014739297163985,0.14664222056366572,1,1
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.3211834589162894,1.4495970166563799,1.5745174393227381,1.260961364879121,0.12841355774009044,2,1
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.4577817545233535,0.5787428698572794,0.5415182791313604,0.3665168371428583,0.1209611153339259,1,1
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.5228112930095479,0.6414946905684713,0.9132809369073248,1.0461637732620186,0.11868339755892343,1,1
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.1413531957368572,0.258065725334845,0.4121456984976139,0.1361584974285715,0.11671252959798781,3,1
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0.26458528103595025,0.37850414157085066,0.40235189608951333,0.5589096608214286,0.11391886053490041,1,1
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.6901257244088372,0.7954812135810838,0.6531245239344436,0.3876806246153846,0.10535548917224657,1,1
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.21535990173644665,0.307689216253188,0.394126457286357,0.20350245166666664,0.09232931451674137,1,1
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.5941177042245126,0.6850094912545012,1.150401172791263,1.3333960447716453,0.09089178702998857,1,1
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.2619539869600691,0.3451630594389716,0.5443924791347619,0.30874036000000005,0.08320907247890247,1,1
